,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
44,2023-02-06 00:00:00,Atsinanana,Mahanoro,1.76463016497925,2023-02-06,02-06
154,2023-02-06 03:00:00,Atsinanana,Mahanoro,1.87336836480198,2023-02-06,02-06
264,2023-02-06 06:00:00,Atsinanana,Mahanoro,2.78633295078837,2023-02-06,02-06
374,2023-02-06 09:00:00,Atsinanana,Mahanoro,2.78812327131727,2023-02-06,02-06
484,2023-02-06 12:00:00,Atsinanana,Mahanoro,4.37193570269137,2023-02-06,02-06
594,2023-02-06 15:00:00,Atsinanana,Mahanoro,3.12494116956593,2023-02-06,02-06
704,2023-02-06 18:00:00,Atsinanana,Mahanoro,3.95274693705142,2023-02-06,02-06
814,2023-02-06 21:00:00,Atsinanana,Mahanoro,4.54190753734175,2023-02-06,02-06
924,2023-02-07 00:00:00,Atsinanana,Mahanoro,2.53414163494205,2023-02-07,02-07
1034,2023-02-07 03:00:00,Atsinanana,Mahanoro,1.78166325938242,2023-02-07,02-07
1144,2023-02-07 06:00:00,Atsinanana,Mahanoro,1.28496629109554,2023-02-07,02-07
1254,2023-02-07 09:00:00,Atsinanana,Mahanoro,2.33714493589791,2023-02-07,02-07
1364,2023-02-07 12:00:00,Atsinanana,Mahanoro,2.44706027024433,2023-02-07,02-07
1474,2023-02-07 15:00:00,Atsinanana,Mahanoro,6.15636456861807,2023-02-07,02-07
1584,2023-02-07 18:00:00,Atsinanana,Mahanoro,4.51501379078141,2023-02-07,02-07
1694,2023-02-07 21:00:00,Atsinanana,Mahanoro,0.699028624413205,2023-02-07,02-07
1804,2023-02-08 00:00:00,Atsinanana,Mahanoro,0.68311509240659,2023-02-08,02-08
1914,2023-02-08 03:00:00,Atsinanana,Mahanoro,0.19400149932687,2023-02-08,02-08
2024,2023-02-08 06:00:00,Atsinanana,Mahanoro,1.65371387000872,2023-02-08,02-08
2134,2023-02-08 09:00:00,Atsinanana,Mahanoro,2.6134290121169,2023-02-08,02-08
2244,2023-02-08 12:00:00,Atsinanana,Mahanoro,2.11534151946938,2023-02-08,02-08
2354,2023-02-08 15:00:00,Atsinanana,Mahanoro,2.24034239200034,2023-02-08,02-08
2464,2023-02-08 18:00:00,Atsinanana,Mahanoro,2.65086723733393,2023-02-08,02-08
2574,2023-02-08 21:00:00,Atsinanana,Mahanoro,1.90604255300188,2023-02-08,02-08
2684,2023-02-09 00:00:00,Atsinanana,Mahanoro,0.933177530635974,2023-02-09,02-09
2794,2023-02-09 03:00:00,Atsinanana,Mahanoro,0.873930522462263,2023-02-09,02-09
2904,2023-02-09 06:00:00,Atsinanana,Mahanoro,1.62603996049861,2023-02-09,02-09
3014,2023-02-09 09:00:00,Atsinanana,Mahanoro,2.22109758987227,2023-02-09,02-09
3124,2023-02-09 12:00:00,Atsinanana,Mahanoro,1.27588899950347,2023-02-09,02-09
3234,2023-02-09 15:00:00,Atsinanana,Mahanoro,0.493114592043698,2023-02-09,02-09
3344,2023-02-09 18:00:00,Atsinanana,Mahanoro,0.855779198841417,2023-02-09,02-09
3454,2023-02-09 21:00:00,Atsinanana,Mahanoro,0.0381577886160343,2023-02-09,02-09
3564,2023-02-10 00:00:00,Atsinanana,Mahanoro,0.0009567812742334,2023-02-10,02-10
3674,2023-02-10 03:00:00,Atsinanana,Mahanoro,0.0413236144738602,2023-02-10,02-10
3784,2023-02-10 06:00:00,Atsinanana,Mahanoro,0.632944123928375,2023-02-10,02-10
3894,2023-02-10 09:00:00,Atsinanana,Mahanoro,1.01065018028772,2023-02-10,02-10
4004,2023-02-10 12:00:00,Atsinanana,Mahanoro,1.93118631417089,2023-02-10,02-10
4114,2023-02-10 15:00:00,Atsinanana,Mahanoro,0.0162172408552931,2023-02-10,02-10
4224,2023-02-10 18:00:00,Atsinanana,Mahanoro,0.0463842527617911,2023-02-10,02-10
4334,2023-02-10 21:00:00,Atsinanana,Mahanoro,0.339153956488571,2023-02-10,02-10
4444,2023-02-11 00:00:00,Atsinanana,Mahanoro,0.156977905589531,2023-02-11,02-11
4554,2023-02-11 03:00:00,Atsinanana,Mahanoro,0.0057784002180391,2023-02-11,02-11
4664,2023-02-11 06:00:00,Atsinanana,Mahanoro,0.0115213836618369,2023-02-11,02-11
4774,2023-02-11 09:00:00,Atsinanana,Mahanoro,0.0195170274218394,2023-02-11,02-11
4884,2023-02-11 12:00:00,Atsinanana,Mahanoro,0.0170019914118213,2023-02-11,02-11
4994,2023-02-11 15:00:00,Atsinanana,Mahanoro,0.0115798028268581,2023-02-11,02-11
5104,2023-02-11 18:00:00,Atsinanana,Mahanoro,0.0534533256225498,2023-02-11,02-11
5214,2023-02-11 21:00:00,Atsinanana,Mahanoro,0.0684391687184783,2023-02-11,02-11
5324,2023-02-12 00:00:00,Atsinanana,Mahanoro,0.017694475741366,2023-02-12,02-12
5434,2023-02-12 03:00:00,Atsinanana,Mahanoro,0.0002664679402275,2023-02-12,02-12
5544,2023-02-12 06:00:00,Atsinanana,Mahanoro,0.0015469868704977,2023-02-12,02-12
5654,2023-02-12 09:00:00,Atsinanana,Mahanoro,0.0064722628918506,2023-02-12,02-12
5764,2023-02-12 12:00:00,Atsinanana,Mahanoro,0.0180508151815663,2023-02-12,02-12
5874,2023-02-12 15:00:00,Atsinanana,Mahanoro,0.0580152704083781,2023-02-12,02-12
5984,2023-02-12 18:00:00,Atsinanana,Mahanoro,0.268634838290558,2023-02-12,02-12
6094,2023-02-12 21:00:00,Atsinanana,Mahanoro,0.214924849659925,2023-02-12,02-12
6204,2023-02-13 00:00:00,Atsinanana,Mahanoro,0.150059779681596,2023-02-13,02-13
6314,2023-02-13 03:00:00,Atsinanana,Mahanoro,0.156170960913803,2023-02-13,02-13
6424,2023-02-13 06:00:00,Atsinanana,Mahanoro,0.309449766779454,2023-02-13,02-13
6534,2023-02-13 09:00:00,Atsinanana,Mahanoro,0.105307998282144,2023-02-13,02-13
6644,2023-02-13 12:00:00,Atsinanana,Mahanoro,0.144851969140056,2023-02-13,02-13
6754,2023-02-13 15:00:00,Atsinanana,Mahanoro,0.108696997323404,2023-02-13,02-13
6864,2023-02-13 18:00:00,Atsinanana,Mahanoro,0.368531935146048,2023-02-13,02-13
6974,2023-02-13 21:00:00,Atsinanana,Mahanoro,0.282947666939318,2023-02-13,02-13
7084,2023-02-14 00:00:00,Atsinanana,Mahanoro,0.273361913320954,2023-02-14,02-14
7194,2023-02-14 03:00:00,Atsinanana,Mahanoro,0.20496824299804,2023-02-14,02-14
7304,2023-02-14 06:00:00,Atsinanana,Mahanoro,0.375110782821843,2023-02-14,02-14
7414,2023-02-14 09:00:00,Atsinanana,Mahanoro,0.261497204822879,2023-02-14,02-14
7524,2023-02-14 12:00:00,Atsinanana,Mahanoro,0.102201121149495,2023-02-14,02-14
