,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
79,2023-02-06 00:00:00,Melaky,Maintirano,0.496508510712634,2023-02-06,02-06
189,2023-02-06 03:00:00,Melaky,Maintirano,0.0318820855872694,2023-02-06,02-06
299,2023-02-06 06:00:00,Melaky,Maintirano,0.0272772429667557,2023-02-06,02-06
409,2023-02-06 09:00:00,Melaky,Maintirano,1.49711652224124,2023-02-06,02-06
519,2023-02-06 12:00:00,Melaky,Maintirano,6.94521086657118,2023-02-06,02-06
629,2023-02-06 15:00:00,Melaky,Maintirano,2.95606974680586,2023-02-06,02-06
739,2023-02-06 18:00:00,Melaky,Maintirano,2.02299627183224,2023-02-06,02-06
849,2023-02-06 21:00:00,Melaky,Maintirano,1.5135024098563,2023-02-06,02-06
959,2023-02-07 00:00:00,Melaky,Maintirano,1.37847966983931,2023-02-07,02-07
1069,2023-02-07 03:00:00,Melaky,Maintirano,0.531246033824919,2023-02-07,02-07
1179,2023-02-07 06:00:00,Melaky,Maintirano,0.288584937816874,2023-02-07,02-07
1289,2023-02-07 09:00:00,Melaky,Maintirano,0.796165972736032,2023-02-07,02-07
1399,2023-02-07 12:00:00,Melaky,Maintirano,2.82473070363353,2023-02-07,02-07
1509,2023-02-07 15:00:00,Melaky,Maintirano,0.831661236166145,2023-02-07,02-07
1619,2023-02-07 18:00:00,Melaky,Maintirano,0.385460080251159,2023-02-07,02-07
1729,2023-02-07 21:00:00,Melaky,Maintirano,0.353690066920189,2023-02-07,02-07
1839,2023-02-08 00:00:00,Melaky,Maintirano,0.114758792072063,2023-02-08,02-08
1949,2023-02-08 03:00:00,Melaky,Maintirano,0.0075722833682361,2023-02-08,02-08
2059,2023-02-08 06:00:00,Melaky,Maintirano,0.0151562983311513,2023-02-08,02-08
2169,2023-02-08 09:00:00,Melaky,Maintirano,0.381477811197761,2023-02-08,02-08
2279,2023-02-08 12:00:00,Melaky,Maintirano,3.67314704557066,2023-02-08,02-08
2389,2023-02-08 15:00:00,Melaky,Maintirano,5.5514946056972,2023-02-08,02-08
2499,2023-02-08 18:00:00,Melaky,Maintirano,3.61980137851857,2023-02-08,02-08
2609,2023-02-08 21:00:00,Melaky,Maintirano,2.19963129451692,2023-02-08,02-08
2719,2023-02-09 00:00:00,Melaky,Maintirano,0.615982820201593,2023-02-09,02-09
2829,2023-02-09 03:00:00,Melaky,Maintirano,0.320457731133155,2023-02-09,02-09
2939,2023-02-09 06:00:00,Melaky,Maintirano,0.0789552301368011,2023-02-09,02-09
3049,2023-02-09 09:00:00,Melaky,Maintirano,0.692838961237742,2023-02-09,02-09
3159,2023-02-09 12:00:00,Melaky,Maintirano,6.8430123453727,2023-02-09,02-09
3269,2023-02-09 15:00:00,Melaky,Maintirano,3.32694697168024,2023-02-09,02-09
3379,2023-02-09 18:00:00,Melaky,Maintirano,1.03061452326212,2023-02-09,02-09
3489,2023-02-09 21:00:00,Melaky,Maintirano,0.701676128523624,2023-02-09,02-09
3599,2023-02-10 00:00:00,Melaky,Maintirano,0.716142965022646,2023-02-10,02-10
3709,2023-02-10 03:00:00,Melaky,Maintirano,0.0243908943569598,2023-02-10,02-10
3819,2023-02-10 06:00:00,Melaky,Maintirano,0.0190495112384226,2023-02-10,02-10
3929,2023-02-10 09:00:00,Melaky,Maintirano,0.362444470461231,2023-02-10,02-10
4039,2023-02-10 12:00:00,Melaky,Maintirano,0.997469323450267,2023-02-10,02-10
4149,2023-02-10 15:00:00,Melaky,Maintirano,1.89008583742335,2023-02-10,02-10
4259,2023-02-10 18:00:00,Melaky,Maintirano,0.335693351352737,2023-02-10,02-10
4369,2023-02-10 21:00:00,Melaky,Maintirano,0.0711718046049576,2023-02-10,02-10
4479,2023-02-11 00:00:00,Melaky,Maintirano,1.3353455438815,2023-02-11,02-11
4589,2023-02-11 03:00:00,Melaky,Maintirano,0.400660920764841,2023-02-11,02-11
4699,2023-02-11 06:00:00,Melaky,Maintirano,0.220412273545489,2023-02-11,02-11
4809,2023-02-11 09:00:00,Melaky,Maintirano,0.388962248417859,2023-02-11,02-11
4919,2023-02-11 12:00:00,Melaky,Maintirano,1.1186235795162,2023-02-11,02-11
5029,2023-02-11 15:00:00,Melaky,Maintirano,0.261993136722594,2023-02-11,02-11
5139,2023-02-11 18:00:00,Melaky,Maintirano,0.0345965225819132,2023-02-11,02-11
5249,2023-02-11 21:00:00,Melaky,Maintirano,0.0213494442806612,2023-02-11,02-11
5359,2023-02-12 00:00:00,Melaky,Maintirano,0.135792503481969,2023-02-12,02-12
5469,2023-02-12 03:00:00,Melaky,Maintirano,0.0602736175136497,2023-02-12,02-12
5579,2023-02-12 06:00:00,Melaky,Maintirano,0.154289645411024,2023-02-12,02-12
5689,2023-02-12 09:00:00,Melaky,Maintirano,0.148136741411734,2023-02-12,02-12
5799,2023-02-12 12:00:00,Melaky,Maintirano,0.239366620334858,2023-02-12,02-12
5909,2023-02-12 15:00:00,Melaky,Maintirano,0.0930690945762243,2023-02-12,02-12
6019,2023-02-12 18:00:00,Melaky,Maintirano,0.0528970138957014,2023-02-12,02-12
6129,2023-02-12 21:00:00,Melaky,Maintirano,0.0630069407793815,2023-02-12,02-12
6239,2023-02-13 00:00:00,Melaky,Maintirano,0.0856023679045306,2023-02-13,02-13
6349,2023-02-13 03:00:00,Melaky,Maintirano,0.0077814473382507,2023-02-13,02-13
6459,2023-02-13 06:00:00,Melaky,Maintirano,0.0228030091876419,2023-02-13,02-13
6569,2023-02-13 09:00:00,Melaky,Maintirano,0.0428758963625157,2023-02-13,02-13
6679,2023-02-13 12:00:00,Melaky,Maintirano,0.134490244858344,2023-02-13,02-13
6789,2023-02-13 15:00:00,Melaky,Maintirano,0.147629659706754,2023-02-13,02-13
6899,2023-02-13 18:00:00,Melaky,Maintirano,0.0011823973597659,2023-02-13,02-13
7009,2023-02-13 21:00:00,Melaky,Maintirano,0.0261961168725975,2023-02-13,02-13
7119,2023-02-14 00:00:00,Melaky,Maintirano,0.958920346297202,2023-02-14,02-14
7229,2023-02-14 03:00:00,Melaky,Maintirano,0.198229579857157,2023-02-14,02-14
7339,2023-02-14 06:00:00,Melaky,Maintirano,0.22838072646534,2023-02-14,02-14
7449,2023-02-14 09:00:00,Melaky,Maintirano,0.927967448786755,2023-02-14,02-14
7559,2023-02-14 12:00:00,Melaky,Maintirano,1.48692500346113,2023-02-14,02-14
7669,2023-02-14 15:00:00,Melaky,Maintirano,2.2056128121857,2023-02-14,02-14
7779,2023-02-14 18:00:00,Melaky,Maintirano,0.315187385498402,2023-02-14,02-14
7889,2023-02-14 21:00:00,Melaky,Maintirano,0.329348196579737,2023-02-14,02-14
7999,2023-02-15 00:00:00,Melaky,Maintirano,0.306275047465793,2023-02-15,02-15
8109,2023-02-15 03:00:00,Melaky,Maintirano,0.906224240824009,2023-02-15,02-15
8219,2023-02-15 06:00:00,Melaky,Maintirano,0.459075613946576,2023-02-15,02-15
8329,2023-02-15 09:00:00,Melaky,Maintirano,3.32081617390837,2023-02-15,02-15
8439,2023-02-15 12:00:00,Melaky,Maintirano,2.86516714432981,2023-02-15,02-15
8549,2023-02-15 15:00:00,Melaky,Maintirano,1.13423390612713,2023-02-15,02-15
8659,2023-02-15 18:00:00,Melaky,Maintirano,2.49195721574541,2023-02-15,02-15
8769,2023-02-15 21:00:00,Melaky,Maintirano,0.824746326562793,2023-02-15,02-15
8879,2023-02-16 00:00:00,Melaky,Maintirano,1.02811007202919,2023-02-16,02-16
8989,2023-02-16 03:00:00,Melaky,Maintirano,0.616804184690062,2023-02-16,02-16
9099,2023-02-16 06:00:00,Melaky,Maintirano,0.637535279701946,2023-02-16,02-16
9209,2023-02-16 09:00:00,Melaky,Maintirano,0.695825512202906,2023-02-16,02-16
9319,2023-02-16 12:00:00,Melaky,Maintirano,0.274277784848458,2023-02-16,02-16
9429,2023-02-16 15:00:00,Melaky,Maintirano,0.458763292156315,2023-02-16,02-16
9539,2023-02-16 18:00:00,Melaky,Maintirano,0.28307769448258,2023-02-16,02-16
9649,2023-02-16 21:00:00,Melaky,Maintirano,0.0111322777943098,2023-02-16,02-16
9759,2023-02-17 00:00:00,Melaky,Maintirano,0.0222214318949097,2023-02-17,02-17
9869,2023-02-17 03:00:00,Melaky,Maintirano,0.305762753952877,2023-02-17,02-17
9979,2023-02-17 06:00:00,Melaky,Maintirano,0.321297057557829,2023-02-17,02-17
10089,2023-02-17 09:00:00,Melaky,Maintirano,0.377820364918859,2023-02-17,02-17
10199,2023-02-17 12:00:00,Melaky,Maintirano,0.26256039926652,2023-02-17,02-17
10309,2023-02-17 15:00:00,Melaky,Maintirano,0.0395328483947586,2023-02-17,02-17
10419,2023-02-17 18:00:00,Melaky,Maintirano,0.0001486023296214,2023-02-17,02-17
10529,2023-02-17 21:00:00,Melaky,Maintirano,0.0005210716217767,2023-02-17,02-17
10639,2023-02-18 00:00:00,Melaky,Maintirano,0.0004058192245706,2023-02-18,02-18
10749,2023-02-18 03:00:00,Melaky,Maintirano,2.51083062418426e-05,2023-02-18,02-18
10859,2023-02-18 06:00:00,Melaky,Maintirano,0.0070021379520074,2023-02-18,02-18
10969,2023-02-18 09:00:00,Melaky,Maintirano,0.0427736631688839,2023-02-18,02-18
11079,2023-02-18 12:00:00,Melaky,Maintirano,0.150341796137149,2023-02-18,02-18
11189,2023-02-18 15:00:00,Melaky,Maintirano,0.0810033137559436,2023-02-18,02-18
11299,2023-02-18 18:00:00,Melaky,Maintirano,1.6004331493085e-05,2023-02-18,02-18
11409,2023-02-18 21:00:00,Melaky,Maintirano,1.40413065396604e-05,2023-02-18,02-18
11519,2023-02-19 00:00:00,Melaky,Maintirano,7.52821506466717e-06,2023-02-19,02-19
11629,2023-02-19 03:00:00,Melaky,Maintirano,5.05573864627097e-06,2023-02-19,02-19
11739,2023-02-19 06:00:00,Melaky,Maintirano,0.0120304873070425,2023-02-19,02-19
11849,2023-02-19 09:00:00,Melaky,Maintirano,0.0051441580504788,2023-02-19,02-19
11959,2023-02-19 12:00:00,Melaky,Maintirano,0.0735141213316681,2023-02-19,02-19
12069,2023-02-19 15:00:00,Melaky,Maintirano,0.0060486410282984,2023-02-19,02-19
12179,2023-02-19 18:00:00,Melaky,Maintirano,0.042538879047026,2023-02-19,02-19
12289,2023-02-19 21:00:00,Melaky,Maintirano,0.338801095152684,2023-02-19,02-19
12399,2023-02-20 00:00:00,Melaky,Maintirano,0.11145442992191,2023-02-20,02-20
12509,2023-02-20 03:00:00,Melaky,Maintirano,0.0206926174841577,2023-02-20,02-20
12619,2023-02-20 06:00:00,Melaky,Maintirano,0.263462648729079,2023-02-20,02-20
12729,2023-02-20 09:00:00,Melaky,Maintirano,1.24590835145639,2023-02-20,02-20
12839,2023-02-20 12:00:00,Melaky,Maintirano,1.03737220745825,2023-02-20,02-20
12949,2023-02-20 15:00:00,Melaky,Maintirano,0.411781920996007,2023-02-20,02-20
13059,2023-02-20 18:00:00,Melaky,Maintirano,0.0825826401026764,2023-02-20,02-20
