,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
94,2023-02-06 00:00:00,Sofia,Mampikony,1.88411306331191,2023-02-06,02-06
204,2023-02-06 03:00:00,Sofia,Mampikony,0.48187703221517,2023-02-06,02-06
314,2023-02-06 06:00:00,Sofia,Mampikony,0.330299421246402,2023-02-06,02-06
424,2023-02-06 09:00:00,Sofia,Mampikony,1.99010633908881,2023-02-06,02-06
534,2023-02-06 12:00:00,Sofia,Mampikony,4.58791816134591,2023-02-06,02-06
644,2023-02-06 15:00:00,Sofia,Mampikony,11.5045166451854,2023-02-06,02-06
754,2023-02-06 18:00:00,Sofia,Mampikony,12.2222896760318,2023-02-06,02-06
864,2023-02-06 21:00:00,Sofia,Mampikony,6.20635016746849,2023-02-06,02-06
974,2023-02-07 00:00:00,Sofia,Mampikony,4.5238213035478,2023-02-07,02-07
1084,2023-02-07 03:00:00,Sofia,Mampikony,1.1233774942931,2023-02-07,02-07
1194,2023-02-07 06:00:00,Sofia,Mampikony,0.122078871746989,2023-02-07,02-07
1304,2023-02-07 09:00:00,Sofia,Mampikony,1.83902732556602,2023-02-07,02-07
1414,2023-02-07 12:00:00,Sofia,Mampikony,7.1251756733161,2023-02-07,02-07
1524,2023-02-07 15:00:00,Sofia,Mampikony,5.62274343575924,2023-02-07,02-07
1634,2023-02-07 18:00:00,Sofia,Mampikony,0.588868895881415,2023-02-07,02-07
1744,2023-02-07 21:00:00,Sofia,Mampikony,0.0299587784982764,2023-02-07,02-07
1854,2023-02-08 00:00:00,Sofia,Mampikony,0.0192165838999268,2023-02-08,02-08
1964,2023-02-08 03:00:00,Sofia,Mampikony,0.0008054385767676,2023-02-08,02-08
2074,2023-02-08 06:00:00,Sofia,Mampikony,0.0124400609250491,2023-02-08,02-08
2184,2023-02-08 09:00:00,Sofia,Mampikony,0.086802713747602,2023-02-08,02-08
2294,2023-02-08 12:00:00,Sofia,Mampikony,6.35157201816746,2023-02-08,02-08
2404,2023-02-08 15:00:00,Sofia,Mampikony,2.22526484467716,2023-02-08,02-08
2514,2023-02-08 18:00:00,Sofia,Mampikony,0.71656532711439,2023-02-08,02-08
2624,2023-02-08 21:00:00,Sofia,Mampikony,0.17556371297747,2023-02-08,02-08
2734,2023-02-09 00:00:00,Sofia,Mampikony,0.0055026688272706,2023-02-09,02-09
2844,2023-02-09 03:00:00,Sofia,Mampikony,0.0095994787362332,2023-02-09,02-09
2954,2023-02-09 06:00:00,Sofia,Mampikony,0.0014641043455459,2023-02-09,02-09
3064,2023-02-09 09:00:00,Sofia,Mampikony,0.0150699508286869,2023-02-09,02-09
3174,2023-02-09 12:00:00,Sofia,Mampikony,1.83142920171406,2023-02-09,02-09
3284,2023-02-09 15:00:00,Sofia,Mampikony,1.12345794515941,2023-02-09,02-09
3394,2023-02-09 18:00:00,Sofia,Mampikony,0.825210735270491,2023-02-09,02-09
3504,2023-02-09 21:00:00,Sofia,Mampikony,0.237209676291782,2023-02-09,02-09
3614,2023-02-10 00:00:00,Sofia,Mampikony,0.172805900033265,2023-02-10,02-10
3724,2023-02-10 03:00:00,Sofia,Mampikony,0.0606284906030991,2023-02-10,02-10
3834,2023-02-10 06:00:00,Sofia,Mampikony,0.0057479594789373,2023-02-10,02-10
3944,2023-02-10 09:00:00,Sofia,Mampikony,0.0083036340059688,2023-02-10,02-10
4054,2023-02-10 12:00:00,Sofia,Mampikony,0.273876392419856,2023-02-10,02-10
4164,2023-02-10 15:00:00,Sofia,Mampikony,0.129590277789901,2023-02-10,02-10
4274,2023-02-10 18:00:00,Sofia,Mampikony,0.165617868323655,2023-02-10,02-10
4384,2023-02-10 21:00:00,Sofia,Mampikony,0.137952854322532,2023-02-10,02-10
4494,2023-02-11 00:00:00,Sofia,Mampikony,0.422481012058994,2023-02-11,02-11
4604,2023-02-11 03:00:00,Sofia,Mampikony,0.0023204037615169,2023-02-11,02-11
4714,2023-02-11 06:00:00,Sofia,Mampikony,0.0163732121955269,2023-02-11,02-11
4824,2023-02-11 09:00:00,Sofia,Mampikony,0.014863059996293,2023-02-11,02-11
4934,2023-02-11 12:00:00,Sofia,Mampikony,0.69730836660631,2023-02-11,02-11
5044,2023-02-11 15:00:00,Sofia,Mampikony,2.54802514164476,2023-02-11,02-11
5154,2023-02-11 18:00:00,Sofia,Mampikony,0.365108133205631,2023-02-11,02-11
5264,2023-02-11 21:00:00,Sofia,Mampikony,0.508257159254311,2023-02-11,02-11
5374,2023-02-12 00:00:00,Sofia,Mampikony,0.831272334661872,2023-02-12,02-12
5484,2023-02-12 03:00:00,Sofia,Mampikony,7.23226649615054e-05,2023-02-12,02-12
5594,2023-02-12 06:00:00,Sofia,Mampikony,0.0427907083305912,2023-02-12,02-12
5704,2023-02-12 09:00:00,Sofia,Mampikony,0.0513881959456903,2023-02-12,02-12
5814,2023-02-12 12:00:00,Sofia,Mampikony,0.380440689929319,2023-02-12,02-12
5924,2023-02-12 15:00:00,Sofia,Mampikony,0.429253413701633,2023-02-12,02-12
6034,2023-02-12 18:00:00,Sofia,Mampikony,0.113434185756024,2023-02-12,02-12
6144,2023-02-12 21:00:00,Sofia,Mampikony,3.03497908111566e-05,2023-02-12,02-12
6254,2023-02-13 00:00:00,Sofia,Mampikony,0.0006161972743053,2023-02-13,02-13
6364,2023-02-13 03:00:00,Sofia,Mampikony,0.0008518650489023,2023-02-13,02-13
6474,2023-02-13 06:00:00,Sofia,Mampikony,0.0131782768622566,2023-02-13,02-13
6584,2023-02-13 09:00:00,Sofia,Mampikony,0.0189215134850178,2023-02-13,02-13
6694,2023-02-13 12:00:00,Sofia,Mampikony,0.133334000206863,2023-02-13,02-13
