,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
106,2023-02-06 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.584984155759167,2023-02-06,02-06
216,2023-02-06 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.29415261336193,2023-02-06,02-06
326,2023-02-06 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,3.88338599209513,2023-02-06,02-06
436,2023-02-06 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,4.96722360290908,2023-02-06,02-06
546,2023-02-06 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,7.0784629234996,2023-02-06,02-06
656,2023-02-06 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,4.95198853453621,2023-02-06,02-06
766,2023-02-06 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,4.29814018866706,2023-02-06,02-06
876,2023-02-06 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,7.96556111347886,2023-02-06,02-06
986,2023-02-07 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,3.75855386929972,2023-02-07,02-07
1096,2023-02-07 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,3.0122096446415,2023-02-07,02-07
1206,2023-02-07 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,2.45609873417235,2023-02-07,02-07
1316,2023-02-07 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.32559222619828,2023-02-07,02-07
1426,2023-02-07 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.846352068317958,2023-02-07,02-07
1536,2023-02-07 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.536802722566665,2023-02-07,02-07
1646,2023-02-07 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.10149308389197,2023-02-07,02-07
1756,2023-02-07 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.861101616633622,2023-02-07,02-07
1866,2023-02-08 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.316027686786677,2023-02-08,02-08
1976,2023-02-08 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.794348036719823,2023-02-08,02-08
2086,2023-02-08 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.562534606684369,2023-02-08,02-08
2196,2023-02-08 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.47231600138335,2023-02-08,02-08
2306,2023-02-08 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,3.23320180357731,2023-02-08,02-08
2416,2023-02-08 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.83924440974932,2023-02-08,02-08
2526,2023-02-08 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.82180616875171,2023-02-08,02-08
2636,2023-02-08 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,2.12441770178226,2023-02-08,02-08
2746,2023-02-09 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.55478003387669,2023-02-09,02-09
2856,2023-02-09 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.41754170803851,2023-02-09,02-09
2966,2023-02-09 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,2.13161818596237,2023-02-09,02-09
3076,2023-02-09 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.95744629918421,2023-02-09,02-09
3186,2023-02-09 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.82836192690944,2023-02-09,02-09
3296,2023-02-09 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.187528172499853,2023-02-09,02-09
3406,2023-02-09 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.124967113386133,2023-02-09,02-09
3516,2023-02-09 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.551011389721554,2023-02-09,02-09
3626,2023-02-10 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.168323731836702,2023-02-10,02-10
3736,2023-02-10 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0244124726862004,2023-02-10,02-10
3846,2023-02-10 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0564082700835445,2023-02-10,02-10
3956,2023-02-10 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0460924641269356,2023-02-10,02-10
4066,2023-02-10 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.325142094249243,2023-02-10,02-10
4176,2023-02-10 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0055838006002635,2023-02-10,02-10
4286,2023-02-10 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0129314295622392,2023-02-10,02-10
4396,2023-02-10 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0271796844116862,2023-02-10,02-10
4506,2023-02-11 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0330939660820275,2023-02-11,02-11
4616,2023-02-11 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.022852438680651,2023-02-11,02-11
4726,2023-02-11 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0064957315595981,2023-02-11,02-11
4836,2023-02-11 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0061891438913178,2023-02-11,02-11
4946,2023-02-11 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0203964390575179,2023-02-11,02-11
5056,2023-02-11 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.167580150742212,2023-02-11,02-11
5166,2023-02-11 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0096088693324669,2023-02-11,02-11
5276,2023-02-11 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0241013383432613,2023-02-11,02-11
5386,2023-02-12 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0120906032991178,2023-02-12,02-12
5496,2023-02-12 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0024945232113983,2023-02-12,02-12
5606,2023-02-12 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0405319755082019,2023-02-12,02-12
5716,2023-02-12 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.063855782498461,2023-02-12,02-12
5826,2023-02-12 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.179239361091308,2023-02-12,02-12
5936,2023-02-12 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.136382123328954,2023-02-12,02-12
6046,2023-02-12 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.12095935722805,2023-02-12,02-12
6156,2023-02-12 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.17502772928906,2023-02-12,02-12
6266,2023-02-13 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.099448661651093,2023-02-13,02-13
6376,2023-02-13 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0892489072244518,2023-02-13,02-13
6486,2023-02-13 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.331274583875523,2023-02-13,02-13
6596,2023-02-13 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.289886203674792,2023-02-13,02-13
6706,2023-02-13 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.137309031916284,2023-02-13,02-13
6816,2023-02-13 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.116438788542492,2023-02-13,02-13
6926,2023-02-13 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.139575651726396,2023-02-13,02-13
7036,2023-02-13 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.109864205192245,2023-02-13,02-13
7146,2023-02-14 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0621529632019168,2023-02-14,02-14
7256,2023-02-14 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.110227457665164,2023-02-14,02-14
7366,2023-02-14 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.249404020278297,2023-02-14,02-14
7476,2023-02-14 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0952922386691328,2023-02-14,02-14
7586,2023-02-14 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.354148567292903,2023-02-14,02-14
7696,2023-02-14 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.409770606701856,2023-02-14,02-14
7806,2023-02-14 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.390766262662886,2023-02-14,02-14
7916,2023-02-14 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.170412550569945,2023-02-14,02-14
8026,2023-02-15 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.149864534684858,2023-02-15,02-15
8136,2023-02-15 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.12723444914646,2023-02-15,02-15
8246,2023-02-15 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.271666243909216,2023-02-15,02-15
8356,2023-02-15 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.560223411022011,2023-02-15,02-15
8466,2023-02-15 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.42171749282741,2023-02-15,02-15
8576,2023-02-15 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.83476856482769,2023-02-15,02-15
8686,2023-02-15 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,2.5096488583568,2023-02-15,02-15
8796,2023-02-15 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,2.63067284705125,2023-02-15,02-15
8906,2023-02-16 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.55831233988484,2023-02-16,02-16
9016,2023-02-16 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.97695935267457,2023-02-16,02-16
9126,2023-02-16 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,3.45013091672846,2023-02-16,02-16
9236,2023-02-16 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,2.01497563771133,2023-02-16,02-16
9346,2023-02-16 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.965701555283258,2023-02-16,02-16
9456,2023-02-16 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.49397547412182,2023-02-16,02-16
9566,2023-02-16 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.9912321892013,2023-02-16,02-16
9676,2023-02-16 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.14929875084761,2023-02-16,02-16
9786,2023-02-17 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0858238251610852,2023-02-17,02-17
9896,2023-02-17 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.092667317780634,2023-02-17,02-17
10006,2023-02-17 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.324522421761528,2023-02-17,02-17
10116,2023-02-17 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.332511290022702,2023-02-17,02-17
10226,2023-02-17 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.814393537496377,2023-02-17,02-17
10336,2023-02-17 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.594619111204118,2023-02-17,02-17
10446,2023-02-17 18:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.155377526277805,2023-02-17,02-17
10556,2023-02-17 21:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0716133540102827,2023-02-17,02-17
10666,2023-02-18 00:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0375650529930336,2023-02-18,02-18
10776,2023-02-18 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0365638662438743,2023-02-18,02-18
10886,2023-02-18 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0625512768285638,2023-02-18,02-18
10996,2023-02-18 09:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.0666254266398028,2023-02-18,02-18
11106,2023-02-18 12:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.445098002918932,2023-02-18,02-18
11216,2023-02-18 15:00:00,Vatovavy Fitovinany,Manakara Atsimo,2.26434280427277,2023-02-18,02-18
