,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
17,2023-02-06 00:00:00,Analanjirofo,Mananara-Avaratra,0.287990641962686,2023-02-06,02-06
127,2023-02-06 03:00:00,Analanjirofo,Mananara-Avaratra,0.568841863176597,2023-02-06,02-06
237,2023-02-06 06:00:00,Analanjirofo,Mananara-Avaratra,1.32432298915385,2023-02-06,02-06
347,2023-02-06 09:00:00,Analanjirofo,Mananara-Avaratra,1.70454551836451,2023-02-06,02-06
457,2023-02-06 12:00:00,Analanjirofo,Mananara-Avaratra,1.61835618399877,2023-02-06,02-06
567,2023-02-06 15:00:00,Analanjirofo,Mananara-Avaratra,2.51458602874836,2023-02-06,02-06
677,2023-02-06 18:00:00,Analanjirofo,Mananara-Avaratra,5.10038789775304,2023-02-06,02-06
787,2023-02-06 21:00:00,Analanjirofo,Mananara-Avaratra,1.4045126387217,2023-02-06,02-06
897,2023-02-07 00:00:00,Analanjirofo,Mananara-Avaratra,0.148029579406579,2023-02-07,02-07
1007,2023-02-07 03:00:00,Analanjirofo,Mananara-Avaratra,0.320988745346816,2023-02-07,02-07
1117,2023-02-07 06:00:00,Analanjirofo,Mananara-Avaratra,2.68541370341523,2023-02-07,02-07
1227,2023-02-07 09:00:00,Analanjirofo,Mananara-Avaratra,3.31197633081575,2023-02-07,02-07
1337,2023-02-07 12:00:00,Analanjirofo,Mananara-Avaratra,3.19747908261126,2023-02-07,02-07
1447,2023-02-07 15:00:00,Analanjirofo,Mananara-Avaratra,2.50323332838299,2023-02-07,02-07
1557,2023-02-07 18:00:00,Analanjirofo,Mananara-Avaratra,4.34853842590992,2023-02-07,02-07
1667,2023-02-07 21:00:00,Analanjirofo,Mananara-Avaratra,1.86032202186195,2023-02-07,02-07
1777,2023-02-08 00:00:00,Analanjirofo,Mananara-Avaratra,0.7158281438877,2023-02-08,02-08
1887,2023-02-08 03:00:00,Analanjirofo,Mananara-Avaratra,0.555877357077898,2023-02-08,02-08
1997,2023-02-08 06:00:00,Analanjirofo,Mananara-Avaratra,1.13886826726564,2023-02-08,02-08
2107,2023-02-08 09:00:00,Analanjirofo,Mananara-Avaratra,2.38525291343339,2023-02-08,02-08
2217,2023-02-08 12:00:00,Analanjirofo,Mananara-Avaratra,1.84857888153842,2023-02-08,02-08
2327,2023-02-08 15:00:00,Analanjirofo,Mananara-Avaratra,0.499137418214043,2023-02-08,02-08
2437,2023-02-08 18:00:00,Analanjirofo,Mananara-Avaratra,0.646346032454292,2023-02-08,02-08
2547,2023-02-08 21:00:00,Analanjirofo,Mananara-Avaratra,0.784876379615476,2023-02-08,02-08
2657,2023-02-09 00:00:00,Analanjirofo,Mananara-Avaratra,0.744368941991942,2023-02-09,02-09
2767,2023-02-09 03:00:00,Analanjirofo,Mananara-Avaratra,0.584253096767399,2023-02-09,02-09
2877,2023-02-09 06:00:00,Analanjirofo,Mananara-Avaratra,1.44834122600544,2023-02-09,02-09
2987,2023-02-09 09:00:00,Analanjirofo,Mananara-Avaratra,1.46331594750833,2023-02-09,02-09
3097,2023-02-09 12:00:00,Analanjirofo,Mananara-Avaratra,1.13364982234969,2023-02-09,02-09
3207,2023-02-09 15:00:00,Analanjirofo,Mananara-Avaratra,0.989311373828772,2023-02-09,02-09
3317,2023-02-09 18:00:00,Analanjirofo,Mananara-Avaratra,1.07155584546303,2023-02-09,02-09
3427,2023-02-09 21:00:00,Analanjirofo,Mananara-Avaratra,0.690009794544076,2023-02-09,02-09
3537,2023-02-10 00:00:00,Analanjirofo,Mananara-Avaratra,0.477951402239489,2023-02-10,02-10
3647,2023-02-10 03:00:00,Analanjirofo,Mananara-Avaratra,1.17917761616283,2023-02-10,02-10
3757,2023-02-10 06:00:00,Analanjirofo,Mananara-Avaratra,0.674455326736426,2023-02-10,02-10
3867,2023-02-10 09:00:00,Analanjirofo,Mananara-Avaratra,1.24569386271823,2023-02-10,02-10
3977,2023-02-10 12:00:00,Analanjirofo,Mananara-Avaratra,0.845160764682963,2023-02-10,02-10
4087,2023-02-10 15:00:00,Analanjirofo,Mananara-Avaratra,0.382947312192866,2023-02-10,02-10
4197,2023-02-10 18:00:00,Analanjirofo,Mananara-Avaratra,0.315727342228481,2023-02-10,02-10
4307,2023-02-10 21:00:00,Analanjirofo,Mananara-Avaratra,0.247683711367269,2023-02-10,02-10
4417,2023-02-11 00:00:00,Analanjirofo,Mananara-Avaratra,0.131000078111774,2023-02-11,02-11
