,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
8,2023-02-06 00:00:00,Amoron I Mania,Manandriana,0.151712706945546,2023-02-06,02-06
118,2023-02-06 03:00:00,Amoron I Mania,Manandriana,0.311626875853108,2023-02-06,02-06
228,2023-02-06 06:00:00,Amoron I Mania,Manandriana,1.04144681354956,2023-02-06,02-06
338,2023-02-06 09:00:00,Amoron I Mania,Manandriana,2.8894908991424,2023-02-06,02-06
448,2023-02-06 12:00:00,Amoron I Mania,Manandriana,7.11677568754385,2023-02-06,02-06
558,2023-02-06 15:00:00,Amoron I Mania,Manandriana,2.36722279161768,2023-02-06,02-06
668,2023-02-06 18:00:00,Amoron I Mania,Manandriana,0.483153416629648,2023-02-06,02-06
778,2023-02-06 21:00:00,Amoron I Mania,Manandriana,0.757884526748967,2023-02-06,02-06
888,2023-02-07 00:00:00,Amoron I Mania,Manandriana,1.00884748902899,2023-02-07,02-07
998,2023-02-07 03:00:00,Amoron I Mania,Manandriana,0.637796702445485,2023-02-07,02-07
1108,2023-02-07 06:00:00,Amoron I Mania,Manandriana,0.293534728945815,2023-02-07,02-07
1218,2023-02-07 09:00:00,Amoron I Mania,Manandriana,0.419512714310258,2023-02-07,02-07
1328,2023-02-07 12:00:00,Amoron I Mania,Manandriana,0.708489756587369,2023-02-07,02-07
1438,2023-02-07 15:00:00,Amoron I Mania,Manandriana,0.26532247504656,2023-02-07,02-07
1548,2023-02-07 18:00:00,Amoron I Mania,Manandriana,0.167166359235125,2023-02-07,02-07
1658,2023-02-07 21:00:00,Amoron I Mania,Manandriana,0.0136398588801967,2023-02-07,02-07
1768,2023-02-08 00:00:00,Amoron I Mania,Manandriana,0.0008592721060267,2023-02-08,02-08
1878,2023-02-08 03:00:00,Amoron I Mania,Manandriana,0.0051839684820151,2023-02-08,02-08
1988,2023-02-08 06:00:00,Amoron I Mania,Manandriana,0.049910518420802,2023-02-08,02-08
2098,2023-02-08 09:00:00,Amoron I Mania,Manandriana,0.116296372609213,2023-02-08,02-08
2208,2023-02-08 12:00:00,Amoron I Mania,Manandriana,0.406289550985093,2023-02-08,02-08
2318,2023-02-08 15:00:00,Amoron I Mania,Manandriana,0.248268940515118,2023-02-08,02-08
2428,2023-02-08 18:00:00,Amoron I Mania,Manandriana,0.594426577918057,2023-02-08,02-08
2538,2023-02-08 21:00:00,Amoron I Mania,Manandriana,0.0412914177504717,2023-02-08,02-08
2648,2023-02-09 00:00:00,Amoron I Mania,Manandriana,0.0159222828006023,2023-02-09,02-09
2758,2023-02-09 03:00:00,Amoron I Mania,Manandriana,0.0400131129499641,2023-02-09,02-09
2868,2023-02-09 06:00:00,Amoron I Mania,Manandriana,0.0888085355691146,2023-02-09,02-09
2978,2023-02-09 09:00:00,Amoron I Mania,Manandriana,0.349826768600906,2023-02-09,02-09
3088,2023-02-09 12:00:00,Amoron I Mania,Manandriana,0.465581041265978,2023-02-09,02-09
3198,2023-02-09 15:00:00,Amoron I Mania,Manandriana,0.106800097993983,2023-02-09,02-09
3308,2023-02-09 18:00:00,Amoron I Mania,Manandriana,0.163087672233814,2023-02-09,02-09
3418,2023-02-09 21:00:00,Amoron I Mania,Manandriana,0.0105268445986439,2023-02-09,02-09
3528,2023-02-10 00:00:00,Amoron I Mania,Manandriana,0.142192945510033,2023-02-10,02-10
3638,2023-02-10 03:00:00,Amoron I Mania,Manandriana,0.0008672082403791,2023-02-10,02-10
3748,2023-02-10 06:00:00,Amoron I Mania,Manandriana,8.12163416412659e-05,2023-02-10,02-10
3858,2023-02-10 09:00:00,Amoron I Mania,Manandriana,0.0021423306534416,2023-02-10,02-10
3968,2023-02-10 12:00:00,Amoron I Mania,Manandriana,6.1833270592615e-06,2023-02-10,02-10
4078,2023-02-10 15:00:00,Amoron I Mania,Manandriana,0.0697213404127979,2023-02-10,02-10
4188,2023-02-10 18:00:00,Amoron I Mania,Manandriana,0.119218196661677,2023-02-10,02-10
4298,2023-02-10 21:00:00,Amoron I Mania,Manandriana,0.0054838805226609,2023-02-10,02-10
