,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
107,2023-02-06 00:00:00,Vatovavy Fitovinany,Mananjary,1.7109216751563,2023-02-06,02-06
217,2023-02-06 03:00:00,Vatovavy Fitovinany,Mananjary,1.52054501267799,2023-02-06,02-06
327,2023-02-06 06:00:00,Vatovavy Fitovinany,Mananjary,2.62291823799271,2023-02-06,02-06
437,2023-02-06 09:00:00,Vatovavy Fitovinany,Mananjary,5.46489418485385,2023-02-06,02-06
547,2023-02-06 12:00:00,Vatovavy Fitovinany,Mananjary,8.6495603582205,2023-02-06,02-06
657,2023-02-06 15:00:00,Vatovavy Fitovinany,Mananjary,3.42480327185377,2023-02-06,02-06
767,2023-02-06 18:00:00,Vatovavy Fitovinany,Mananjary,5.28549107384714,2023-02-06,02-06
877,2023-02-06 21:00:00,Vatovavy Fitovinany,Mananjary,4.83108664753084,2023-02-06,02-06
987,2023-02-07 00:00:00,Vatovavy Fitovinany,Mananjary,3.87396593435241,2023-02-07,02-07
1097,2023-02-07 03:00:00,Vatovavy Fitovinany,Mananjary,3.21446542757281,2023-02-07,02-07
1207,2023-02-07 06:00:00,Vatovavy Fitovinany,Mananjary,2.06279269563643,2023-02-07,02-07
1317,2023-02-07 09:00:00,Vatovavy Fitovinany,Mananjary,1.00977748843465,2023-02-07,02-07
1427,2023-02-07 12:00:00,Vatovavy Fitovinany,Mananjary,1.02327769937147,2023-02-07,02-07
1537,2023-02-07 15:00:00,Vatovavy Fitovinany,Mananjary,0.950219714729254,2023-02-07,02-07
1647,2023-02-07 18:00:00,Vatovavy Fitovinany,Mananjary,1.52441134108503,2023-02-07,02-07
1757,2023-02-07 21:00:00,Vatovavy Fitovinany,Mananjary,0.462124898243309,2023-02-07,02-07
1867,2023-02-08 00:00:00,Vatovavy Fitovinany,Mananjary,0.221767740630039,2023-02-08,02-08
1977,2023-02-08 03:00:00,Vatovavy Fitovinany,Mananjary,0.155450738266735,2023-02-08,02-08
2087,2023-02-08 06:00:00,Vatovavy Fitovinany,Mananjary,0.41339670952677,2023-02-08,02-08
2197,2023-02-08 09:00:00,Vatovavy Fitovinany,Mananjary,1.56078592323985,2023-02-08,02-08
2307,2023-02-08 12:00:00,Vatovavy Fitovinany,Mananjary,2.81635736535858,2023-02-08,02-08
2417,2023-02-08 15:00:00,Vatovavy Fitovinany,Mananjary,1.96334710100943,2023-02-08,02-08
2527,2023-02-08 18:00:00,Vatovavy Fitovinany,Mananjary,2.32028437837924,2023-02-08,02-08
2637,2023-02-08 21:00:00,Vatovavy Fitovinany,Mananjary,1.47451074632316,2023-02-08,02-08
2747,2023-02-09 00:00:00,Vatovavy Fitovinany,Mananjary,1.0593901905677,2023-02-09,02-09
2857,2023-02-09 03:00:00,Vatovavy Fitovinany,Mananjary,0.790667174234144,2023-02-09,02-09
2967,2023-02-09 06:00:00,Vatovavy Fitovinany,Mananjary,2.31952875085234,2023-02-09,02-09
3077,2023-02-09 09:00:00,Vatovavy Fitovinany,Mananjary,3.02426169090161,2023-02-09,02-09
3187,2023-02-09 12:00:00,Vatovavy Fitovinany,Mananjary,1.37187397917559,2023-02-09,02-09
3297,2023-02-09 15:00:00,Vatovavy Fitovinany,Mananjary,0.356260448585245,2023-02-09,02-09
3407,2023-02-09 18:00:00,Vatovavy Fitovinany,Mananjary,0.268115402778928,2023-02-09,02-09
3517,2023-02-09 21:00:00,Vatovavy Fitovinany,Mananjary,0.334420652676156,2023-02-09,02-09
3627,2023-02-10 00:00:00,Vatovavy Fitovinany,Mananjary,0.460745219619291,2023-02-10,02-10
3737,2023-02-10 03:00:00,Vatovavy Fitovinany,Mananjary,0.0279054461465653,2023-02-10,02-10
3847,2023-02-10 06:00:00,Vatovavy Fitovinany,Mananjary,0.273343602232536,2023-02-10,02-10
3957,2023-02-10 09:00:00,Vatovavy Fitovinany,Mananjary,0.195216121658574,2023-02-10,02-10
4067,2023-02-10 12:00:00,Vatovavy Fitovinany,Mananjary,0.652747128707446,2023-02-10,02-10
4177,2023-02-10 15:00:00,Vatovavy Fitovinany,Mananjary,0.0183941267574444,2023-02-10,02-10
4287,2023-02-10 18:00:00,Vatovavy Fitovinany,Mananjary,0.0161904444598514,2023-02-10,02-10
4397,2023-02-10 21:00:00,Vatovavy Fitovinany,Mananjary,0.156893585037014,2023-02-10,02-10
4507,2023-02-11 00:00:00,Vatovavy Fitovinany,Mananjary,0.224214527006707,2023-02-11,02-11
4617,2023-02-11 03:00:00,Vatovavy Fitovinany,Mananjary,0.0291158535859567,2023-02-11,02-11
4727,2023-02-11 06:00:00,Vatovavy Fitovinany,Mananjary,0.0069852398542509,2023-02-11,02-11
4837,2023-02-11 09:00:00,Vatovavy Fitovinany,Mananjary,0.0096819147893643,2023-02-11,02-11
4947,2023-02-11 12:00:00,Vatovavy Fitovinany,Mananjary,0.039061468343518,2023-02-11,02-11
5057,2023-02-11 15:00:00,Vatovavy Fitovinany,Mananjary,0.0464004635615175,2023-02-11,02-11
5167,2023-02-11 18:00:00,Vatovavy Fitovinany,Mananjary,0.0397690181407404,2023-02-11,02-11
5277,2023-02-11 21:00:00,Vatovavy Fitovinany,Mananjary,0.0524313978286103,2023-02-11,02-11
5387,2023-02-12 00:00:00,Vatovavy Fitovinany,Mananjary,0.0116640490682875,2023-02-12,02-12
5497,2023-02-12 03:00:00,Vatovavy Fitovinany,Mananjary,0.0025318150168304,2023-02-12,02-12
5607,2023-02-12 06:00:00,Vatovavy Fitovinany,Mananjary,0.0086049969156986,2023-02-12,02-12
5717,2023-02-12 09:00:00,Vatovavy Fitovinany,Mananjary,0.021437251546539,2023-02-12,02-12
5827,2023-02-12 12:00:00,Vatovavy Fitovinany,Mananjary,0.0902614817184277,2023-02-12,02-12
5937,2023-02-12 15:00:00,Vatovavy Fitovinany,Mananjary,0.164068979737497,2023-02-12,02-12
6047,2023-02-12 18:00:00,Vatovavy Fitovinany,Mananjary,0.199835359965986,2023-02-12,02-12
6157,2023-02-12 21:00:00,Vatovavy Fitovinany,Mananjary,0.15806219779807,2023-02-12,02-12
6267,2023-02-13 00:00:00,Vatovavy Fitovinany,Mananjary,0.156716746520845,2023-02-13,02-13
6377,2023-02-13 03:00:00,Vatovavy Fitovinany,Mananjary,0.209583803335145,2023-02-13,02-13
6487,2023-02-13 06:00:00,Vatovavy Fitovinany,Mananjary,0.389785922957247,2023-02-13,02-13
6597,2023-02-13 09:00:00,Vatovavy Fitovinany,Mananjary,0.194192317913861,2023-02-13,02-13
6707,2023-02-13 12:00:00,Vatovavy Fitovinany,Mananjary,0.222111650524621,2023-02-13,02-13
6817,2023-02-13 15:00:00,Vatovavy Fitovinany,Mananjary,0.131811727926957,2023-02-13,02-13
6927,2023-02-13 18:00:00,Vatovavy Fitovinany,Mananjary,0.403922107358007,2023-02-13,02-13
7037,2023-02-13 21:00:00,Vatovavy Fitovinany,Mananjary,0.157996533348156,2023-02-13,02-13
7147,2023-02-14 00:00:00,Vatovavy Fitovinany,Mananjary,0.179634856164178,2023-02-14,02-14
7257,2023-02-14 03:00:00,Vatovavy Fitovinany,Mananjary,0.121662156413646,2023-02-14,02-14
7367,2023-02-14 06:00:00,Vatovavy Fitovinany,Mananjary,0.232810977114454,2023-02-14,02-14
7477,2023-02-14 09:00:00,Vatovavy Fitovinany,Mananjary,0.138268619639541,2023-02-14,02-14
7587,2023-02-14 12:00:00,Vatovavy Fitovinany,Mananjary,0.306784525389803,2023-02-14,02-14
7697,2023-02-14 15:00:00,Vatovavy Fitovinany,Mananjary,0.377922809153964,2023-02-14,02-14
7807,2023-02-14 18:00:00,Vatovavy Fitovinany,Mananjary,0.221449224743992,2023-02-14,02-14
7917,2023-02-14 21:00:00,Vatovavy Fitovinany,Mananjary,0.147303824918592,2023-02-14,02-14
8027,2023-02-15 00:00:00,Vatovavy Fitovinany,Mananjary,0.141497648083308,2023-02-15,02-15
8137,2023-02-15 03:00:00,Vatovavy Fitovinany,Mananjary,0.151974817936091,2023-02-15,02-15
8247,2023-02-15 06:00:00,Vatovavy Fitovinany,Mananjary,0.457340621809287,2023-02-15,02-15
8357,2023-02-15 09:00:00,Vatovavy Fitovinany,Mananjary,0.755975098996869,2023-02-15,02-15
