,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
103,2023-02-06 00:00:00,Vakinankaratra,Mandoto,0.918685220623237,2023-02-06,02-06
213,2023-02-06 03:00:00,Vakinankaratra,Mandoto,0.358609822910376,2023-02-06,02-06
323,2023-02-06 06:00:00,Vakinankaratra,Mandoto,0.166488359461614,2023-02-06,02-06
433,2023-02-06 09:00:00,Vakinankaratra,Mandoto,1.41416589954467,2023-02-06,02-06
543,2023-02-06 12:00:00,Vakinankaratra,Mandoto,6.50013890998508,2023-02-06,02-06
653,2023-02-06 15:00:00,Vakinankaratra,Mandoto,4.04420608782946,2023-02-06,02-06
763,2023-02-06 18:00:00,Vakinankaratra,Mandoto,4.29337899824794,2023-02-06,02-06
873,2023-02-06 21:00:00,Vakinankaratra,Mandoto,2.39752548503105,2023-02-06,02-06
983,2023-02-07 00:00:00,Vakinankaratra,Mandoto,0.388582446954895,2023-02-07,02-07
1093,2023-02-07 03:00:00,Vakinankaratra,Mandoto,0.0872983174644909,2023-02-07,02-07
1203,2023-02-07 06:00:00,Vakinankaratra,Mandoto,0.192113031407136,2023-02-07,02-07
1313,2023-02-07 09:00:00,Vakinankaratra,Mandoto,0.975292822595166,2023-02-07,02-07
1423,2023-02-07 12:00:00,Vakinankaratra,Mandoto,2.60712736280944,2023-02-07,02-07
1533,2023-02-07 15:00:00,Vakinankaratra,Mandoto,1.53424147908782,2023-02-07,02-07
1643,2023-02-07 18:00:00,Vakinankaratra,Mandoto,3.76081849890896,2023-02-07,02-07
1753,2023-02-07 21:00:00,Vakinankaratra,Mandoto,1.41686392241282,2023-02-07,02-07
1863,2023-02-08 00:00:00,Vakinankaratra,Mandoto,0.0848724336598913,2023-02-08,02-08
1973,2023-02-08 03:00:00,Vakinankaratra,Mandoto,1.69940338859898e-05,2023-02-08,02-08
2083,2023-02-08 06:00:00,Vakinankaratra,Mandoto,0.0110545185134681,2023-02-08,02-08
2193,2023-02-08 09:00:00,Vakinankaratra,Mandoto,0.130501640015715,2023-02-08,02-08
2303,2023-02-08 12:00:00,Vakinankaratra,Mandoto,8.33575975755906,2023-02-08,02-08
2413,2023-02-08 15:00:00,Vakinankaratra,Mandoto,9.43251091129211,2023-02-08,02-08
2523,2023-02-08 18:00:00,Vakinankaratra,Mandoto,2.76753207239144,2023-02-08,02-08
2633,2023-02-08 21:00:00,Vakinankaratra,Mandoto,0.789025833971019,2023-02-08,02-08
2743,2023-02-09 00:00:00,Vakinankaratra,Mandoto,0.0588500936215115,2023-02-09,02-09
2853,2023-02-09 03:00:00,Vakinankaratra,Mandoto,0.0025817303225224,2023-02-09,02-09
2963,2023-02-09 06:00:00,Vakinankaratra,Mandoto,0.0055749637445673,2023-02-09,02-09
3073,2023-02-09 09:00:00,Vakinankaratra,Mandoto,0.806938927923871,2023-02-09,02-09
3183,2023-02-09 12:00:00,Vakinankaratra,Mandoto,9.23924442894789,2023-02-09,02-09
3293,2023-02-09 15:00:00,Vakinankaratra,Mandoto,8.76248124434456,2023-02-09,02-09
3403,2023-02-09 18:00:00,Vakinankaratra,Mandoto,4.48626877725,2023-02-09,02-09
3513,2023-02-09 21:00:00,Vakinankaratra,Mandoto,0.565345509945642,2023-02-09,02-09
3623,2023-02-10 00:00:00,Vakinankaratra,Mandoto,1.08306487550862,2023-02-10,02-10
3733,2023-02-10 03:00:00,Vakinankaratra,Mandoto,0.236786510622086,2023-02-10,02-10
3843,2023-02-10 06:00:00,Vakinankaratra,Mandoto,0.0109265289055508,2023-02-10,02-10
3953,2023-02-10 09:00:00,Vakinankaratra,Mandoto,0.0251821428117732,2023-02-10,02-10
4063,2023-02-10 12:00:00,Vakinankaratra,Mandoto,0.821636303560808,2023-02-10,02-10
4173,2023-02-10 15:00:00,Vakinankaratra,Mandoto,1.07396484442532,2023-02-10,02-10
4283,2023-02-10 18:00:00,Vakinankaratra,Mandoto,0.0755032548778365,2023-02-10,02-10
4393,2023-02-10 21:00:00,Vakinankaratra,Mandoto,0.115072592834368,2023-02-10,02-10
4503,2023-02-11 00:00:00,Vakinankaratra,Mandoto,0.015143568555792,2023-02-11,02-11
4613,2023-02-11 03:00:00,Vakinankaratra,Mandoto,0.0216347218293502,2023-02-11,02-11
4723,2023-02-11 06:00:00,Vakinankaratra,Mandoto,0.0403980438280742,2023-02-11,02-11
4833,2023-02-11 09:00:00,Vakinankaratra,Mandoto,0.032739506579589,2023-02-11,02-11
4943,2023-02-11 12:00:00,Vakinankaratra,Mandoto,0.357748119771036,2023-02-11,02-11
5053,2023-02-11 15:00:00,Vakinankaratra,Mandoto,8.25277602208134,2023-02-11,02-11
5163,2023-02-11 18:00:00,Vakinankaratra,Mandoto,3.21430901811068,2023-02-11,02-11
5273,2023-02-11 21:00:00,Vakinankaratra,Mandoto,0.140003184463049,2023-02-11,02-11
5383,2023-02-12 00:00:00,Vakinankaratra,Mandoto,0.0198117530157486,2023-02-12,02-12
5493,2023-02-12 03:00:00,Vakinankaratra,Mandoto,0.0028415078427209,2023-02-12,02-12
5603,2023-02-12 06:00:00,Vakinankaratra,Mandoto,0.0021300935633155,2023-02-12,02-12
5713,2023-02-12 09:00:00,Vakinankaratra,Mandoto,0.0190116711946334,2023-02-12,02-12
5823,2023-02-12 12:00:00,Vakinankaratra,Mandoto,1.17126162747479,2023-02-12,02-12
5933,2023-02-12 15:00:00,Vakinankaratra,Mandoto,2.56015202591634,2023-02-12,02-12
6043,2023-02-12 18:00:00,Vakinankaratra,Mandoto,4.84543885554182,2023-02-12,02-12
6153,2023-02-12 21:00:00,Vakinankaratra,Mandoto,0.284679561325479,2023-02-12,02-12
6263,2023-02-13 00:00:00,Vakinankaratra,Mandoto,0.0426162143107937,2023-02-13,02-13
6373,2023-02-13 03:00:00,Vakinankaratra,Mandoto,0.0140956235226504,2023-02-13,02-13
6483,2023-02-13 06:00:00,Vakinankaratra,Mandoto,0.0866750352501566,2023-02-13,02-13
6593,2023-02-13 09:00:00,Vakinankaratra,Mandoto,0.0356954544021878,2023-02-13,02-13
6703,2023-02-13 12:00:00,Vakinankaratra,Mandoto,0.014587368143365,2023-02-13,02-13
6813,2023-02-13 15:00:00,Vakinankaratra,Mandoto,0.0119264594287352,2023-02-13,02-13
6923,2023-02-13 18:00:00,Vakinankaratra,Mandoto,0.243371286118121,2023-02-13,02-13
7033,2023-02-13 21:00:00,Vakinankaratra,Mandoto,0.516622732478725,2023-02-13,02-13
7143,2023-02-14 00:00:00,Vakinankaratra,Mandoto,0.544042559206583,2023-02-14,02-14
7253,2023-02-14 03:00:00,Vakinankaratra,Mandoto,0.0092023387415941,2023-02-14,02-14
7363,2023-02-14 06:00:00,Vakinankaratra,Mandoto,0.0259112070523051,2023-02-14,02-14
7473,2023-02-14 09:00:00,Vakinankaratra,Mandoto,0.050601459790541,2023-02-14,02-14
7583,2023-02-14 12:00:00,Vakinankaratra,Mandoto,0.353315238276399,2023-02-14,02-14
7693,2023-02-14 15:00:00,Vakinankaratra,Mandoto,0.617890221147993,2023-02-14,02-14
7803,2023-02-14 18:00:00,Vakinankaratra,Mandoto,0.0886062108911574,2023-02-14,02-14
7913,2023-02-14 21:00:00,Vakinankaratra,Mandoto,0.0792197271244774,2023-02-14,02-14
8023,2023-02-15 00:00:00,Vakinankaratra,Mandoto,0.055570426078914,2023-02-15,02-15
8133,2023-02-15 03:00:00,Vakinankaratra,Mandoto,0.0175016067291307,2023-02-15,02-15
8243,2023-02-15 06:00:00,Vakinankaratra,Mandoto,0.0756116663065176,2023-02-15,02-15
8353,2023-02-15 09:00:00,Vakinankaratra,Mandoto,0.647311388305118,2023-02-15,02-15
8463,2023-02-15 12:00:00,Vakinankaratra,Mandoto,3.47725809735062,2023-02-15,02-15
8573,2023-02-15 15:00:00,Vakinankaratra,Mandoto,7.6386811027945,2023-02-15,02-15
8683,2023-02-15 18:00:00,Vakinankaratra,Mandoto,1.43681066771726,2023-02-15,02-15
8793,2023-02-15 21:00:00,Vakinankaratra,Mandoto,0.401145197262955,2023-02-15,02-15
8903,2023-02-16 00:00:00,Vakinankaratra,Mandoto,0.146382809255196,2023-02-16,02-16
9013,2023-02-16 03:00:00,Vakinankaratra,Mandoto,0.006756953996617,2023-02-16,02-16
9123,2023-02-16 06:00:00,Vakinankaratra,Mandoto,0.161412091336895,2023-02-16,02-16
9233,2023-02-16 09:00:00,Vakinankaratra,Mandoto,1.34337333499097,2023-02-16,02-16
9343,2023-02-16 12:00:00,Vakinankaratra,Mandoto,4.85468596270373,2023-02-16,02-16
9453,2023-02-16 15:00:00,Vakinankaratra,Mandoto,3.21648089935987,2023-02-16,02-16
