,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
95,2023-02-06 00:00:00,Sofia,Mandritsara,0.104798284445234,2023-02-06,02-06
205,2023-02-06 03:00:00,Sofia,Mandritsara,0.0935480292571091,2023-02-06,02-06
315,2023-02-06 06:00:00,Sofia,Mandritsara,0.407703170678741,2023-02-06,02-06
425,2023-02-06 09:00:00,Sofia,Mandritsara,0.602863878212723,2023-02-06,02-06
535,2023-02-06 12:00:00,Sofia,Mandritsara,4.57065922651389,2023-02-06,02-06
645,2023-02-06 15:00:00,Sofia,Mandritsara,8.87076853733472,2023-02-06,02-06
755,2023-02-06 18:00:00,Sofia,Mandritsara,2.3375408050948,2023-02-06,02-06
865,2023-02-06 21:00:00,Sofia,Mandritsara,0.643607445766467,2023-02-06,02-06
975,2023-02-07 00:00:00,Sofia,Mandritsara,0.176258771390611,2023-02-07,02-07
1085,2023-02-07 03:00:00,Sofia,Mandritsara,0.0701822229535156,2023-02-07,02-07
1195,2023-02-07 06:00:00,Sofia,Mandritsara,0.293973098707326,2023-02-07,02-07
1305,2023-02-07 09:00:00,Sofia,Mandritsara,1.2934727677825,2023-02-07,02-07
1415,2023-02-07 12:00:00,Sofia,Mandritsara,5.70486364819767,2023-02-07,02-07
1525,2023-02-07 15:00:00,Sofia,Mandritsara,1.12065627998104,2023-02-07,02-07
1635,2023-02-07 18:00:00,Sofia,Mandritsara,0.602536552632363,2023-02-07,02-07
1745,2023-02-07 21:00:00,Sofia,Mandritsara,0.0984542437234818,2023-02-07,02-07
1855,2023-02-08 00:00:00,Sofia,Mandritsara,0.0279983582806254,2023-02-08,02-08
1965,2023-02-08 03:00:00,Sofia,Mandritsara,0.0436854257490648,2023-02-08,02-08
2075,2023-02-08 06:00:00,Sofia,Mandritsara,0.168517591792489,2023-02-08,02-08
2185,2023-02-08 09:00:00,Sofia,Mandritsara,0.368002507353721,2023-02-08,02-08
2295,2023-02-08 12:00:00,Sofia,Mandritsara,0.254877631943727,2023-02-08,02-08
2405,2023-02-08 15:00:00,Sofia,Mandritsara,0.0519953962688897,2023-02-08,02-08
2515,2023-02-08 18:00:00,Sofia,Mandritsara,0.0240729682981361,2023-02-08,02-08
2625,2023-02-08 21:00:00,Sofia,Mandritsara,0.0559474958931258,2023-02-08,02-08
2735,2023-02-09 00:00:00,Sofia,Mandritsara,0.372656160849823,2023-02-09,02-09
2845,2023-02-09 03:00:00,Sofia,Mandritsara,0.208580527591335,2023-02-09,02-09
2955,2023-02-09 06:00:00,Sofia,Mandritsara,0.191243501608856,2023-02-09,02-09
3065,2023-02-09 09:00:00,Sofia,Mandritsara,0.145935816927894,2023-02-09,02-09
3175,2023-02-09 12:00:00,Sofia,Mandritsara,0.187738308349359,2023-02-09,02-09
3285,2023-02-09 15:00:00,Sofia,Mandritsara,0.0637000856391793,2023-02-09,02-09
3395,2023-02-09 18:00:00,Sofia,Mandritsara,0.0412619923976477,2023-02-09,02-09
3505,2023-02-09 21:00:00,Sofia,Mandritsara,0.108051723658465,2023-02-09,02-09
3615,2023-02-10 00:00:00,Sofia,Mandritsara,1.37100467421615,2023-02-10,02-10
3725,2023-02-10 03:00:00,Sofia,Mandritsara,0.804749906384576,2023-02-10,02-10
3835,2023-02-10 06:00:00,Sofia,Mandritsara,0.246897800755146,2023-02-10,02-10
3945,2023-02-10 09:00:00,Sofia,Mandritsara,0.208468820933567,2023-02-10,02-10
4055,2023-02-10 12:00:00,Sofia,Mandritsara,0.115060642439477,2023-02-10,02-10
4165,2023-02-10 15:00:00,Sofia,Mandritsara,0.0152078688843176,2023-02-10,02-10
4275,2023-02-10 18:00:00,Sofia,Mandritsara,0.0222022538939708,2023-02-10,02-10
4385,2023-02-10 21:00:00,Sofia,Mandritsara,0.0222692991597415,2023-02-10,02-10
4495,2023-02-11 00:00:00,Sofia,Mandritsara,0.041126245278107,2023-02-11,02-11
4605,2023-02-11 03:00:00,Sofia,Mandritsara,0.0406342484402135,2023-02-11,02-11
4715,2023-02-11 06:00:00,Sofia,Mandritsara,0.0469713856311797,2023-02-11,02-11
4825,2023-02-11 09:00:00,Sofia,Mandritsara,0.0598407359475671,2023-02-11,02-11
4935,2023-02-11 12:00:00,Sofia,Mandritsara,0.329362651503775,2023-02-11,02-11
5045,2023-02-11 15:00:00,Sofia,Mandritsara,0.915364091058511,2023-02-11,02-11
5155,2023-02-11 18:00:00,Sofia,Mandritsara,0.347429347835714,2023-02-11,02-11
5265,2023-02-11 21:00:00,Sofia,Mandritsara,0.146570264954028,2023-02-11,02-11
5375,2023-02-12 00:00:00,Sofia,Mandritsara,0.0286423837919016,2023-02-12,02-12
5485,2023-02-12 03:00:00,Sofia,Mandritsara,0.0032746506980782,2023-02-12,02-12
5595,2023-02-12 06:00:00,Sofia,Mandritsara,0.117442392985753,2023-02-12,02-12
5705,2023-02-12 09:00:00,Sofia,Mandritsara,0.266400792550696,2023-02-12,02-12
5815,2023-02-12 12:00:00,Sofia,Mandritsara,0.647471144652606,2023-02-12,02-12
5925,2023-02-12 15:00:00,Sofia,Mandritsara,1.41280864337513,2023-02-12,02-12
6035,2023-02-12 18:00:00,Sofia,Mandritsara,0.0529328941064345,2023-02-12,02-12
6145,2023-02-12 21:00:00,Sofia,Mandritsara,0.0078431589361063,2023-02-12,02-12
6255,2023-02-13 00:00:00,Sofia,Mandritsara,0.0024836821972966,2023-02-13,02-13
6365,2023-02-13 03:00:00,Sofia,Mandritsara,0.0438609594123189,2023-02-13,02-13
