,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
83,2023-02-06 00:00:00,Menabe,Manja,0.0010463850899563,2023-02-06,02-06
193,2023-02-06 03:00:00,Menabe,Manja,5.15669130553038e-06,2023-02-06,02-06
303,2023-02-06 06:00:00,Menabe,Manja,0.0120986938530293,2023-02-06,02-06
413,2023-02-06 09:00:00,Menabe,Manja,0.24974183000263,2023-02-06,02-06
523,2023-02-06 12:00:00,Menabe,Manja,1.34007746911569,2023-02-06,02-06
633,2023-02-06 15:00:00,Menabe,Manja,0.971856041086796,2023-02-06,02-06
743,2023-02-06 18:00:00,Menabe,Manja,0.425415430312009,2023-02-06,02-06
853,2023-02-06 21:00:00,Menabe,Manja,0.814891651982459,2023-02-06,02-06
963,2023-02-07 00:00:00,Menabe,Manja,3.76285595815474,2023-02-07,02-07
1073,2023-02-07 03:00:00,Menabe,Manja,0.625257536017437,2023-02-07,02-07
1183,2023-02-07 06:00:00,Menabe,Manja,0.146579976757773,2023-02-07,02-07
1293,2023-02-07 09:00:00,Menabe,Manja,1.31538343641725,2023-02-07,02-07
1403,2023-02-07 12:00:00,Menabe,Manja,3.77822839276334,2023-02-07,02-07
1513,2023-02-07 15:00:00,Menabe,Manja,4.20678828349441,2023-02-07,02-07
1623,2023-02-07 18:00:00,Menabe,Manja,5.52876722771385,2023-02-07,02-07
1733,2023-02-07 21:00:00,Menabe,Manja,1.8070294719461,2023-02-07,02-07
1843,2023-02-08 00:00:00,Menabe,Manja,0.947307200542687,2023-02-08,02-08
1953,2023-02-08 03:00:00,Menabe,Manja,0.571763294694486,2023-02-08,02-08
2063,2023-02-08 06:00:00,Menabe,Manja,0.106024143586043,2023-02-08,02-08
2173,2023-02-08 09:00:00,Menabe,Manja,0.309063952990049,2023-02-08,02-08
2283,2023-02-08 12:00:00,Menabe,Manja,0.0636258963846231,2023-02-08,02-08
2393,2023-02-08 15:00:00,Menabe,Manja,0.207970105211597,2023-02-08,02-08
2503,2023-02-08 18:00:00,Menabe,Manja,0.614768244566408,2023-02-08,02-08
2613,2023-02-08 21:00:00,Menabe,Manja,1.12493830657107,2023-02-08,02-08
2723,2023-02-09 00:00:00,Menabe,Manja,1.74574066420199,2023-02-09,02-09
2833,2023-02-09 03:00:00,Menabe,Manja,0.528099576126223,2023-02-09,02-09
2943,2023-02-09 06:00:00,Menabe,Manja,0.108336787200712,2023-02-09,02-09
3053,2023-02-09 09:00:00,Menabe,Manja,0.400919420554344,2023-02-09,02-09
3163,2023-02-09 12:00:00,Menabe,Manja,6.18794869170196,2023-02-09,02-09
3273,2023-02-09 15:00:00,Menabe,Manja,4.10524505723151,2023-02-09,02-09
3383,2023-02-09 18:00:00,Menabe,Manja,2.27693638016428,2023-02-09,02-09
3493,2023-02-09 21:00:00,Menabe,Manja,1.72222257614246,2023-02-09,02-09
3603,2023-02-10 00:00:00,Menabe,Manja,0.90628166694809,2023-02-10,02-10
3713,2023-02-10 03:00:00,Menabe,Manja,0.376452550707677,2023-02-10,02-10
3823,2023-02-10 06:00:00,Menabe,Manja,0.0226857096773202,2023-02-10,02-10
3933,2023-02-10 09:00:00,Menabe,Manja,0.106068023829721,2023-02-10,02-10
4043,2023-02-10 12:00:00,Menabe,Manja,0.197558350707345,2023-02-10,02-10
4153,2023-02-10 15:00:00,Menabe,Manja,0.0190062849537637,2023-02-10,02-10
4263,2023-02-10 18:00:00,Menabe,Manja,0.0188148710525965,2023-02-10,02-10
4373,2023-02-10 21:00:00,Menabe,Manja,0.154554457914902,2023-02-10,02-10
4483,2023-02-11 00:00:00,Menabe,Manja,0.299650650991587,2023-02-11,02-11
4593,2023-02-11 03:00:00,Menabe,Manja,0.0226998605454961,2023-02-11,02-11
4703,2023-02-11 06:00:00,Menabe,Manja,0.0033531103116006,2023-02-11,02-11
4813,2023-02-11 09:00:00,Menabe,Manja,0.0533936872297767,2023-02-11,02-11
4923,2023-02-11 12:00:00,Menabe,Manja,1.09908268997932,2023-02-11,02-11
5033,2023-02-11 15:00:00,Menabe,Manja,0.168105169512087,2023-02-11,02-11
5143,2023-02-11 18:00:00,Menabe,Manja,0.444303221197632,2023-02-11,02-11
5253,2023-02-11 21:00:00,Menabe,Manja,4.02078298639688,2023-02-11,02-11
5363,2023-02-12 00:00:00,Menabe,Manja,1.76281258957729,2023-02-12,02-12
5473,2023-02-12 03:00:00,Menabe,Manja,0.0025435690014348,2023-02-12,02-12
5583,2023-02-12 06:00:00,Menabe,Manja,0.0094552285751351,2023-02-12,02-12
5693,2023-02-12 09:00:00,Menabe,Manja,0.615545654784327,2023-02-12,02-12
5803,2023-02-12 12:00:00,Menabe,Manja,1.41680586712736,2023-02-12,02-12
5913,2023-02-12 15:00:00,Menabe,Manja,0.6059178953859,2023-02-12,02-12
6023,2023-02-12 18:00:00,Menabe,Manja,0.273505948967515,2023-02-12,02-12
6133,2023-02-12 21:00:00,Menabe,Manja,0.352793576178672,2023-02-12,02-12
6243,2023-02-13 00:00:00,Menabe,Manja,0.158341557153154,2023-02-13,02-13
6353,2023-02-13 03:00:00,Menabe,Manja,0.141421988513918,2023-02-13,02-13
6463,2023-02-13 06:00:00,Menabe,Manja,0.295264288892026,2023-02-13,02-13
6573,2023-02-13 09:00:00,Menabe,Manja,0.434455582400402,2023-02-13,02-13
6683,2023-02-13 12:00:00,Menabe,Manja,0.47882419346178,2023-02-13,02-13
6793,2023-02-13 15:00:00,Menabe,Manja,0.11247956429053,2023-02-13,02-13
6903,2023-02-13 18:00:00,Menabe,Manja,0.0830434189821319,2023-02-13,02-13
7013,2023-02-13 21:00:00,Menabe,Manja,0.0186458822953192,2023-02-13,02-13
7123,2023-02-14 00:00:00,Menabe,Manja,0.0018681077217945,2023-02-14,02-14
7233,2023-02-14 03:00:00,Menabe,Manja,0.0004354282021104,2023-02-14,02-14
7343,2023-02-14 06:00:00,Menabe,Manja,0.0143229539188234,2023-02-14,02-14
7453,2023-02-14 09:00:00,Menabe,Manja,0.175343359945169,2023-02-14,02-14
7563,2023-02-14 12:00:00,Menabe,Manja,0.479736360239958,2023-02-14,02-14
7673,2023-02-14 15:00:00,Menabe,Manja,0.328952132083195,2023-02-14,02-14
7783,2023-02-14 18:00:00,Menabe,Manja,0.0442471584597698,2023-02-14,02-14
7893,2023-02-14 21:00:00,Menabe,Manja,0.0566359572328973,2023-02-14,02-14
8003,2023-02-15 00:00:00,Menabe,Manja,0.0521427523143267,2023-02-15,02-15
8113,2023-02-15 03:00:00,Menabe,Manja,0.0483666148330742,2023-02-15,02-15
8223,2023-02-15 06:00:00,Menabe,Manja,0.173339957712391,2023-02-15,02-15
8333,2023-02-15 09:00:00,Menabe,Manja,0.103824233879538,2023-02-15,02-15
8443,2023-02-15 12:00:00,Menabe,Manja,3.46094931791856,2023-02-15,02-15
8553,2023-02-15 15:00:00,Menabe,Manja,2.05829922416627,2023-02-15,02-15
8663,2023-02-15 18:00:00,Menabe,Manja,0.036148184242521,2023-02-15,02-15
8773,2023-02-15 21:00:00,Menabe,Manja,0.0099783336366108,2023-02-15,02-15
8883,2023-02-16 00:00:00,Menabe,Manja,0.0129880681119035,2023-02-16,02-16
8993,2023-02-16 03:00:00,Menabe,Manja,0.0568525045699715,2023-02-16,02-16
9103,2023-02-16 06:00:00,Menabe,Manja,0.0336492341026688,2023-02-16,02-16
9213,2023-02-16 09:00:00,Menabe,Manja,0.648732592061443,2023-02-16,02-16
9323,2023-02-16 12:00:00,Menabe,Manja,0.649209000513507,2023-02-16,02-16
9433,2023-02-16 15:00:00,Menabe,Manja,2.28551420597404,2023-02-16,02-16
9543,2023-02-16 18:00:00,Menabe,Manja,1.54821428646877,2023-02-16,02-16
9653,2023-02-16 21:00:00,Menabe,Manja,0.774524921993128,2023-02-16,02-16
9763,2023-02-17 00:00:00,Menabe,Manja,0.168859119768828,2023-02-17,02-17
9873,2023-02-17 03:00:00,Menabe,Manja,0.0180834061884059,2023-02-17,02-17
9983,2023-02-17 06:00:00,Menabe,Manja,0.0698268173399787,2023-02-17,02-17
10093,2023-02-17 09:00:00,Menabe,Manja,0.264170619899419,2023-02-17,02-17
10203,2023-02-17 12:00:00,Menabe,Manja,0.579588246300446,2023-02-17,02-17
10313,2023-02-17 15:00:00,Menabe,Manja,0.0824720935145309,2023-02-17,02-17
10423,2023-02-17 18:00:00,Menabe,Manja,0.0791932165918227,2023-02-17,02-17
10533,2023-02-17 21:00:00,Menabe,Manja,0.0779116196171321,2023-02-17,02-17
10643,2023-02-18 00:00:00,Menabe,Manja,0.0701944217136584,2023-02-18,02-18
10753,2023-02-18 03:00:00,Menabe,Manja,0.0234562899053204,2023-02-18,02-18
10863,2023-02-18 06:00:00,Menabe,Manja,0.0120659279443013,2023-02-18,02-18
10973,2023-02-18 09:00:00,Menabe,Manja,0.0252346424654556,2023-02-18,02-18
11083,2023-02-18 12:00:00,Menabe,Manja,0.822112771470506,2023-02-18,02-18
11193,2023-02-18 15:00:00,Menabe,Manja,0.0228972862376115,2023-02-18,02-18
11303,2023-02-18 18:00:00,Menabe,Manja,0.0002676597803843,2023-02-18,02-18
11413,2023-02-18 21:00:00,Menabe,Manja,0.0011634869554724,2023-02-18,02-18
11523,2023-02-19 00:00:00,Menabe,Manja,1.68061665951824e-05,2023-02-19,02-19
11633,2023-02-19 03:00:00,Menabe,Manja,4.99652919526666e-06,2023-02-19,02-19
11743,2023-02-19 06:00:00,Menabe,Manja,0.0003514268177334,2023-02-19,02-19
11853,2023-02-19 09:00:00,Menabe,Manja,0.006134277563363,2023-02-19,02-19
11963,2023-02-19 12:00:00,Menabe,Manja,0.0122837854514961,2023-02-19,02-19
12073,2023-02-19 15:00:00,Menabe,Manja,0.0001476662746893,2023-02-19,02-19
12183,2023-02-19 18:00:00,Menabe,Manja,0.0017289399573854,2023-02-19,02-19
12293,2023-02-19 21:00:00,Menabe,Manja,4.84794817076853e-06,2023-02-19,02-19
12403,2023-02-20 00:00:00,Menabe,Manja,5.45173847618011e-06,2023-02-20,02-20
12513,2023-02-20 03:00:00,Menabe,Manja,4.81798764294348e-06,2023-02-20,02-20
12623,2023-02-20 06:00:00,Menabe,Manja,0.0090426000376912,2023-02-20,02-20
12733,2023-02-20 09:00:00,Menabe,Manja,0.231400831533859,2023-02-20,02-20
12843,2023-02-20 12:00:00,Menabe,Manja,1.05836434326529,2023-02-20,02-20
12953,2023-02-20 15:00:00,Menabe,Manja,0.443620595938484,2023-02-20,02-20
13063,2023-02-20 18:00:00,Menabe,Manja,0.0115323310825401,2023-02-20,02-20
13173,2023-02-20 21:00:00,Menabe,Manja,0.0011848366702906,2023-02-20,02-20
13283,2023-02-21 00:00:00,Menabe,Manja,5.39011596582639e-06,2023-02-21,02-21
13393,2023-02-21 03:00:00,Menabe,Manja,2.19987041185586e-05,2023-02-21,02-21
13503,2023-02-21 06:00:00,Menabe,Manja,7.7483433788308e-05,2023-02-21,02-21
13613,2023-02-21 09:00:00,Menabe,Manja,0.0085582185442595,2023-02-21,02-21
13723,2023-02-21 12:00:00,Menabe,Manja,0.0533850203210022,2023-02-21,02-21
13833,2023-02-21 15:00:00,Menabe,Manja,1.18902344786255,2023-02-21,02-21
13943,2023-02-21 18:00:00,Menabe,Manja,0.607127845691792,2023-02-21,02-21
14053,2023-02-21 21:00:00,Menabe,Manja,0.467987178161424,2023-02-21,02-21
14163,2023-02-22 00:00:00,Menabe,Manja,0.723286726409032,2023-02-22,02-22
14273,2023-02-22 03:00:00,Menabe,Manja,1.47532969646048,2023-02-22,02-22
14383,2023-02-22 06:00:00,Menabe,Manja,3.31357800795694,2023-02-22,02-22
14493,2023-02-22 09:00:00,Menabe,Manja,6.61802849563089,2023-02-22,02-22
14603,2023-02-22 12:00:00,Menabe,Manja,8.99725543047101,2023-02-22,02-22
14713,2023-02-22 15:00:00,Menabe,Manja,10.1180762470221,2023-02-22,02-22
14823,2023-02-22 18:00:00,Menabe,Manja,7.75124257534686,2023-02-22,02-22
14933,2023-02-22 21:00:00,Menabe,Manja,2.45289743103412,2023-02-22,02-22
15043,2023-02-23 00:00:00,Menabe,Manja,0.318009515907854,2023-02-23,02-23
15153,2023-02-23 03:00:00,Menabe,Manja,0.158146149290797,2023-02-23,02-23
15263,2023-02-23 06:00:00,Menabe,Manja,0.0859331356933138,2023-02-23,02-23
15373,2023-02-23 09:00:00,Menabe,Manja,0.124172632879494,2023-02-23,02-23
15483,2023-02-23 12:00:00,Menabe,Manja,0.466981865383553,2023-02-23,02-23
15593,2023-02-23 15:00:00,Menabe,Manja,0.712090511160801,2023-02-23,02-23
15703,2023-02-23 18:00:00,Menabe,Manja,5.36296549939568,2023-02-23,02-23
15813,2023-02-23 21:00:00,Menabe,Manja,2.27262241397357,2023-02-23,02-23
15923,2023-02-24 00:00:00,Menabe,Manja,0.689900249424868,2023-02-24,02-24
16033,2023-02-24 03:00:00,Menabe,Manja,0.0468770167305289,2023-02-24,02-24
16143,2023-02-24 06:00:00,Menabe,Manja,0.028941732081316,2023-02-24,02-24
16253,2023-02-24 09:00:00,Menabe,Manja,0.115848601373354,2023-02-24,02-24
16363,2023-02-24 12:00:00,Menabe,Manja,0.925681432565071,2023-02-24,02-24
16473,2023-02-24 15:00:00,Menabe,Manja,0.136039421851866,2023-02-24,02-24
16583,2023-02-24 18:00:00,Menabe,Manja,0.0659489328831207,2023-02-24,02-24
16693,2023-02-24 21:00:00,Menabe,Manja,0.303925487160599,2023-02-24,02-24
16803,2023-02-25 00:00:00,Menabe,Manja,0.216494686612024,2023-02-25,02-25
16913,2023-02-25 03:00:00,Menabe,Manja,0.0043769793611807,2023-02-25,02-25
17023,2023-02-25 06:00:00,Menabe,Manja,0.0190052667622251,2023-02-25,02-25
17133,2023-02-25 09:00:00,Menabe,Manja,0.205368100993861,2023-02-25,02-25
17243,2023-02-25 12:00:00,Menabe,Manja,0.608563240297372,2023-02-25,02-25
17353,2023-02-25 15:00:00,Menabe,Manja,0.181190484089222,2023-02-25,02-25
17463,2023-02-25 18:00:00,Menabe,Manja,0.0013909835132579,2023-02-25,02-25
17573,2023-02-25 21:00:00,Menabe,Manja,0.0038605654442038,2023-02-25,02-25
17683,2023-02-26 00:00:00,Menabe,Manja,0.0164835428869805,2023-02-26,02-26
