,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
15,2023-02-06 00:00:00,Analamanga,Manjakandriana,0.177529560334873,2023-02-06,02-06
125,2023-02-06 03:00:00,Analamanga,Manjakandriana,0.588839485157783,2023-02-06,02-06
235,2023-02-06 06:00:00,Analamanga,Manjakandriana,0.699449753800694,2023-02-06,02-06
345,2023-02-06 09:00:00,Analamanga,Manjakandriana,1.07212564183954,2023-02-06,02-06
455,2023-02-06 12:00:00,Analamanga,Manjakandriana,1.23926386833997,2023-02-06,02-06
565,2023-02-06 15:00:00,Analamanga,Manjakandriana,1.01538534024551,2023-02-06,02-06
675,2023-02-06 18:00:00,Analamanga,Manjakandriana,1.37286194004208,2023-02-06,02-06
785,2023-02-06 21:00:00,Analamanga,Manjakandriana,0.648823866678868,2023-02-06,02-06
895,2023-02-07 00:00:00,Analamanga,Manjakandriana,0.467454053577967,2023-02-07,02-07
1005,2023-02-07 03:00:00,Analamanga,Manjakandriana,0.548356833169237,2023-02-07,02-07
1115,2023-02-07 06:00:00,Analamanga,Manjakandriana,0.526966416133711,2023-02-07,02-07
1225,2023-02-07 09:00:00,Analamanga,Manjakandriana,0.249445359101698,2023-02-07,02-07
1335,2023-02-07 12:00:00,Analamanga,Manjakandriana,0.167324556718365,2023-02-07,02-07
1445,2023-02-07 15:00:00,Analamanga,Manjakandriana,0.104679076287609,2023-02-07,02-07
1555,2023-02-07 18:00:00,Analamanga,Manjakandriana,0.0656761690132463,2023-02-07,02-07
1665,2023-02-07 21:00:00,Analamanga,Manjakandriana,0.139141481799575,2023-02-07,02-07
1775,2023-02-08 00:00:00,Analamanga,Manjakandriana,0.499655337816176,2023-02-08,02-08
1885,2023-02-08 03:00:00,Analamanga,Manjakandriana,0.0860525683428233,2023-02-08,02-08
1995,2023-02-08 06:00:00,Analamanga,Manjakandriana,0.177299050761996,2023-02-08,02-08
2105,2023-02-08 09:00:00,Analamanga,Manjakandriana,0.178460824357059,2023-02-08,02-08
2215,2023-02-08 12:00:00,Analamanga,Manjakandriana,0.519490131772517,2023-02-08,02-08
2325,2023-02-08 15:00:00,Analamanga,Manjakandriana,0.157642653113446,2023-02-08,02-08
2435,2023-02-08 18:00:00,Analamanga,Manjakandriana,0.132657139136707,2023-02-08,02-08
2545,2023-02-08 21:00:00,Analamanga,Manjakandriana,0.18518314926097,2023-02-08,02-08
2655,2023-02-09 00:00:00,Analamanga,Manjakandriana,0.271967326098372,2023-02-09,02-09
2765,2023-02-09 03:00:00,Analamanga,Manjakandriana,0.166717580031568,2023-02-09,02-09
