,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
18,2023-02-06 00:00:00,Analanjirofo,Maroantsetra,0.157920094605028,2023-02-06,02-06
128,2023-02-06 03:00:00,Analanjirofo,Maroantsetra,0.315168432730258,2023-02-06,02-06
238,2023-02-06 06:00:00,Analanjirofo,Maroantsetra,1.01894662290787,2023-02-06,02-06
348,2023-02-06 09:00:00,Analanjirofo,Maroantsetra,1.67604532652331,2023-02-06,02-06
458,2023-02-06 12:00:00,Analanjirofo,Maroantsetra,3.53666229226136,2023-02-06,02-06
568,2023-02-06 15:00:00,Analanjirofo,Maroantsetra,6.18337594263929,2023-02-06,02-06
678,2023-02-06 18:00:00,Analanjirofo,Maroantsetra,1.52674494569926,2023-02-06,02-06
788,2023-02-06 21:00:00,Analanjirofo,Maroantsetra,0.622967700816974,2023-02-06,02-06
898,2023-02-07 00:00:00,Analanjirofo,Maroantsetra,0.150624680342194,2023-02-07,02-07
1008,2023-02-07 03:00:00,Analanjirofo,Maroantsetra,0.199169569703892,2023-02-07,02-07
1118,2023-02-07 06:00:00,Analanjirofo,Maroantsetra,1.92287347844623,2023-02-07,02-07
1228,2023-02-07 09:00:00,Analanjirofo,Maroantsetra,2.94272477153468,2023-02-07,02-07
1338,2023-02-07 12:00:00,Analanjirofo,Maroantsetra,3.03844703218471,2023-02-07,02-07
1448,2023-02-07 15:00:00,Analanjirofo,Maroantsetra,4.52932148651183,2023-02-07,02-07
1558,2023-02-07 18:00:00,Analanjirofo,Maroantsetra,2.40526143879418,2023-02-07,02-07
1668,2023-02-07 21:00:00,Analanjirofo,Maroantsetra,1.14936862057324,2023-02-07,02-07
1778,2023-02-08 00:00:00,Analanjirofo,Maroantsetra,0.544229814211056,2023-02-08,02-08
1888,2023-02-08 03:00:00,Analanjirofo,Maroantsetra,0.550473124635963,2023-02-08,02-08
1998,2023-02-08 06:00:00,Analanjirofo,Maroantsetra,1.44565626879298,2023-02-08,02-08
2108,2023-02-08 09:00:00,Analanjirofo,Maroantsetra,2.1941060833238,2023-02-08,02-08
2218,2023-02-08 12:00:00,Analanjirofo,Maroantsetra,2.08507490920394,2023-02-08,02-08
2328,2023-02-08 15:00:00,Analanjirofo,Maroantsetra,1.14713771415076,2023-02-08,02-08
2438,2023-02-08 18:00:00,Analanjirofo,Maroantsetra,1.74305844655984,2023-02-08,02-08
2548,2023-02-08 21:00:00,Analanjirofo,Maroantsetra,0.773335785969851,2023-02-08,02-08
2658,2023-02-09 00:00:00,Analanjirofo,Maroantsetra,0.64792877301079,2023-02-09,02-09
2768,2023-02-09 03:00:00,Analanjirofo,Maroantsetra,0.539797567749961,2023-02-09,02-09
2878,2023-02-09 06:00:00,Analanjirofo,Maroantsetra,1.14499782968882,2023-02-09,02-09
2988,2023-02-09 09:00:00,Analanjirofo,Maroantsetra,1.34236864674105,2023-02-09,02-09
3098,2023-02-09 12:00:00,Analanjirofo,Maroantsetra,1.2698727432206,2023-02-09,02-09
3208,2023-02-09 15:00:00,Analanjirofo,Maroantsetra,0.494213352787483,2023-02-09,02-09
3318,2023-02-09 18:00:00,Analanjirofo,Maroantsetra,0.572305721771305,2023-02-09,02-09
