,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
45,2023-02-06 00:00:00,Atsinanana,Marolambo,0.448575493538131,2023-02-06,02-06
155,2023-02-06 03:00:00,Atsinanana,Marolambo,0.481236219033599,2023-02-06,02-06
265,2023-02-06 06:00:00,Atsinanana,Marolambo,1.83024957779368,2023-02-06,02-06
375,2023-02-06 09:00:00,Atsinanana,Marolambo,2.66922730375081,2023-02-06,02-06
485,2023-02-06 12:00:00,Atsinanana,Marolambo,3.30360324486392,2023-02-06,02-06
595,2023-02-06 15:00:00,Atsinanana,Marolambo,1.9460967658204,2023-02-06,02-06
705,2023-02-06 18:00:00,Atsinanana,Marolambo,2.32387031761464,2023-02-06,02-06
815,2023-02-06 21:00:00,Atsinanana,Marolambo,2.90917336862379,2023-02-06,02-06
925,2023-02-07 00:00:00,Atsinanana,Marolambo,1.64738962223831,2023-02-07,02-07
1035,2023-02-07 03:00:00,Atsinanana,Marolambo,0.678854392199234,2023-02-07,02-07
1145,2023-02-07 06:00:00,Atsinanana,Marolambo,0.840804729868735,2023-02-07,02-07
1255,2023-02-07 09:00:00,Atsinanana,Marolambo,1.60726031448382,2023-02-07,02-07
1365,2023-02-07 12:00:00,Atsinanana,Marolambo,2.3495196450133,2023-02-07,02-07
1475,2023-02-07 15:00:00,Atsinanana,Marolambo,2.216856359607,2023-02-07,02-07
1585,2023-02-07 18:00:00,Atsinanana,Marolambo,1.59639604205537,2023-02-07,02-07
1695,2023-02-07 21:00:00,Atsinanana,Marolambo,0.196776070725173,2023-02-07,02-07
1805,2023-02-08 00:00:00,Atsinanana,Marolambo,0.118936686600015,2023-02-08,02-08
1915,2023-02-08 03:00:00,Atsinanana,Marolambo,0.0655289967486169,2023-02-08,02-08
2025,2023-02-08 06:00:00,Atsinanana,Marolambo,0.293253024058261,2023-02-08,02-08
2135,2023-02-08 09:00:00,Atsinanana,Marolambo,1.27476072820136,2023-02-08,02-08
2245,2023-02-08 12:00:00,Atsinanana,Marolambo,1.64288352290168,2023-02-08,02-08
2355,2023-02-08 15:00:00,Atsinanana,Marolambo,0.72439993940255,2023-02-08,02-08
2465,2023-02-08 18:00:00,Atsinanana,Marolambo,0.585413730621804,2023-02-08,02-08
2575,2023-02-08 21:00:00,Atsinanana,Marolambo,0.513530963178103,2023-02-08,02-08
2685,2023-02-09 00:00:00,Atsinanana,Marolambo,0.351722940988839,2023-02-09,02-09
2795,2023-02-09 03:00:00,Atsinanana,Marolambo,0.417294638378856,2023-02-09,02-09
2905,2023-02-09 06:00:00,Atsinanana,Marolambo,1.11008315393313,2023-02-09,02-09
3015,2023-02-09 09:00:00,Atsinanana,Marolambo,1.87755824502674,2023-02-09,02-09
3125,2023-02-09 12:00:00,Atsinanana,Marolambo,1.52128526946763,2023-02-09,02-09
3235,2023-02-09 15:00:00,Atsinanana,Marolambo,0.666827912419103,2023-02-09,02-09
3345,2023-02-09 18:00:00,Atsinanana,Marolambo,0.488111647034142,2023-02-09,02-09
3455,2023-02-09 21:00:00,Atsinanana,Marolambo,0.0419236406334676,2023-02-09,02-09
3565,2023-02-10 00:00:00,Atsinanana,Marolambo,0.010047466205045,2023-02-10,02-10
3675,2023-02-10 03:00:00,Atsinanana,Marolambo,0.128797190314314,2023-02-10,02-10
3785,2023-02-10 06:00:00,Atsinanana,Marolambo,0.0566885122583093,2023-02-10,02-10
3895,2023-02-10 09:00:00,Atsinanana,Marolambo,0.069816172363547,2023-02-10,02-10
4005,2023-02-10 12:00:00,Atsinanana,Marolambo,0.204001988200859,2023-02-10,02-10
4115,2023-02-10 15:00:00,Atsinanana,Marolambo,0.0506052405903271,2023-02-10,02-10
4225,2023-02-10 18:00:00,Atsinanana,Marolambo,0.028712582650284,2023-02-10,02-10
4335,2023-02-10 21:00:00,Atsinanana,Marolambo,0.0381736993906088,2023-02-10,02-10
4445,2023-02-11 00:00:00,Atsinanana,Marolambo,0.0003538540758502,2023-02-11,02-11
4555,2023-02-11 03:00:00,Atsinanana,Marolambo,0.0001048238792767,2023-02-11,02-11
4665,2023-02-11 06:00:00,Atsinanana,Marolambo,0.0044648162011678,2023-02-11,02-11
4775,2023-02-11 09:00:00,Atsinanana,Marolambo,0.0126962954197855,2023-02-11,02-11
