,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
53,2023-02-06 00:00:00,Boeny,Marovoay,1.71642236239985,2023-02-06,02-06
163,2023-02-06 03:00:00,Boeny,Marovoay,1.13342403364494,2023-02-06,02-06
273,2023-02-06 06:00:00,Boeny,Marovoay,1.28119000174869,2023-02-06,02-06
383,2023-02-06 09:00:00,Boeny,Marovoay,0.594742267789906,2023-02-06,02-06
493,2023-02-06 12:00:00,Boeny,Marovoay,1.43578596738213,2023-02-06,02-06
603,2023-02-06 15:00:00,Boeny,Marovoay,3.43777743779609,2023-02-06,02-06
713,2023-02-06 18:00:00,Boeny,Marovoay,5.80795610003533,2023-02-06,02-06
823,2023-02-06 21:00:00,Boeny,Marovoay,2.26461805240884,2023-02-06,02-06
933,2023-02-07 00:00:00,Boeny,Marovoay,0.183656888345823,2023-02-07,02-07
1043,2023-02-07 03:00:00,Boeny,Marovoay,0.109443768852583,2023-02-07,02-07
1153,2023-02-07 06:00:00,Boeny,Marovoay,1.42615564095879,2023-02-07,02-07
1263,2023-02-07 09:00:00,Boeny,Marovoay,1.37276965616089,2023-02-07,02-07
1373,2023-02-07 12:00:00,Boeny,Marovoay,6.37794661573539,2023-02-07,02-07
1483,2023-02-07 15:00:00,Boeny,Marovoay,5.64752512839471,2023-02-07,02-07
1593,2023-02-07 18:00:00,Boeny,Marovoay,2.46541513152086,2023-02-07,02-07
1703,2023-02-07 21:00:00,Boeny,Marovoay,0.30773650594663,2023-02-07,02-07
1813,2023-02-08 00:00:00,Boeny,Marovoay,0.007533996532995,2023-02-08,02-08
1923,2023-02-08 03:00:00,Boeny,Marovoay,0.0004803549609673,2023-02-08,02-08
2033,2023-02-08 06:00:00,Boeny,Marovoay,0.0143119828704664,2023-02-08,02-08
2143,2023-02-08 09:00:00,Boeny,Marovoay,0.0301636839753685,2023-02-08,02-08
2253,2023-02-08 12:00:00,Boeny,Marovoay,3.53405694701107,2023-02-08,02-08
2363,2023-02-08 15:00:00,Boeny,Marovoay,11.5923888253797,2023-02-08,02-08
2473,2023-02-08 18:00:00,Boeny,Marovoay,8.83147139173335,2023-02-08,02-08
2583,2023-02-08 21:00:00,Boeny,Marovoay,1.92609809577065,2023-02-08,02-08
2693,2023-02-09 00:00:00,Boeny,Marovoay,0.127008565027095,2023-02-09,02-09
2803,2023-02-09 03:00:00,Boeny,Marovoay,0.0029328239932352,2023-02-09,02-09
2913,2023-02-09 06:00:00,Boeny,Marovoay,0.0103616545498169,2023-02-09,02-09
3023,2023-02-09 09:00:00,Boeny,Marovoay,0.027082955063594,2023-02-09,02-09
3133,2023-02-09 12:00:00,Boeny,Marovoay,1.80130223663392,2023-02-09,02-09
3243,2023-02-09 15:00:00,Boeny,Marovoay,9.6916543135708,2023-02-09,02-09
3353,2023-02-09 18:00:00,Boeny,Marovoay,10.9699209858385,2023-02-09,02-09
3463,2023-02-09 21:00:00,Boeny,Marovoay,3.62860879194088,2023-02-09,02-09
3573,2023-02-10 00:00:00,Boeny,Marovoay,0.494870731100926,2023-02-10,02-10
3683,2023-02-10 03:00:00,Boeny,Marovoay,0.0723404371288463,2023-02-10,02-10
3793,2023-02-10 06:00:00,Boeny,Marovoay,0.0619604177659114,2023-02-10,02-10
3903,2023-02-10 09:00:00,Boeny,Marovoay,0.015433545552103,2023-02-10,02-10
4013,2023-02-10 12:00:00,Boeny,Marovoay,0.0803725890835504,2023-02-10,02-10
4123,2023-02-10 15:00:00,Boeny,Marovoay,0.661205733027917,2023-02-10,02-10
4233,2023-02-10 18:00:00,Boeny,Marovoay,2.09718178363223,2023-02-10,02-10
4343,2023-02-10 21:00:00,Boeny,Marovoay,4.15514203279441,2023-02-10,02-10
4453,2023-02-11 00:00:00,Boeny,Marovoay,1.0022733679722,2023-02-11,02-11
4563,2023-02-11 03:00:00,Boeny,Marovoay,0.389008895395344,2023-02-11,02-11
4673,2023-02-11 06:00:00,Boeny,Marovoay,0.0090100925236069,2023-02-11,02-11
4783,2023-02-11 09:00:00,Boeny,Marovoay,0.0548170884468836,2023-02-11,02-11
4893,2023-02-11 12:00:00,Boeny,Marovoay,0.643013688538264,2023-02-11,02-11
5003,2023-02-11 15:00:00,Boeny,Marovoay,0.0303256730700883,2023-02-11,02-11
5113,2023-02-11 18:00:00,Boeny,Marovoay,0.0068578638652663,2023-02-11,02-11
5223,2023-02-11 21:00:00,Boeny,Marovoay,0.0358953099222044,2023-02-11,02-11
5333,2023-02-12 00:00:00,Boeny,Marovoay,0.370121697772487,2023-02-12,02-12
5443,2023-02-12 03:00:00,Boeny,Marovoay,0.0375863321292538,2023-02-12,02-12
5553,2023-02-12 06:00:00,Boeny,Marovoay,0.259468182579756,2023-02-12,02-12
5663,2023-02-12 09:00:00,Boeny,Marovoay,0.225054384171254,2023-02-12,02-12
5773,2023-02-12 12:00:00,Boeny,Marovoay,0.0473580501831906,2023-02-12,02-12
5883,2023-02-12 15:00:00,Boeny,Marovoay,0.023585159785833,2023-02-12,02-12
5993,2023-02-12 18:00:00,Boeny,Marovoay,0.0041440690313364,2023-02-12,02-12
6103,2023-02-12 21:00:00,Boeny,Marovoay,0.0001896916288862,2023-02-12,02-12
6213,2023-02-13 00:00:00,Boeny,Marovoay,0.0122117704165209,2023-02-13,02-13
6323,2023-02-13 03:00:00,Boeny,Marovoay,0.0012060493476304,2023-02-13,02-13
6433,2023-02-13 06:00:00,Boeny,Marovoay,0.181007807146829,2023-02-13,02-13
6543,2023-02-13 09:00:00,Boeny,Marovoay,0.0973605008659196,2023-02-13,02-13
6653,2023-02-13 12:00:00,Boeny,Marovoay,0.0038190026496759,2023-02-13,02-13
6763,2023-02-13 15:00:00,Boeny,Marovoay,0.113603733091504,2023-02-13,02-13
6873,2023-02-13 18:00:00,Boeny,Marovoay,1.52325357490538,2023-02-13,02-13
6983,2023-02-13 21:00:00,Boeny,Marovoay,3.15109741208574,2023-02-13,02-13
7093,2023-02-14 00:00:00,Boeny,Marovoay,0.887017936917761,2023-02-14,02-14
7203,2023-02-14 03:00:00,Boeny,Marovoay,0.0257391236816108,2023-02-14,02-14
7313,2023-02-14 06:00:00,Boeny,Marovoay,0.0941976098553784,2023-02-14,02-14
7423,2023-02-14 09:00:00,Boeny,Marovoay,0.0699637899866186,2023-02-14,02-14
7533,2023-02-14 12:00:00,Boeny,Marovoay,0.123283453985451,2023-02-14,02-14
7643,2023-02-14 15:00:00,Boeny,Marovoay,0.0340177971735576,2023-02-14,02-14
7753,2023-02-14 18:00:00,Boeny,Marovoay,0.0335828560890387,2023-02-14,02-14
7863,2023-02-14 21:00:00,Boeny,Marovoay,0.288614551679727,2023-02-14,02-14
7973,2023-02-15 00:00:00,Boeny,Marovoay,0.0421016866533572,2023-02-15,02-15
8083,2023-02-15 03:00:00,Boeny,Marovoay,0.0127944550628814,2023-02-15,02-15
8193,2023-02-15 06:00:00,Boeny,Marovoay,0.0728125762164026,2023-02-15,02-15
8303,2023-02-15 09:00:00,Boeny,Marovoay,0.0689099837112261,2023-02-15,02-15
8413,2023-02-15 12:00:00,Boeny,Marovoay,0.570728136413812,2023-02-15,02-15
8523,2023-02-15 15:00:00,Boeny,Marovoay,0.108745658718323,2023-02-15,02-15
8633,2023-02-15 18:00:00,Boeny,Marovoay,0.433263947067367,2023-02-15,02-15
8743,2023-02-15 21:00:00,Boeny,Marovoay,1.0537932432907,2023-02-15,02-15
8853,2023-02-16 00:00:00,Boeny,Marovoay,0.238495752363435,2023-02-16,02-16
8963,2023-02-16 03:00:00,Boeny,Marovoay,0.127928995071789,2023-02-16,02-16
9073,2023-02-16 06:00:00,Boeny,Marovoay,0.286817890170547,2023-02-16,02-16
9183,2023-02-16 09:00:00,Boeny,Marovoay,1.1102355149405,2023-02-16,02-16
