,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
84,2023-02-06 00:00:00,Menabe,Miandrivazo,0.234891692762382,2023-02-06,02-06
194,2023-02-06 03:00:00,Menabe,Miandrivazo,0.09341001933669,2023-02-06,02-06
304,2023-02-06 06:00:00,Menabe,Miandrivazo,0.0519930131322669,2023-02-06,02-06
414,2023-02-06 09:00:00,Menabe,Miandrivazo,0.375380611863703,2023-02-06,02-06
524,2023-02-06 12:00:00,Menabe,Miandrivazo,2.3306849584761,2023-02-06,02-06
634,2023-02-06 15:00:00,Menabe,Miandrivazo,2.82613106378143,2023-02-06,02-06
744,2023-02-06 18:00:00,Menabe,Miandrivazo,3.77205437129552,2023-02-06,02-06
854,2023-02-06 21:00:00,Menabe,Miandrivazo,3.63105261805226,2023-02-06,02-06
964,2023-02-07 00:00:00,Menabe,Miandrivazo,1.31689705577721,2023-02-07,02-07
1074,2023-02-07 03:00:00,Menabe,Miandrivazo,0.305954926864701,2023-02-07,02-07
1184,2023-02-07 06:00:00,Menabe,Miandrivazo,0.151712472032742,2023-02-07,02-07
1294,2023-02-07 09:00:00,Menabe,Miandrivazo,0.27430383152469,2023-02-07,02-07
1404,2023-02-07 12:00:00,Menabe,Miandrivazo,4.85699947921006,2023-02-07,02-07
1514,2023-02-07 15:00:00,Menabe,Miandrivazo,3.316816414713,2023-02-07,02-07
1624,2023-02-07 18:00:00,Menabe,Miandrivazo,6.47427219441128,2023-02-07,02-07
1734,2023-02-07 21:00:00,Menabe,Miandrivazo,3.45979241184991,2023-02-07,02-07
1844,2023-02-08 00:00:00,Menabe,Miandrivazo,0.286057956411859,2023-02-08,02-08
1954,2023-02-08 03:00:00,Menabe,Miandrivazo,0.0247263619939814,2023-02-08,02-08
2064,2023-02-08 06:00:00,Menabe,Miandrivazo,0.002297373350714,2023-02-08,02-08
2174,2023-02-08 09:00:00,Menabe,Miandrivazo,0.134092779295796,2023-02-08,02-08
2284,2023-02-08 12:00:00,Menabe,Miandrivazo,5.63321918312884,2023-02-08,02-08
2394,2023-02-08 15:00:00,Menabe,Miandrivazo,8.63696250081433,2023-02-08,02-08
2504,2023-02-08 18:00:00,Menabe,Miandrivazo,7.91619061562672,2023-02-08,02-08
2614,2023-02-08 21:00:00,Menabe,Miandrivazo,7.0786733630054,2023-02-08,02-08
2724,2023-02-09 00:00:00,Menabe,Miandrivazo,1.2630614523643,2023-02-09,02-09
2834,2023-02-09 03:00:00,Menabe,Miandrivazo,0.341984779493255,2023-02-09,02-09
2944,2023-02-09 06:00:00,Menabe,Miandrivazo,0.112641054046898,2023-02-09,02-09
3054,2023-02-09 09:00:00,Menabe,Miandrivazo,0.483847039108679,2023-02-09,02-09
3164,2023-02-09 12:00:00,Menabe,Miandrivazo,10.0280681403155,2023-02-09,02-09
3274,2023-02-09 15:00:00,Menabe,Miandrivazo,14.907786397102,2023-02-09,02-09
3384,2023-02-09 18:00:00,Menabe,Miandrivazo,13.2045794561025,2023-02-09,02-09
3494,2023-02-09 21:00:00,Menabe,Miandrivazo,6.95587564402925,2023-02-09,02-09
3604,2023-02-10 00:00:00,Menabe,Miandrivazo,1.13221769039695,2023-02-10,02-10
3714,2023-02-10 03:00:00,Menabe,Miandrivazo,0.0425948448158484,2023-02-10,02-10
3824,2023-02-10 06:00:00,Menabe,Miandrivazo,0.023391219132738,2023-02-10,02-10
3934,2023-02-10 09:00:00,Menabe,Miandrivazo,0.0265269736036711,2023-02-10,02-10
