,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
74,2023-02-06 00:00:00,Itasy,Miarinarivo,0.627214886250757,2023-02-06,02-06
184,2023-02-06 03:00:00,Itasy,Miarinarivo,0.200910924148047,2023-02-06,02-06
294,2023-02-06 06:00:00,Itasy,Miarinarivo,0.220873898392628,2023-02-06,02-06
404,2023-02-06 09:00:00,Itasy,Miarinarivo,0.741959857685618,2023-02-06,02-06
514,2023-02-06 12:00:00,Itasy,Miarinarivo,2.61294601791782,2023-02-06,02-06
624,2023-02-06 15:00:00,Itasy,Miarinarivo,8.19540820222094,2023-02-06,02-06
734,2023-02-06 18:00:00,Itasy,Miarinarivo,0.944969266224441,2023-02-06,02-06
844,2023-02-06 21:00:00,Itasy,Miarinarivo,0.2843635680699,2023-02-06,02-06
954,2023-02-07 00:00:00,Itasy,Miarinarivo,0.801743200935148,2023-02-07,02-07
1064,2023-02-07 03:00:00,Itasy,Miarinarivo,0.579892975352281,2023-02-07,02-07
1174,2023-02-07 06:00:00,Itasy,Miarinarivo,0.0914119296913586,2023-02-07,02-07
1284,2023-02-07 09:00:00,Itasy,Miarinarivo,0.0726242461876774,2023-02-07,02-07
1394,2023-02-07 12:00:00,Itasy,Miarinarivo,0.189441995682004,2023-02-07,02-07
1504,2023-02-07 15:00:00,Itasy,Miarinarivo,0.148792509283257,2023-02-07,02-07
1614,2023-02-07 18:00:00,Itasy,Miarinarivo,0.339199661568273,2023-02-07,02-07
1724,2023-02-07 21:00:00,Itasy,Miarinarivo,0.0641820528967814,2023-02-07,02-07
1834,2023-02-08 00:00:00,Itasy,Miarinarivo,0.0133127302185378,2023-02-08,02-08
1944,2023-02-08 03:00:00,Itasy,Miarinarivo,0.0001064044878479,2023-02-08,02-08
2054,2023-02-08 06:00:00,Itasy,Miarinarivo,0.0006266192464284,2023-02-08,02-08
2164,2023-02-08 09:00:00,Itasy,Miarinarivo,0.0985963559042747,2023-02-08,02-08
2274,2023-02-08 12:00:00,Itasy,Miarinarivo,0.857145809195407,2023-02-08,02-08
2384,2023-02-08 15:00:00,Itasy,Miarinarivo,0.252995873841097,2023-02-08,02-08
2494,2023-02-08 18:00:00,Itasy,Miarinarivo,0.340730760368222,2023-02-08,02-08
2604,2023-02-08 21:00:00,Itasy,Miarinarivo,0.453809613018,2023-02-08,02-08
2714,2023-02-09 00:00:00,Itasy,Miarinarivo,0.118748462642543,2023-02-09,02-09
2824,2023-02-09 03:00:00,Itasy,Miarinarivo,0.0040078278768553,2023-02-09,02-09
2934,2023-02-09 06:00:00,Itasy,Miarinarivo,0.0163067572363864,2023-02-09,02-09
3044,2023-02-09 09:00:00,Itasy,Miarinarivo,0.0963464092373298,2023-02-09,02-09
3154,2023-02-09 12:00:00,Itasy,Miarinarivo,1.30629780652287,2023-02-09,02-09
3264,2023-02-09 15:00:00,Itasy,Miarinarivo,0.763408736857607,2023-02-09,02-09
3374,2023-02-09 18:00:00,Itasy,Miarinarivo,0.130647486538774,2023-02-09,02-09
3484,2023-02-09 21:00:00,Itasy,Miarinarivo,0.0937235273542518,2023-02-09,02-09
3594,2023-02-10 00:00:00,Itasy,Miarinarivo,0.15965230708455,2023-02-10,02-10
3704,2023-02-10 03:00:00,Itasy,Miarinarivo,0.141192723851418,2023-02-10,02-10
3814,2023-02-10 06:00:00,Itasy,Miarinarivo,0.0904911238335031,2023-02-10,02-10
3924,2023-02-10 09:00:00,Itasy,Miarinarivo,0.023690943537407,2023-02-10,02-10
4034,2023-02-10 12:00:00,Itasy,Miarinarivo,0.0636954423045443,2023-02-10,02-10
4144,2023-02-10 15:00:00,Itasy,Miarinarivo,0.153464649229797,2023-02-10,02-10
4254,2023-02-10 18:00:00,Itasy,Miarinarivo,0.0199781603878364,2023-02-10,02-10
4364,2023-02-10 21:00:00,Itasy,Miarinarivo,0.0195830378030554,2023-02-10,02-10
4474,2023-02-11 00:00:00,Itasy,Miarinarivo,0.0006990775979251,2023-02-11,02-11
4584,2023-02-11 03:00:00,Itasy,Miarinarivo,0.0008479426165153,2023-02-11,02-11
4694,2023-02-11 06:00:00,Itasy,Miarinarivo,0.0542829192894384,2023-02-11,02-11
4804,2023-02-11 09:00:00,Itasy,Miarinarivo,0.0293162667605264,2023-02-11,02-11
4914,2023-02-11 12:00:00,Itasy,Miarinarivo,0.0415532325066372,2023-02-11,02-11
5024,2023-02-11 15:00:00,Itasy,Miarinarivo,0.109874888071896,2023-02-11,02-11
5134,2023-02-11 18:00:00,Itasy,Miarinarivo,0.115503945202694,2023-02-11,02-11
5244,2023-02-11 21:00:00,Itasy,Miarinarivo,0.0229279170029754,2023-02-11,02-11
5354,2023-02-12 00:00:00,Itasy,Miarinarivo,2.97823545141992e-05,2023-02-12,02-12
5464,2023-02-12 03:00:00,Itasy,Miarinarivo,5.05013052712787e-05,2023-02-12,02-12
5574,2023-02-12 06:00:00,Itasy,Miarinarivo,0.0017645576921164,2023-02-12,02-12
5684,2023-02-12 09:00:00,Itasy,Miarinarivo,1.53137132821774e-05,2023-02-12,02-12
5794,2023-02-12 12:00:00,Itasy,Miarinarivo,0.0007239030462435,2023-02-12,02-12
5904,2023-02-12 15:00:00,Itasy,Miarinarivo,0.0036436688255476,2023-02-12,02-12
6014,2023-02-12 18:00:00,Itasy,Miarinarivo,0.049356498522684,2023-02-12,02-12
6124,2023-02-12 21:00:00,Itasy,Miarinarivo,0.0008360670075159,2023-02-12,02-12
6234,2023-02-13 00:00:00,Itasy,Miarinarivo,0.0004681962521069,2023-02-13,02-13
6344,2023-02-13 03:00:00,Itasy,Miarinarivo,0.0002196484076028,2023-02-13,02-13
6454,2023-02-13 06:00:00,Itasy,Miarinarivo,0.0020968144288582,2023-02-13,02-13
6564,2023-02-13 09:00:00,Itasy,Miarinarivo,0.0012641833560668,2023-02-13,02-13
6674,2023-02-13 12:00:00,Itasy,Miarinarivo,0.120120617889122,2023-02-13,02-13
6784,2023-02-13 15:00:00,Itasy,Miarinarivo,0.0157537467232694,2023-02-13,02-13
6894,2023-02-13 18:00:00,Itasy,Miarinarivo,0.339411483244145,2023-02-13,02-13
7004,2023-02-13 21:00:00,Itasy,Miarinarivo,0.0307765372801276,2023-02-13,02-13
7114,2023-02-14 00:00:00,Itasy,Miarinarivo,0.0002526270029854,2023-02-14,02-14
7224,2023-02-14 03:00:00,Itasy,Miarinarivo,4.91286627948284e-05,2023-02-14,02-14
7334,2023-02-14 06:00:00,Itasy,Miarinarivo,0.0044165678369939,2023-02-14,02-14
7444,2023-02-14 09:00:00,Itasy,Miarinarivo,0.0358328441639473,2023-02-14,02-14
7554,2023-02-14 12:00:00,Itasy,Miarinarivo,0.182849326440853,2023-02-14,02-14
7664,2023-02-14 15:00:00,Itasy,Miarinarivo,0.912087222174953,2023-02-14,02-14
7774,2023-02-14 18:00:00,Itasy,Miarinarivo,0.431313895437845,2023-02-14,02-14
7884,2023-02-14 21:00:00,Itasy,Miarinarivo,0.0355548691957004,2023-02-14,02-14
7994,2023-02-15 00:00:00,Itasy,Miarinarivo,0.003006659069797,2023-02-15,02-15
8104,2023-02-15 03:00:00,Itasy,Miarinarivo,2.01182476964525e-05,2023-02-15,02-15
8214,2023-02-15 06:00:00,Itasy,Miarinarivo,0.0190946968372869,2023-02-15,02-15
8324,2023-02-15 09:00:00,Itasy,Miarinarivo,0.0798806963430252,2023-02-15,02-15
8434,2023-02-15 12:00:00,Itasy,Miarinarivo,6.24503248003417,2023-02-15,02-15
8544,2023-02-15 15:00:00,Itasy,Miarinarivo,3.78335397730751,2023-02-15,02-15
8654,2023-02-15 18:00:00,Itasy,Miarinarivo,0.633608191660394,2023-02-15,02-15
8764,2023-02-15 21:00:00,Itasy,Miarinarivo,0.161237403067803,2023-02-15,02-15
8874,2023-02-16 00:00:00,Itasy,Miarinarivo,0.0291030365598007,2023-02-16,02-16
8984,2023-02-16 03:00:00,Itasy,Miarinarivo,0.0150799745963675,2023-02-16,02-16
9094,2023-02-16 06:00:00,Itasy,Miarinarivo,0.100464631570503,2023-02-16,02-16
9204,2023-02-16 09:00:00,Itasy,Miarinarivo,1.0399066667808,2023-02-16,02-16
