,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
39,2023-02-06 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.349942217392492,2023-02-06,02-06
149,2023-02-06 03:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.463441831525415,2023-02-06,02-06
259,2023-02-06 06:00:00,Atsimo Atsinanana,Midongy-Atsimo,1.07287145090023,2023-02-06,02-06
369,2023-02-06 09:00:00,Atsimo Atsinanana,Midongy-Atsimo,2.44979850547333,2023-02-06,02-06
479,2023-02-06 12:00:00,Atsimo Atsinanana,Midongy-Atsimo,2.98825760349532,2023-02-06,02-06
589,2023-02-06 15:00:00,Atsimo Atsinanana,Midongy-Atsimo,2.32087963720274,2023-02-06,02-06
699,2023-02-06 18:00:00,Atsimo Atsinanana,Midongy-Atsimo,4.41819017004344,2023-02-06,02-06
809,2023-02-06 21:00:00,Atsimo Atsinanana,Midongy-Atsimo,2.3487541595934,2023-02-06,02-06
919,2023-02-07 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,2.42144146054384,2023-02-07,02-07
1029,2023-02-07 03:00:00,Atsimo Atsinanana,Midongy-Atsimo,2.17112858626171,2023-02-07,02-07
1139,2023-02-07 06:00:00,Atsimo Atsinanana,Midongy-Atsimo,1.49694155634747,2023-02-07,02-07
1249,2023-02-07 09:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.959778299488659,2023-02-07,02-07
1359,2023-02-07 12:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.627425404944612,2023-02-07,02-07
1469,2023-02-07 15:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.465252265129017,2023-02-07,02-07
1579,2023-02-07 18:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.327282545156777,2023-02-07,02-07
1689,2023-02-07 21:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.645410532306414,2023-02-07,02-07
1799,2023-02-08 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.158333605252362,2023-02-08,02-08
1909,2023-02-08 03:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.115562413960496,2023-02-08,02-08
2019,2023-02-08 06:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.484525733807546,2023-02-08,02-08
2129,2023-02-08 09:00:00,Atsimo Atsinanana,Midongy-Atsimo,2.70788379095583,2023-02-08,02-08
2239,2023-02-08 12:00:00,Atsimo Atsinanana,Midongy-Atsimo,1.33364083676965,2023-02-08,02-08
2349,2023-02-08 15:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.514186130786714,2023-02-08,02-08
2459,2023-02-08 18:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.820447774066235,2023-02-08,02-08
2569,2023-02-08 21:00:00,Atsimo Atsinanana,Midongy-Atsimo,1.0362104283302,2023-02-08,02-08
2679,2023-02-09 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.564146373520738,2023-02-09,02-09
2789,2023-02-09 03:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.734545968314965,2023-02-09,02-09
2899,2023-02-09 06:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.668619029545447,2023-02-09,02-09
3009,2023-02-09 09:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.610136355312231,2023-02-09,02-09
3119,2023-02-09 12:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.461552134063649,2023-02-09,02-09
3229,2023-02-09 15:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.201870725071612,2023-02-09,02-09
3339,2023-02-09 18:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0458783097343431,2023-02-09,02-09
3449,2023-02-09 21:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0174938062000798,2023-02-09,02-09
3559,2023-02-10 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0467803377680303,2023-02-10,02-10
3669,2023-02-10 03:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0141675917742153,2023-02-10,02-10
3779,2023-02-10 06:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0070245335033784,2023-02-10,02-10
3889,2023-02-10 09:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0198466489895336,2023-02-10,02-10
3999,2023-02-10 12:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0678500338745791,2023-02-10,02-10
4109,2023-02-10 15:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.115984743192149,2023-02-10,02-10
4219,2023-02-10 18:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0745159276550458,2023-02-10,02-10
4329,2023-02-10 21:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.026445021797415,2023-02-10,02-10
4439,2023-02-11 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.003695471289878,2023-02-11,02-11
4549,2023-02-11 03:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0005730084126948,2023-02-11,02-11
4659,2023-02-11 06:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.00036268704848,2023-02-11,02-11
4769,2023-02-11 09:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.000753567052362,2023-02-11,02-11
4879,2023-02-11 12:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.0353205162072776,2023-02-11,02-11
4989,2023-02-11 15:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.309817783498494,2023-02-11,02-11
5099,2023-02-11 18:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.178667793782162,2023-02-11,02-11
5209,2023-02-11 21:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.126526774583562,2023-02-11,02-11
5319,2023-02-12 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.013132839641046,2023-02-12,02-12
5429,2023-02-12 03:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.003964131473497,2023-02-12,02-12
5539,2023-02-12 06:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.016451179668019,2023-02-12,02-12
5649,2023-02-12 09:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.151233785708124,2023-02-12,02-12
