,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
54,2023-02-06 00:00:00,Boeny,Mitsinjo,0.608855690234729,2023-02-06,02-06
164,2023-02-06 03:00:00,Boeny,Mitsinjo,0.718168494197363,2023-02-06,02-06
274,2023-02-06 06:00:00,Boeny,Mitsinjo,0.626947040751388,2023-02-06,02-06
384,2023-02-06 09:00:00,Boeny,Mitsinjo,0.505556783469815,2023-02-06,02-06
494,2023-02-06 12:00:00,Boeny,Mitsinjo,0.638543121340696,2023-02-06,02-06
604,2023-02-06 15:00:00,Boeny,Mitsinjo,1.48806355757101,2023-02-06,02-06
714,2023-02-06 18:00:00,Boeny,Mitsinjo,1.61423541828602,2023-02-06,02-06
824,2023-02-06 21:00:00,Boeny,Mitsinjo,1.25033538917861,2023-02-06,02-06
934,2023-02-07 00:00:00,Boeny,Mitsinjo,0.200274067653698,2023-02-07,02-07
1044,2023-02-07 03:00:00,Boeny,Mitsinjo,0.0853037120680147,2023-02-07,02-07
1154,2023-02-07 06:00:00,Boeny,Mitsinjo,0.178205410909695,2023-02-07,02-07
1264,2023-02-07 09:00:00,Boeny,Mitsinjo,1.2292954599252,2023-02-07,02-07
1374,2023-02-07 12:00:00,Boeny,Mitsinjo,1.66407400050056,2023-02-07,02-07
1484,2023-02-07 15:00:00,Boeny,Mitsinjo,0.643295024532736,2023-02-07,02-07
1594,2023-02-07 18:00:00,Boeny,Mitsinjo,0.963358061368732,2023-02-07,02-07
1704,2023-02-07 21:00:00,Boeny,Mitsinjo,0.576540913827817,2023-02-07,02-07
1814,2023-02-08 00:00:00,Boeny,Mitsinjo,0.188349122296564,2023-02-08,02-08
1924,2023-02-08 03:00:00,Boeny,Mitsinjo,0.0198831605985539,2023-02-08,02-08
2034,2023-02-08 06:00:00,Boeny,Mitsinjo,0.0227435760427311,2023-02-08,02-08
2144,2023-02-08 09:00:00,Boeny,Mitsinjo,0.23794287042914,2023-02-08,02-08
2254,2023-02-08 12:00:00,Boeny,Mitsinjo,3.19298197442826,2023-02-08,02-08
2364,2023-02-08 15:00:00,Boeny,Mitsinjo,2.01514087860345,2023-02-08,02-08
2474,2023-02-08 18:00:00,Boeny,Mitsinjo,4.36881982044378,2023-02-08,02-08
2584,2023-02-08 21:00:00,Boeny,Mitsinjo,3.32812652072781,2023-02-08,02-08
2694,2023-02-09 00:00:00,Boeny,Mitsinjo,0.280594174621261,2023-02-09,02-09
2804,2023-02-09 03:00:00,Boeny,Mitsinjo,0.0415614655316209,2023-02-09,02-09
2914,2023-02-09 06:00:00,Boeny,Mitsinjo,0.0281102055769658,2023-02-09,02-09
3024,2023-02-09 09:00:00,Boeny,Mitsinjo,0.0555029596892252,2023-02-09,02-09
3134,2023-02-09 12:00:00,Boeny,Mitsinjo,2.04196110870301,2023-02-09,02-09
3244,2023-02-09 15:00:00,Boeny,Mitsinjo,4.90068663020724,2023-02-09,02-09
3354,2023-02-09 18:00:00,Boeny,Mitsinjo,11.4335545037951,2023-02-09,02-09
3464,2023-02-09 21:00:00,Boeny,Mitsinjo,8.28141500357222,2023-02-09,02-09
3574,2023-02-10 00:00:00,Boeny,Mitsinjo,2.1328083420286,2023-02-10,02-10
3684,2023-02-10 03:00:00,Boeny,Mitsinjo,0.148199271761336,2023-02-10,02-10
3794,2023-02-10 06:00:00,Boeny,Mitsinjo,0.0832035135452835,2023-02-10,02-10
3904,2023-02-10 09:00:00,Boeny,Mitsinjo,0.0251737285441431,2023-02-10,02-10
4014,2023-02-10 12:00:00,Boeny,Mitsinjo,0.117273464121224,2023-02-10,02-10
4124,2023-02-10 15:00:00,Boeny,Mitsinjo,0.280756922869755,2023-02-10,02-10
4234,2023-02-10 18:00:00,Boeny,Mitsinjo,0.532844461829102,2023-02-10,02-10
4344,2023-02-10 21:00:00,Boeny,Mitsinjo,2.44903466014823,2023-02-10,02-10
4454,2023-02-11 00:00:00,Boeny,Mitsinjo,5.0364718315915,2023-02-11,02-11
4564,2023-02-11 03:00:00,Boeny,Mitsinjo,0.606132076895197,2023-02-11,02-11
4674,2023-02-11 06:00:00,Boeny,Mitsinjo,0.130150958263714,2023-02-11,02-11
4784,2023-02-11 09:00:00,Boeny,Mitsinjo,0.908964404042178,2023-02-11,02-11
4894,2023-02-11 12:00:00,Boeny,Mitsinjo,2.44646772242378,2023-02-11,02-11
5004,2023-02-11 15:00:00,Boeny,Mitsinjo,0.214184443175327,2023-02-11,02-11
5114,2023-02-11 18:00:00,Boeny,Mitsinjo,0.0019377114021197,2023-02-11,02-11
5224,2023-02-11 21:00:00,Boeny,Mitsinjo,0.0196316748680103,2023-02-11,02-11
