,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
80,2023-02-06 00:00:00,Melaky,Morafenobe,0.307781876687945,2023-02-06,02-06
190,2023-02-06 03:00:00,Melaky,Morafenobe,0.113343370699545,2023-02-06,02-06
300,2023-02-06 06:00:00,Melaky,Morafenobe,0.0454419612909331,2023-02-06,02-06
410,2023-02-06 09:00:00,Melaky,Morafenobe,1.42299179978608,2023-02-06,02-06
520,2023-02-06 12:00:00,Melaky,Morafenobe,4.14924631010241,2023-02-06,02-06
630,2023-02-06 15:00:00,Melaky,Morafenobe,1.39038695793572,2023-02-06,02-06
740,2023-02-06 18:00:00,Melaky,Morafenobe,1.22222054498766,2023-02-06,02-06
850,2023-02-06 21:00:00,Melaky,Morafenobe,1.48459779274971,2023-02-06,02-06
960,2023-02-07 00:00:00,Melaky,Morafenobe,0.47501700774568,2023-02-07,02-07
1070,2023-02-07 03:00:00,Melaky,Morafenobe,0.0259894246891996,2023-02-07,02-07
1180,2023-02-07 06:00:00,Melaky,Morafenobe,0.0913803707789172,2023-02-07,02-07
1290,2023-02-07 09:00:00,Melaky,Morafenobe,0.889896515702455,2023-02-07,02-07
1400,2023-02-07 12:00:00,Melaky,Morafenobe,1.72458471725199,2023-02-07,02-07
1510,2023-02-07 15:00:00,Melaky,Morafenobe,0.6061924634154,2023-02-07,02-07
1620,2023-02-07 18:00:00,Melaky,Morafenobe,0.713740146357268,2023-02-07,02-07
1730,2023-02-07 21:00:00,Melaky,Morafenobe,0.526139442958739,2023-02-07,02-07
1840,2023-02-08 00:00:00,Melaky,Morafenobe,0.108642655524967,2023-02-08,02-08
1950,2023-02-08 03:00:00,Melaky,Morafenobe,0.0040399432172769,2023-02-08,02-08
2060,2023-02-08 06:00:00,Melaky,Morafenobe,0.004812417087168,2023-02-08,02-08
2170,2023-02-08 09:00:00,Melaky,Morafenobe,0.0966811256395409,2023-02-08,02-08
2280,2023-02-08 12:00:00,Melaky,Morafenobe,2.35119727743431,2023-02-08,02-08
2390,2023-02-08 15:00:00,Melaky,Morafenobe,3.83627616263808,2023-02-08,02-08
2500,2023-02-08 18:00:00,Melaky,Morafenobe,3.60160355402069,2023-02-08,02-08
2610,2023-02-08 21:00:00,Melaky,Morafenobe,7.74367902715515,2023-02-08,02-08
2720,2023-02-09 00:00:00,Melaky,Morafenobe,3.39632819025857,2023-02-09,02-09
2830,2023-02-09 03:00:00,Melaky,Morafenobe,0.180097827415906,2023-02-09,02-09
2940,2023-02-09 06:00:00,Melaky,Morafenobe,0.108546600869826,2023-02-09,02-09
3050,2023-02-09 09:00:00,Melaky,Morafenobe,0.228077075194155,2023-02-09,02-09
3160,2023-02-09 12:00:00,Melaky,Morafenobe,5.85329740716824,2023-02-09,02-09
3270,2023-02-09 15:00:00,Melaky,Morafenobe,5.66175102178755,2023-02-09,02-09
3380,2023-02-09 18:00:00,Melaky,Morafenobe,4.49302878782161,2023-02-09,02-09
3490,2023-02-09 21:00:00,Melaky,Morafenobe,4.51766663021503,2023-02-09,02-09
3600,2023-02-10 00:00:00,Melaky,Morafenobe,0.867310524631872,2023-02-10,02-10
3710,2023-02-10 03:00:00,Melaky,Morafenobe,0.0405776290763093,2023-02-10,02-10
3820,2023-02-10 06:00:00,Melaky,Morafenobe,0.0078794823388843,2023-02-10,02-10
3930,2023-02-10 09:00:00,Melaky,Morafenobe,0.0379103649890462,2023-02-10,02-10
4040,2023-02-10 12:00:00,Melaky,Morafenobe,0.260398298711898,2023-02-10,02-10
4150,2023-02-10 15:00:00,Melaky,Morafenobe,0.312658868589797,2023-02-10,02-10
4260,2023-02-10 18:00:00,Melaky,Morafenobe,0.22934711735207,2023-02-10,02-10
4370,2023-02-10 21:00:00,Melaky,Morafenobe,0.120698509574677,2023-02-10,02-10
4480,2023-02-11 00:00:00,Melaky,Morafenobe,0.815302613004279,2023-02-11,02-11
4590,2023-02-11 03:00:00,Melaky,Morafenobe,0.245441527452251,2023-02-11,02-11
4700,2023-02-11 06:00:00,Melaky,Morafenobe,0.112898453550993,2023-02-11,02-11
4810,2023-02-11 09:00:00,Melaky,Morafenobe,0.309317686294442,2023-02-11,02-11
4920,2023-02-11 12:00:00,Melaky,Morafenobe,1.1556923470582,2023-02-11,02-11
5030,2023-02-11 15:00:00,Melaky,Morafenobe,0.491137101877954,2023-02-11,02-11
5140,2023-02-11 18:00:00,Melaky,Morafenobe,0.0019187210776583,2023-02-11,02-11
5250,2023-02-11 21:00:00,Melaky,Morafenobe,0.0203894939365201,2023-02-11,02-11
5360,2023-02-12 00:00:00,Melaky,Morafenobe,0.039526120943712,2023-02-12,02-12
5470,2023-02-12 03:00:00,Melaky,Morafenobe,0.0008722527160645,2023-02-12,02-12
5580,2023-02-12 06:00:00,Melaky,Morafenobe,0.136623899594568,2023-02-12,02-12
5690,2023-02-12 09:00:00,Melaky,Morafenobe,0.385343698916392,2023-02-12,02-12
5800,2023-02-12 12:00:00,Melaky,Morafenobe,0.622627120296143,2023-02-12,02-12
5910,2023-02-12 15:00:00,Melaky,Morafenobe,0.164317001287108,2023-02-12,02-12
6020,2023-02-12 18:00:00,Melaky,Morafenobe,0.109128530590497,2023-02-12,02-12
6130,2023-02-12 21:00:00,Melaky,Morafenobe,0.132380309589131,2023-02-12,02-12
6240,2023-02-13 00:00:00,Melaky,Morafenobe,0.0397725477423443,2023-02-13,02-13
6350,2023-02-13 03:00:00,Melaky,Morafenobe,0.0022872408468383,2023-02-13,02-13
6460,2023-02-13 06:00:00,Melaky,Morafenobe,0.06995325148598,2023-02-13,02-13
