,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
4,2023-02-06 00:00:00,Alaotra Mangoro,Moramanga,0.478220432464431,2023-02-06,02-06
114,2023-02-06 03:00:00,Alaotra Mangoro,Moramanga,0.47918045570259,2023-02-06,02-06
224,2023-02-06 06:00:00,Alaotra Mangoro,Moramanga,0.787408576437062,2023-02-06,02-06
334,2023-02-06 09:00:00,Alaotra Mangoro,Moramanga,2.09091007338007,2023-02-06,02-06
444,2023-02-06 12:00:00,Alaotra Mangoro,Moramanga,1.9063252755084,2023-02-06,02-06
554,2023-02-06 15:00:00,Alaotra Mangoro,Moramanga,1.98992099851509,2023-02-06,02-06
664,2023-02-06 18:00:00,Alaotra Mangoro,Moramanga,3.09662322646135,2023-02-06,02-06
774,2023-02-06 21:00:00,Alaotra Mangoro,Moramanga,1.78405110203875,2023-02-06,02-06
884,2023-02-07 00:00:00,Alaotra Mangoro,Moramanga,0.716223660328861,2023-02-07,02-07
994,2023-02-07 03:00:00,Alaotra Mangoro,Moramanga,0.494474999946467,2023-02-07,02-07
1104,2023-02-07 06:00:00,Alaotra Mangoro,Moramanga,0.706636289094252,2023-02-07,02-07
1214,2023-02-07 09:00:00,Alaotra Mangoro,Moramanga,0.740632130995378,2023-02-07,02-07
1324,2023-02-07 12:00:00,Alaotra Mangoro,Moramanga,0.578126699643044,2023-02-07,02-07
1434,2023-02-07 15:00:00,Alaotra Mangoro,Moramanga,0.227359417372481,2023-02-07,02-07
1544,2023-02-07 18:00:00,Alaotra Mangoro,Moramanga,0.291156545483259,2023-02-07,02-07
1654,2023-02-07 21:00:00,Alaotra Mangoro,Moramanga,0.614755657479926,2023-02-07,02-07
1764,2023-02-08 00:00:00,Alaotra Mangoro,Moramanga,0.329350177330085,2023-02-08,02-08
1874,2023-02-08 03:00:00,Alaotra Mangoro,Moramanga,0.324277707957663,2023-02-08,02-08
1984,2023-02-08 06:00:00,Alaotra Mangoro,Moramanga,0.305950654225589,2023-02-08,02-08
2094,2023-02-08 09:00:00,Alaotra Mangoro,Moramanga,0.986963750057546,2023-02-08,02-08
2204,2023-02-08 12:00:00,Alaotra Mangoro,Moramanga,1.50378211738914,2023-02-08,02-08
2314,2023-02-08 15:00:00,Alaotra Mangoro,Moramanga,0.367984248113052,2023-02-08,02-08
2424,2023-02-08 18:00:00,Alaotra Mangoro,Moramanga,0.644592129841312,2023-02-08,02-08
2534,2023-02-08 21:00:00,Alaotra Mangoro,Moramanga,0.539223808600875,2023-02-08,02-08
2644,2023-02-09 00:00:00,Alaotra Mangoro,Moramanga,0.418208737887682,2023-02-09,02-09
2754,2023-02-09 03:00:00,Alaotra Mangoro,Moramanga,0.372781388848389,2023-02-09,02-09
2864,2023-02-09 06:00:00,Alaotra Mangoro,Moramanga,0.665996791024114,2023-02-09,02-09
2974,2023-02-09 09:00:00,Alaotra Mangoro,Moramanga,0.580791666104849,2023-02-09,02-09
3084,2023-02-09 12:00:00,Alaotra Mangoro,Moramanga,0.577568890148541,2023-02-09,02-09
3194,2023-02-09 15:00:00,Alaotra Mangoro,Moramanga,0.297441338890255,2023-02-09,02-09
3304,2023-02-09 18:00:00,Alaotra Mangoro,Moramanga,0.326928162296686,2023-02-09,02-09
3414,2023-02-09 21:00:00,Alaotra Mangoro,Moramanga,0.0246140877885233,2023-02-09,02-09
3524,2023-02-10 00:00:00,Alaotra Mangoro,Moramanga,0.0142050552869126,2023-02-10,02-10
3634,2023-02-10 03:00:00,Alaotra Mangoro,Moramanga,0.0542940043998251,2023-02-10,02-10
3744,2023-02-10 06:00:00,Alaotra Mangoro,Moramanga,0.285519172410263,2023-02-10,02-10
3854,2023-02-10 09:00:00,Alaotra Mangoro,Moramanga,0.357260624398365,2023-02-10,02-10
3964,2023-02-10 12:00:00,Alaotra Mangoro,Moramanga,0.415214423615027,2023-02-10,02-10
4074,2023-02-10 15:00:00,Alaotra Mangoro,Moramanga,0.0839982767112463,2023-02-10,02-10
4184,2023-02-10 18:00:00,Alaotra Mangoro,Moramanga,0.0606262268425311,2023-02-10,02-10
4294,2023-02-10 21:00:00,Alaotra Mangoro,Moramanga,0.063777891788519,2023-02-10,02-10
4404,2023-02-11 00:00:00,Alaotra Mangoro,Moramanga,0.0071955216990318,2023-02-11,02-11
4514,2023-02-11 03:00:00,Alaotra Mangoro,Moramanga,0.0170344559920786,2023-02-11,02-11
4624,2023-02-11 06:00:00,Alaotra Mangoro,Moramanga,0.044100207351749,2023-02-11,02-11
4734,2023-02-11 09:00:00,Alaotra Mangoro,Moramanga,0.0763490903951723,2023-02-11,02-11
4844,2023-02-11 12:00:00,Alaotra Mangoro,Moramanga,0.0922806845760093,2023-02-11,02-11
4954,2023-02-11 15:00:00,Alaotra Mangoro,Moramanga,0.113628093399213,2023-02-11,02-11
5064,2023-02-11 18:00:00,Alaotra Mangoro,Moramanga,0.0760119015270198,2023-02-11,02-11
5174,2023-02-11 21:00:00,Alaotra Mangoro,Moramanga,0.023809305671978,2023-02-11,02-11
5284,2023-02-12 00:00:00,Alaotra Mangoro,Moramanga,0.0012332849953729,2023-02-12,02-12
5394,2023-02-12 03:00:00,Alaotra Mangoro,Moramanga,0.0008373566473188,2023-02-12,02-12
5504,2023-02-12 06:00:00,Alaotra Mangoro,Moramanga,0.0011921849434128,2023-02-12,02-12
5614,2023-02-12 09:00:00,Alaotra Mangoro,Moramanga,0.0111653800113052,2023-02-12,02-12
5724,2023-02-12 12:00:00,Alaotra Mangoro,Moramanga,0.109052678537292,2023-02-12,02-12
5834,2023-02-12 15:00:00,Alaotra Mangoro,Moramanga,0.0560536390703712,2023-02-12,02-12
5944,2023-02-12 18:00:00,Alaotra Mangoro,Moramanga,0.0740043462625885,2023-02-12,02-12
6054,2023-02-12 21:00:00,Alaotra Mangoro,Moramanga,0.029143035815533,2023-02-12,02-12
6164,2023-02-13 00:00:00,Alaotra Mangoro,Moramanga,0.0049251815540746,2023-02-13,02-13
6274,2023-02-13 03:00:00,Alaotra Mangoro,Moramanga,0.0082674042139607,2023-02-13,02-13
6384,2023-02-13 06:00:00,Alaotra Mangoro,Moramanga,0.0580395186984641,2023-02-13,02-13
6494,2023-02-13 09:00:00,Alaotra Mangoro,Moramanga,0.0399039507169472,2023-02-13,02-13
6604,2023-02-13 12:00:00,Alaotra Mangoro,Moramanga,0.143410899323381,2023-02-13,02-13
6714,2023-02-13 15:00:00,Alaotra Mangoro,Moramanga,0.150686392161597,2023-02-13,02-13
6824,2023-02-13 18:00:00,Alaotra Mangoro,Moramanga,0.129682025306054,2023-02-13,02-13
6934,2023-02-13 21:00:00,Alaotra Mangoro,Moramanga,0.0224087081075976,2023-02-13,02-13
7044,2023-02-14 00:00:00,Alaotra Mangoro,Moramanga,0.008032268629552,2023-02-14,02-14
7154,2023-02-14 03:00:00,Alaotra Mangoro,Moramanga,0.060348250949192,2023-02-14,02-14
7264,2023-02-14 06:00:00,Alaotra Mangoro,Moramanga,0.317256379003201,2023-02-14,02-14
7374,2023-02-14 09:00:00,Alaotra Mangoro,Moramanga,0.367912215099017,2023-02-14,02-14
7484,2023-02-14 12:00:00,Alaotra Mangoro,Moramanga,0.558973780116855,2023-02-14,02-14
7594,2023-02-14 15:00:00,Alaotra Mangoro,Moramanga,0.152677529637003,2023-02-14,02-14
7704,2023-02-14 18:00:00,Alaotra Mangoro,Moramanga,0.0316888833195046,2023-02-14,02-14
7814,2023-02-14 21:00:00,Alaotra Mangoro,Moramanga,0.0075556354065831,2023-02-14,02-14
7924,2023-02-15 00:00:00,Alaotra Mangoro,Moramanga,0.0023458423984852,2023-02-15,02-15
8034,2023-02-15 03:00:00,Alaotra Mangoro,Moramanga,0.0022333660557295,2023-02-15,02-15
8144,2023-02-15 06:00:00,Alaotra Mangoro,Moramanga,0.103790768985486,2023-02-15,02-15
8254,2023-02-15 09:00:00,Alaotra Mangoro,Moramanga,0.279546870104593,2023-02-15,02-15
8364,2023-02-15 12:00:00,Alaotra Mangoro,Moramanga,0.87812856192449,2023-02-15,02-15
8474,2023-02-15 15:00:00,Alaotra Mangoro,Moramanga,0.509097012459308,2023-02-15,02-15
8584,2023-02-15 18:00:00,Alaotra Mangoro,Moramanga,0.214970365375085,2023-02-15,02-15
8694,2023-02-15 21:00:00,Alaotra Mangoro,Moramanga,0.386907700138474,2023-02-15,02-15
8804,2023-02-16 00:00:00,Alaotra Mangoro,Moramanga,0.193657625212161,2023-02-16,02-16
8914,2023-02-16 03:00:00,Alaotra Mangoro,Moramanga,0.371325270883033,2023-02-16,02-16
9024,2023-02-16 06:00:00,Alaotra Mangoro,Moramanga,0.812542146379729,2023-02-16,02-16
9134,2023-02-16 09:00:00,Alaotra Mangoro,Moramanga,2.51434659241744,2023-02-16,02-16
9244,2023-02-16 12:00:00,Alaotra Mangoro,Moramanga,1.99293203849529,2023-02-16,02-16
9354,2023-02-16 15:00:00,Alaotra Mangoro,Moramanga,1.57450321205843,2023-02-16,02-16
9464,2023-02-16 18:00:00,Alaotra Mangoro,Moramanga,1.60588500780455,2023-02-16,02-16
9574,2023-02-16 21:00:00,Alaotra Mangoro,Moramanga,0.437336152875721,2023-02-16,02-16
9684,2023-02-17 00:00:00,Alaotra Mangoro,Moramanga,0.236740521098029,2023-02-17,02-17
9794,2023-02-17 03:00:00,Alaotra Mangoro,Moramanga,1.4890233989544,2023-02-17,02-17
9904,2023-02-17 06:00:00,Alaotra Mangoro,Moramanga,1.99789762539759,2023-02-17,02-17
10014,2023-02-17 09:00:00,Alaotra Mangoro,Moramanga,1.0232096342107,2023-02-17,02-17
10124,2023-02-17 12:00:00,Alaotra Mangoro,Moramanga,1.96931052819409,2023-02-17,02-17
10234,2023-02-17 15:00:00,Alaotra Mangoro,Moramanga,1.63245463935703,2023-02-17,02-17
10344,2023-02-17 18:00:00,Alaotra Mangoro,Moramanga,1.21509003557637,2023-02-17,02-17
10454,2023-02-17 21:00:00,Alaotra Mangoro,Moramanga,0.55256572701112,2023-02-17,02-17
10564,2023-02-18 00:00:00,Alaotra Mangoro,Moramanga,0.245203764737403,2023-02-18,02-18
