,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
33,2023-02-06 00:00:00,Atsimo Andrefana,Morombe,1.29320074902904e-05,2023-02-06,02-06
143,2023-02-06 03:00:00,Atsimo Andrefana,Morombe,0.0001469773529661,2023-02-06,02-06
253,2023-02-06 06:00:00,Atsimo Andrefana,Morombe,0.0111169985638381,2023-02-06,02-06
363,2023-02-06 09:00:00,Atsimo Andrefana,Morombe,0.390424680535392,2023-02-06,02-06
473,2023-02-06 12:00:00,Atsimo Andrefana,Morombe,2.63384319209956,2023-02-06,02-06
583,2023-02-06 15:00:00,Atsimo Andrefana,Morombe,0.639386757651774,2023-02-06,02-06
693,2023-02-06 18:00:00,Atsimo Andrefana,Morombe,0.0354268302167342,2023-02-06,02-06
803,2023-02-06 21:00:00,Atsimo Andrefana,Morombe,0.0137495537284959,2023-02-06,02-06
913,2023-02-07 00:00:00,Atsimo Andrefana,Morombe,1.44471986053395,2023-02-07,02-07
1023,2023-02-07 03:00:00,Atsimo Andrefana,Morombe,1.53608919332548,2023-02-07,02-07
1133,2023-02-07 06:00:00,Atsimo Andrefana,Morombe,0.222210753313971,2023-02-07,02-07
1243,2023-02-07 09:00:00,Atsimo Andrefana,Morombe,1.86386708086568,2023-02-07,02-07
1353,2023-02-07 12:00:00,Atsimo Andrefana,Morombe,2.1660251239223,2023-02-07,02-07
1463,2023-02-07 15:00:00,Atsimo Andrefana,Morombe,0.621786980891502,2023-02-07,02-07
1573,2023-02-07 18:00:00,Atsimo Andrefana,Morombe,1.01659601544661,2023-02-07,02-07
1683,2023-02-07 21:00:00,Atsimo Andrefana,Morombe,1.01966545868499,2023-02-07,02-07
1793,2023-02-08 00:00:00,Atsimo Andrefana,Morombe,0.632410207522546,2023-02-08,02-08
1903,2023-02-08 03:00:00,Atsimo Andrefana,Morombe,0.445207446152133,2023-02-08,02-08
2013,2023-02-08 06:00:00,Atsimo Andrefana,Morombe,0.191199691886802,2023-02-08,02-08
2123,2023-02-08 09:00:00,Atsimo Andrefana,Morombe,0.134845146202045,2023-02-08,02-08
2233,2023-02-08 12:00:00,Atsimo Andrefana,Morombe,0.243938769459033,2023-02-08,02-08
2343,2023-02-08 15:00:00,Atsimo Andrefana,Morombe,0.0987832268213176,2023-02-08,02-08
2453,2023-02-08 18:00:00,Atsimo Andrefana,Morombe,0.0681108285383688,2023-02-08,02-08
2563,2023-02-08 21:00:00,Atsimo Andrefana,Morombe,0.358209596045499,2023-02-08,02-08
2673,2023-02-09 00:00:00,Atsimo Andrefana,Morombe,1.02917679147283,2023-02-09,02-09
2783,2023-02-09 03:00:00,Atsimo Andrefana,Morombe,0.040864601748939,2023-02-09,02-09
2893,2023-02-09 06:00:00,Atsimo Andrefana,Morombe,0.239155530184331,2023-02-09,02-09
3003,2023-02-09 09:00:00,Atsimo Andrefana,Morombe,0.635361735488528,2023-02-09,02-09
3113,2023-02-09 12:00:00,Atsimo Andrefana,Morombe,4.2353910332842,2023-02-09,02-09
3223,2023-02-09 15:00:00,Atsimo Andrefana,Morombe,3.12332570591014,2023-02-09,02-09
