,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
85,2023-02-06 00:00:00,Menabe,Morondava,0.0114163264249025,2023-02-06,02-06
195,2023-02-06 03:00:00,Menabe,Morondava,0.0001222134730293,2023-02-06,02-06
305,2023-02-06 06:00:00,Menabe,Morondava,0.0327232216319923,2023-02-06,02-06
415,2023-02-06 09:00:00,Menabe,Morondava,0.1688666091286,2023-02-06,02-06
525,2023-02-06 12:00:00,Menabe,Morondava,1.12610562758224,2023-02-06,02-06
635,2023-02-06 15:00:00,Menabe,Morondava,1.43218779004383,2023-02-06,02-06
745,2023-02-06 18:00:00,Menabe,Morondava,1.42244254462033,2023-02-06,02-06
855,2023-02-06 21:00:00,Menabe,Morondava,6.46885595408943,2023-02-06,02-06
965,2023-02-07 00:00:00,Menabe,Morondava,4.35501335812902,2023-02-07,02-07
1075,2023-02-07 03:00:00,Menabe,Morondava,0.495409289182135,2023-02-07,02-07
1185,2023-02-07 06:00:00,Menabe,Morondava,0.194069537987768,2023-02-07,02-07
1295,2023-02-07 09:00:00,Menabe,Morondava,1.21922906717373,2023-02-07,02-07
1405,2023-02-07 12:00:00,Menabe,Morondava,2.90583544503897,2023-02-07,02-07
1515,2023-02-07 15:00:00,Menabe,Morondava,8.03209760745449,2023-02-07,02-07
1625,2023-02-07 18:00:00,Menabe,Morondava,7.97760444434486,2023-02-07,02-07
1735,2023-02-07 21:00:00,Menabe,Morondava,4.25812520448865,2023-02-07,02-07
1845,2023-02-08 00:00:00,Menabe,Morondava,2.09928666347575,2023-02-08,02-08
1955,2023-02-08 03:00:00,Menabe,Morondava,1.04466750395053,2023-02-08,02-08
2065,2023-02-08 06:00:00,Menabe,Morondava,0.0533884297692566,2023-02-08,02-08
2175,2023-02-08 09:00:00,Menabe,Morondava,0.0478796425813925,2023-02-08,02-08
2285,2023-02-08 12:00:00,Menabe,Morondava,0.288624088569729,2023-02-08,02-08
2395,2023-02-08 15:00:00,Menabe,Morondava,2.11972888722327,2023-02-08,02-08
2505,2023-02-08 18:00:00,Menabe,Morondava,4.96827216462528,2023-02-08,02-08
2615,2023-02-08 21:00:00,Menabe,Morondava,1.35454731303253,2023-02-08,02-08
