,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
62,2023-02-06 00:00:00,Diana,Nosy-Be,0.990242945408681,2023-02-06,02-06
172,2023-02-06 03:00:00,Diana,Nosy-Be,0.633274273539428,2023-02-06,02-06
282,2023-02-06 06:00:00,Diana,Nosy-Be,0.146330877149012,2023-02-06,02-06
392,2023-02-06 09:00:00,Diana,Nosy-Be,0.0806586284306832,2023-02-06,02-06
502,2023-02-06 12:00:00,Diana,Nosy-Be,1.92580360241118,2023-02-06,02-06
612,2023-02-06 15:00:00,Diana,Nosy-Be,2.35618003620766,2023-02-06,02-06
722,2023-02-06 18:00:00,Diana,Nosy-Be,0.994560104678385,2023-02-06,02-06
832,2023-02-06 21:00:00,Diana,Nosy-Be,0.108893066411838,2023-02-06,02-06
942,2023-02-07 00:00:00,Diana,Nosy-Be,0.0127151015913114,2023-02-07,02-07
1052,2023-02-07 03:00:00,Diana,Nosy-Be,0.0128621703188401,2023-02-07,02-07
1162,2023-02-07 06:00:00,Diana,Nosy-Be,0.0832743284117896,2023-02-07,02-07
1272,2023-02-07 09:00:00,Diana,Nosy-Be,0.20356324777822,2023-02-07,02-07
1382,2023-02-07 12:00:00,Diana,Nosy-Be,3.25647938685142,2023-02-07,02-07
1492,2023-02-07 15:00:00,Diana,Nosy-Be,2.5069732539414,2023-02-07,02-07
1602,2023-02-07 18:00:00,Diana,Nosy-Be,7.98719317629002,2023-02-07,02-07
1712,2023-02-07 21:00:00,Diana,Nosy-Be,0.681786730216118,2023-02-07,02-07
1822,2023-02-08 00:00:00,Diana,Nosy-Be,0.0138474518316798,2023-02-08,02-08
1932,2023-02-08 03:00:00,Diana,Nosy-Be,0.0239995894080494,2023-02-08,02-08
2042,2023-02-08 06:00:00,Diana,Nosy-Be,0.0458150210033637,2023-02-08,02-08
2152,2023-02-08 09:00:00,Diana,Nosy-Be,0.0098385213059373,2023-02-08,02-08
2262,2023-02-08 12:00:00,Diana,Nosy-Be,8.9033920346119,2023-02-08,02-08
2372,2023-02-08 15:00:00,Diana,Nosy-Be,5.62732426368166,2023-02-08,02-08
2482,2023-02-08 18:00:00,Diana,Nosy-Be,2.11293861814192,2023-02-08,02-08
2592,2023-02-08 21:00:00,Diana,Nosy-Be,1.16064638455282,2023-02-08,02-08
2702,2023-02-09 00:00:00,Diana,Nosy-Be,0.209586123150075,2023-02-09,02-09
2812,2023-02-09 03:00:00,Diana,Nosy-Be,0.0054728368704672,2023-02-09,02-09
2922,2023-02-09 06:00:00,Diana,Nosy-Be,0.0284182629256975,2023-02-09,02-09
3032,2023-02-09 09:00:00,Diana,Nosy-Be,0.0790356590005104,2023-02-09,02-09
3142,2023-02-09 12:00:00,Diana,Nosy-Be,5.46138674436952,2023-02-09,02-09
3252,2023-02-09 15:00:00,Diana,Nosy-Be,10.1945366590517,2023-02-09,02-09
3362,2023-02-09 18:00:00,Diana,Nosy-Be,2.96976347337477,2023-02-09,02-09
3472,2023-02-09 21:00:00,Diana,Nosy-Be,0.652164213417564,2023-02-09,02-09
3582,2023-02-10 00:00:00,Diana,Nosy-Be,0.758838406763971,2023-02-10,02-10
3692,2023-02-10 03:00:00,Diana,Nosy-Be,0.377786623954307,2023-02-10,02-10
3802,2023-02-10 06:00:00,Diana,Nosy-Be,0.186473266949179,2023-02-10,02-10
3912,2023-02-10 09:00:00,Diana,Nosy-Be,0.332972410949878,2023-02-10,02-10
4022,2023-02-10 12:00:00,Diana,Nosy-Be,0.420519005187089,2023-02-10,02-10
4132,2023-02-10 15:00:00,Diana,Nosy-Be,5.56893810190377,2023-02-10,02-10
4242,2023-02-10 18:00:00,Diana,Nosy-Be,9.27019976681913,2023-02-10,02-10
4352,2023-02-10 21:00:00,Diana,Nosy-Be,2.63527562422678,2023-02-10,02-10
4462,2023-02-11 00:00:00,Diana,Nosy-Be,0.297283539781347,2023-02-11,02-11
4572,2023-02-11 03:00:00,Diana,Nosy-Be,0.0332742915197741,2023-02-11,02-11
4682,2023-02-11 06:00:00,Diana,Nosy-Be,0.0180889787734486,2023-02-11,02-11
4792,2023-02-11 09:00:00,Diana,Nosy-Be,0.24809164160979,2023-02-11,02-11
4902,2023-02-11 12:00:00,Diana,Nosy-Be,1.58829932849039,2023-02-11,02-11
5012,2023-02-11 15:00:00,Diana,Nosy-Be,2.05343528804951,2023-02-11,02-11
5122,2023-02-11 18:00:00,Diana,Nosy-Be,0.423897589324042,2023-02-11,02-11
5232,2023-02-11 21:00:00,Diana,Nosy-Be,0.0006692338793072,2023-02-11,02-11
5342,2023-02-12 00:00:00,Diana,Nosy-Be,0.0001252607617061,2023-02-12,02-12
5452,2023-02-12 03:00:00,Diana,Nosy-Be,0.202923879871378,2023-02-12,02-12
5562,2023-02-12 06:00:00,Diana,Nosy-Be,1.4039567632426,2023-02-12,02-12
5672,2023-02-12 09:00:00,Diana,Nosy-Be,3.69416705958429,2023-02-12,02-12
5782,2023-02-12 12:00:00,Diana,Nosy-Be,0.460977422771975,2023-02-12,02-12
5892,2023-02-12 15:00:00,Diana,Nosy-Be,0.0277505084523,2023-02-12,02-12
6002,2023-02-12 18:00:00,Diana,Nosy-Be,0.0551750323502347,2023-02-12,02-12
6112,2023-02-12 21:00:00,Diana,Nosy-Be,0.464778473426122,2023-02-12,02-12
6222,2023-02-13 00:00:00,Diana,Nosy-Be,0.600805356894853,2023-02-13,02-13
6332,2023-02-13 03:00:00,Diana,Nosy-Be,0.151848832523683,2023-02-13,02-13
6442,2023-02-13 06:00:00,Diana,Nosy-Be,0.0287717694591265,2023-02-13,02-13
6552,2023-02-13 09:00:00,Diana,Nosy-Be,0.0122950536897406,2023-02-13,02-13
6662,2023-02-13 12:00:00,Diana,Nosy-Be,0.682810972328298,2023-02-13,02-13
6772,2023-02-13 15:00:00,Diana,Nosy-Be,8.34804247418651,2023-02-13,02-13
6882,2023-02-13 18:00:00,Diana,Nosy-Be,7.96888194777421,2023-02-13,02-13
6992,2023-02-13 21:00:00,Diana,Nosy-Be,3.5029165300657,2023-02-13,02-13
7102,2023-02-14 00:00:00,Diana,Nosy-Be,0.656466277316213,2023-02-14,02-14
7212,2023-02-14 03:00:00,Diana,Nosy-Be,0.667290394136217,2023-02-14,02-14
7322,2023-02-14 06:00:00,Diana,Nosy-Be,0.0778625881939661,2023-02-14,02-14
7432,2023-02-14 09:00:00,Diana,Nosy-Be,0.133198593073757,2023-02-14,02-14
7542,2023-02-14 12:00:00,Diana,Nosy-Be,0.332082471984904,2023-02-14,02-14
7652,2023-02-14 15:00:00,Diana,Nosy-Be,1.52507179122767,2023-02-14,02-14
7762,2023-02-14 18:00:00,Diana,Nosy-Be,1.34198707048199,2023-02-14,02-14
7872,2023-02-14 21:00:00,Diana,Nosy-Be,0.180137633724371,2023-02-14,02-14
7982,2023-02-15 00:00:00,Diana,Nosy-Be,0.0479446138779167,2023-02-15,02-15
8092,2023-02-15 03:00:00,Diana,Nosy-Be,0.444705301197246,2023-02-15,02-15
8202,2023-02-15 06:00:00,Diana,Nosy-Be,0.101994133729022,2023-02-15,02-15
8312,2023-02-15 09:00:00,Diana,Nosy-Be,0.177555889502401,2023-02-15,02-15
8422,2023-02-15 12:00:00,Diana,Nosy-Be,0.327735053608194,2023-02-15,02-15
8532,2023-02-15 15:00:00,Diana,Nosy-Be,0.317053832521196,2023-02-15,02-15
8642,2023-02-15 18:00:00,Diana,Nosy-Be,1.0554851514753,2023-02-15,02-15
8752,2023-02-15 21:00:00,Diana,Nosy-Be,0.488194410485448,2023-02-15,02-15
8862,2023-02-16 00:00:00,Diana,Nosy-Be,0.17503628085251,2023-02-16,02-16
8972,2023-02-16 03:00:00,Diana,Nosy-Be,0.0142797560838517,2023-02-16,02-16
