,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
108,2023-02-06 00:00:00,Vatovavy Fitovinany,Nosy-Varika,1.12648283676176,2023-02-06,02-06
218,2023-02-06 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.675612539819935,2023-02-06,02-06
328,2023-02-06 06:00:00,Vatovavy Fitovinany,Nosy-Varika,3.17898754485684,2023-02-06,02-06
438,2023-02-06 09:00:00,Vatovavy Fitovinany,Nosy-Varika,4.51297059196205,2023-02-06,02-06
548,2023-02-06 12:00:00,Vatovavy Fitovinany,Nosy-Varika,4.80110377763905,2023-02-06,02-06
658,2023-02-06 15:00:00,Vatovavy Fitovinany,Nosy-Varika,2.58505936159054,2023-02-06,02-06
768,2023-02-06 18:00:00,Vatovavy Fitovinany,Nosy-Varika,4.20577100092915,2023-02-06,02-06
878,2023-02-06 21:00:00,Vatovavy Fitovinany,Nosy-Varika,4.58445176965324,2023-02-06,02-06
988,2023-02-07 00:00:00,Vatovavy Fitovinany,Nosy-Varika,2.5193692782863,2023-02-07,02-07
1098,2023-02-07 03:00:00,Vatovavy Fitovinany,Nosy-Varika,1.9029977602374,2023-02-07,02-07
1208,2023-02-07 06:00:00,Vatovavy Fitovinany,Nosy-Varika,1.33274712218896,2023-02-07,02-07
1318,2023-02-07 09:00:00,Vatovavy Fitovinany,Nosy-Varika,1.07920081402956,2023-02-07,02-07
1428,2023-02-07 12:00:00,Vatovavy Fitovinany,Nosy-Varika,1.37257975128116,2023-02-07,02-07
1538,2023-02-07 15:00:00,Vatovavy Fitovinany,Nosy-Varika,2.01838795249248,2023-02-07,02-07
1648,2023-02-07 18:00:00,Vatovavy Fitovinany,Nosy-Varika,1.38841183253509,2023-02-07,02-07
1758,2023-02-07 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.488386437745409,2023-02-07,02-07
1868,2023-02-08 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.140377029682414,2023-02-08,02-08
1978,2023-02-08 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0721654982258128,2023-02-08,02-08
2088,2023-02-08 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.317019538301632,2023-02-08,02-08
2198,2023-02-08 09:00:00,Vatovavy Fitovinany,Nosy-Varika,2.58197402814917,2023-02-08,02-08
2308,2023-02-08 12:00:00,Vatovavy Fitovinany,Nosy-Varika,2.18851251070566,2023-02-08,02-08
2418,2023-02-08 15:00:00,Vatovavy Fitovinany,Nosy-Varika,1.80558043685125,2023-02-08,02-08
2528,2023-02-08 18:00:00,Vatovavy Fitovinany,Nosy-Varika,3.29012872857343,2023-02-08,02-08
2638,2023-02-08 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.974377506268758,2023-02-08,02-08
2748,2023-02-09 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.420029257297488,2023-02-09,02-09
2858,2023-02-09 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.58350902762579,2023-02-09,02-09
2968,2023-02-09 06:00:00,Vatovavy Fitovinany,Nosy-Varika,2.00009666356046,2023-02-09,02-09
3078,2023-02-09 09:00:00,Vatovavy Fitovinany,Nosy-Varika,2.28700346824275,2023-02-09,02-09
3188,2023-02-09 12:00:00,Vatovavy Fitovinany,Nosy-Varika,1.10885292702861,2023-02-09,02-09
3298,2023-02-09 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.503213799235014,2023-02-09,02-09
3408,2023-02-09 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.377438286586445,2023-02-09,02-09
3518,2023-02-09 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0318834248396075,2023-02-09,02-09
3628,2023-02-10 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0198483402816825,2023-02-10,02-10
3738,2023-02-10 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0439546929418986,2023-02-10,02-10
3848,2023-02-10 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.439387526275823,2023-02-10,02-10
3958,2023-02-10 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.411909254812225,2023-02-10,02-10
4068,2023-02-10 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.714081077754278,2023-02-10,02-10
4178,2023-02-10 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0121115768715219,2023-02-10,02-10
4288,2023-02-10 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0184461314364693,2023-02-10,02-10
4398,2023-02-10 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.161659629965845,2023-02-10,02-10
4508,2023-02-11 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.512228204406497,2023-02-11,02-11
4618,2023-02-11 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0145935112754266,2023-02-11,02-11
4728,2023-02-11 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0128169094318497,2023-02-11,02-11
4838,2023-02-11 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0243241155181107,2023-02-11,02-11
4948,2023-02-11 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0607190933455165,2023-02-11,02-11
5058,2023-02-11 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0507461133786231,2023-02-11,02-11
5168,2023-02-11 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0487117234819487,2023-02-11,02-11
5278,2023-02-11 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0378198549784857,2023-02-11,02-11
5388,2023-02-12 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0095926647002617,2023-02-12,02-12
5498,2023-02-12 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0002046640815131,2023-02-12,02-12
5608,2023-02-12 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0001555666282964,2023-02-12,02-12
5718,2023-02-12 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0004045037545866,2023-02-12,02-12
5828,2023-02-12 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0141800714978565,2023-02-12,02-12
5938,2023-02-12 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.083310159666272,2023-02-12,02-12
6048,2023-02-12 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.171306028765256,2023-02-12,02-12
6158,2023-02-12 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.049306078825954,2023-02-12,02-12
6268,2023-02-13 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0508208292680245,2023-02-13,02-13
6378,2023-02-13 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0929863571192768,2023-02-13,02-13
6488,2023-02-13 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.290159836536451,2023-02-13,02-13
6598,2023-02-13 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.115766371560954,2023-02-13,02-13
6708,2023-02-13 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.144149574345005,2023-02-13,02-13
6818,2023-02-13 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.255748009615619,2023-02-13,02-13
6928,2023-02-13 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.371462085089126,2023-02-13,02-13
7038,2023-02-13 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0707970032543766,2023-02-13,02-13
7148,2023-02-14 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.141306048704256,2023-02-14,02-14
7258,2023-02-14 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.101027027691838,2023-02-14,02-14
7368,2023-02-14 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.276182353513671,2023-02-14,02-14
7478,2023-02-14 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.208900489250321,2023-02-14,02-14
7588,2023-02-14 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.469379514923169,2023-02-14,02-14
7698,2023-02-14 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.418065182203838,2023-02-14,02-14
7808,2023-02-14 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0967483028430519,2023-02-14,02-14
7918,2023-02-14 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0728001735286157,2023-02-14,02-14
8028,2023-02-15 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0520261152517324,2023-02-15,02-15
8138,2023-02-15 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.087190301700235,2023-02-15,02-15
8248,2023-02-15 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.2381602089496,2023-02-15,02-15
8358,2023-02-15 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.302546363491702,2023-02-15,02-15
8468,2023-02-15 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.964784821806996,2023-02-15,02-15
8578,2023-02-15 15:00:00,Vatovavy Fitovinany,Nosy-Varika,1.26761846322744,2023-02-15,02-15
8688,2023-02-15 18:00:00,Vatovavy Fitovinany,Nosy-Varika,2.67906092118424,2023-02-15,02-15
8798,2023-02-15 21:00:00,Vatovavy Fitovinany,Nosy-Varika,4.19030369236305,2023-02-15,02-15
8908,2023-02-16 00:00:00,Vatovavy Fitovinany,Nosy-Varika,2.73505362650886,2023-02-16,02-16
9018,2023-02-16 03:00:00,Vatovavy Fitovinany,Nosy-Varika,1.06227564752472,2023-02-16,02-16
9128,2023-02-16 06:00:00,Vatovavy Fitovinany,Nosy-Varika,2.45756022566553,2023-02-16,02-16
9238,2023-02-16 09:00:00,Vatovavy Fitovinany,Nosy-Varika,3.94120806649067,2023-02-16,02-16
9348,2023-02-16 12:00:00,Vatovavy Fitovinany,Nosy-Varika,4.84341073350858,2023-02-16,02-16
9458,2023-02-16 15:00:00,Vatovavy Fitovinany,Nosy-Varika,5.50681071389836,2023-02-16,02-16
9568,2023-02-16 18:00:00,Vatovavy Fitovinany,Nosy-Varika,4.04596480660086,2023-02-16,02-16
9678,2023-02-16 21:00:00,Vatovavy Fitovinany,Nosy-Varika,3.42178486661492,2023-02-16,02-16
9788,2023-02-17 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.285763174112242,2023-02-17,02-17
9898,2023-02-17 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.138692652825472,2023-02-17,02-17
10008,2023-02-17 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.478612048150835,2023-02-17,02-17
10118,2023-02-17 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.995345108764013,2023-02-17,02-17
10228,2023-02-17 12:00:00,Vatovavy Fitovinany,Nosy-Varika,3.27824008603142,2023-02-17,02-17
10338,2023-02-17 15:00:00,Vatovavy Fitovinany,Nosy-Varika,4.60251632388955,2023-02-17,02-17
10448,2023-02-17 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.231739895036512,2023-02-17,02-17
10558,2023-02-17 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.103322344292845,2023-02-17,02-17
10668,2023-02-18 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0426906962563996,2023-02-18,02-18
10778,2023-02-18 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0298116713289774,2023-02-18,02-18
10888,2023-02-18 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.137002355960088,2023-02-18,02-18
10998,2023-02-18 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.269608571259168,2023-02-18,02-18
11108,2023-02-18 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.694955725868246,2023-02-18,02-18
11218,2023-02-18 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.852309913846993,2023-02-18,02-18
11328,2023-02-18 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.368418163919534,2023-02-18,02-18
11438,2023-02-18 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.599398371205419,2023-02-18,02-18
11548,2023-02-19 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.144001794905361,2023-02-19,02-19
11658,2023-02-19 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0855024538793848,2023-02-19,02-19
11768,2023-02-19 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.195673239270143,2023-02-19,02-19
11878,2023-02-19 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.10448345072184,2023-02-19,02-19
11988,2023-02-19 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.026400245657629,2023-02-19,02-19
12098,2023-02-19 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.00262693384224,2023-02-19,02-19
12208,2023-02-19 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0084531621404868,2023-02-19,02-19
12318,2023-02-19 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0542312574244159,2023-02-19,02-19
12428,2023-02-20 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0331969456456136,2023-02-20,02-20
12538,2023-02-20 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0091011605571325,2023-02-20,02-20
12648,2023-02-20 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0001669432522783,2023-02-20,02-20
12758,2023-02-20 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0002692446783732,2023-02-20,02-20
12868,2023-02-20 12:00:00,Vatovavy Fitovinany,Nosy-Varika,4.17090589454507e-06,2023-02-20,02-20
12978,2023-02-20 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0030264399675241,2023-02-20,02-20
13088,2023-02-20 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0153740472656757,2023-02-20,02-20
13198,2023-02-20 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0676243982674992,2023-02-20,02-20
13308,2023-02-21 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.462835553872591,2023-02-21,02-21
13418,2023-02-21 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.65535547153901,2023-02-21,02-21
13528,2023-02-21 06:00:00,Vatovavy Fitovinany,Nosy-Varika,2.5327470393283,2023-02-21,02-21
13638,2023-02-21 09:00:00,Vatovavy Fitovinany,Nosy-Varika,7.53372982896775,2023-02-21,02-21
13748,2023-02-21 12:00:00,Vatovavy Fitovinany,Nosy-Varika,21.0191889636609,2023-02-21,02-21
13858,2023-02-21 15:00:00,Vatovavy Fitovinany,Nosy-Varika,59.7411859586427,2023-02-21,02-21
13968,2023-02-21 18:00:00,Vatovavy Fitovinany,Nosy-Varika,52.4217045239176,2023-02-21,02-21
14078,2023-02-21 21:00:00,Vatovavy Fitovinany,Nosy-Varika,10.8860368016176,2023-02-21,02-21
14188,2023-02-22 00:00:00,Vatovavy Fitovinany,Nosy-Varika,1.07754456555909,2023-02-22,02-22
14298,2023-02-22 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.140647189241409,2023-02-22,02-22
14408,2023-02-22 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.364130278929438,2023-02-22,02-22
14518,2023-02-22 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.296734860129244,2023-02-22,02-22
14628,2023-02-22 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.788465504298288,2023-02-22,02-22
14738,2023-02-22 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.302310234538334,2023-02-22,02-22
14848,2023-02-22 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.164176148456617,2023-02-22,02-22
14958,2023-02-22 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.422655408953741,2023-02-22,02-22
15068,2023-02-23 00:00:00,Vatovavy Fitovinany,Nosy-Varika,1.26389672915342,2023-02-23,02-23
15178,2023-02-23 03:00:00,Vatovavy Fitovinany,Nosy-Varika,3.49127303128069,2023-02-23,02-23
15288,2023-02-23 06:00:00,Vatovavy Fitovinany,Nosy-Varika,6.4566559973909,2023-02-23,02-23
15398,2023-02-23 09:00:00,Vatovavy Fitovinany,Nosy-Varika,5.67871557157795,2023-02-23,02-23
15508,2023-02-23 12:00:00,Vatovavy Fitovinany,Nosy-Varika,1.89732395205304,2023-02-23,02-23
15618,2023-02-23 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.584446238191209,2023-02-23,02-23
15728,2023-02-23 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.176044680063462,2023-02-23,02-23
15838,2023-02-23 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0731137975406669,2023-02-23,02-23
15948,2023-02-24 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.304773431562353,2023-02-24,02-24
16058,2023-02-24 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.120748532091966,2023-02-24,02-24
16168,2023-02-24 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.167343977720627,2023-02-24,02-24
16278,2023-02-24 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0263178730297916,2023-02-24,02-24
16388,2023-02-24 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0177356971064856,2023-02-24,02-24
16498,2023-02-24 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0303901697454207,2023-02-24,02-24
16608,2023-02-24 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0180093564404695,2023-02-24,02-24
16718,2023-02-24 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.003818972798078,2023-02-24,02-24
16828,2023-02-25 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0108830336043063,2023-02-25,02-25
16938,2023-02-25 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0056960689544212,2023-02-25,02-25
17048,2023-02-25 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0106695082367343,2023-02-25,02-25
17158,2023-02-25 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0401169309368604,2023-02-25,02-25
17268,2023-02-25 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0079670912048587,2023-02-25,02-25
17378,2023-02-25 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0482231053431272,2023-02-25,02-25
17488,2023-02-25 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0480622608841205,2023-02-25,02-25
17598,2023-02-25 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0669902737135999,2023-02-25,02-25
17708,2023-02-26 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.013574144905707,2023-02-26,02-26
17818,2023-02-26 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0046456435298108,2023-02-26,02-26
17928,2023-02-26 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0993260457882356,2023-02-26,02-26
18038,2023-02-26 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0698799699431915,2023-02-26,02-26
18148,2023-02-26 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0721612555053606,2023-02-26,02-26
18258,2023-02-26 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.141849465247052,2023-02-26,02-26
18368,2023-02-26 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.15780732053784,2023-02-26,02-26
18478,2023-02-26 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.05965062543606,2023-02-26,02-26
18588,2023-02-27 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0333160193232984,2023-02-27,02-27
18698,2023-02-27 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0196419748279047,2023-02-27,02-27
18808,2023-02-27 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0802626961736036,2023-02-27,02-27
18918,2023-02-27 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.291467077800703,2023-02-27,02-27
19028,2023-02-27 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.326071586119189,2023-02-27,02-27
19138,2023-02-27 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.538757741581375,2023-02-27,02-27
19248,2023-02-27 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.280744080770733,2023-02-27,02-27
19358,2023-02-27 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0238229616815635,2023-02-27,02-27
19468,2023-02-28 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0114305360389956,2023-02-28,02-28
19578,2023-02-28 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0426728718842188,2023-02-28,02-28
19688,2023-02-28 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.195143221661805,2023-02-28,02-28
19798,2023-02-28 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.149256838338367,2023-02-28,02-28
19908,2023-02-28 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.741927149445366,2023-02-28,02-28
20018,2023-02-28 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.263884497054866,2023-02-28,02-28
20128,2023-02-28 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0371851546840523,2023-02-28,02-28
20238,2023-02-28 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0088289185831158,2023-02-28,02-28
20348,2023-03-01 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0014313718488933,2023-03-01,03-01
20458,2023-03-01 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0003799179086105,2023-03-01,03-01
20568,2023-03-01 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0230114041615332,2023-03-01,03-01
20678,2023-03-01 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0252174793345415,2023-03-01,03-01
20788,2023-03-01 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.450846911276184,2023-03-01,03-01
20898,2023-03-01 15:00:00,Vatovavy Fitovinany,Nosy-Varika,0.716498985319905,2023-03-01,03-01
21008,2023-03-01 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.654342034973738,2023-03-01,03-01
21118,2023-03-01 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.522901104699807,2023-03-01,03-01
21228,2023-03-02 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0527858052176752,2023-03-02,03-02
21338,2023-03-02 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0015213715686353,2023-03-02,03-02
21448,2023-03-02 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.095762689548257,2023-03-02,03-02
21558,2023-03-02 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.510769753097146,2023-03-02,03-02
21668,2023-03-02 12:00:00,Vatovavy Fitovinany,Nosy-Varika,4.81417042735676,2023-03-02,03-02
21778,2023-03-02 15:00:00,Vatovavy Fitovinany,Nosy-Varika,17.1970108132244,2023-03-02,03-02
21888,2023-03-02 18:00:00,Vatovavy Fitovinany,Nosy-Varika,10.2641432974316,2023-03-02,03-02
21998,2023-03-02 21:00:00,Vatovavy Fitovinany,Nosy-Varika,1.56887372798519,2023-03-02,03-02
22108,2023-03-03 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0868301470832461,2023-03-03,03-03
22218,2023-03-03 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0520859943832928,2023-03-03,03-03
22328,2023-03-03 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.690765856780619,2023-03-03,03-03
22438,2023-03-03 09:00:00,Vatovavy Fitovinany,Nosy-Varika,2.30834872568855,2023-03-03,03-03
22548,2023-03-03 12:00:00,Vatovavy Fitovinany,Nosy-Varika,7.01582337636843,2023-03-03,03-03
22658,2023-03-03 15:00:00,Vatovavy Fitovinany,Nosy-Varika,11.9757384590373,2023-03-03,03-03
22768,2023-03-03 18:00:00,Vatovavy Fitovinany,Nosy-Varika,6.98958697478349,2023-03-03,03-03
22878,2023-03-03 21:00:00,Vatovavy Fitovinany,Nosy-Varika,2.51056246708407,2023-03-03,03-03
22988,2023-03-04 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.453422941050068,2023-03-04,03-04
23098,2023-03-04 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0376624728087336,2023-03-04,03-04
23208,2023-03-04 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.184271362226676,2023-03-04,03-04
23318,2023-03-04 09:00:00,Vatovavy Fitovinany,Nosy-Varika,3.15632410104702,2023-03-04,03-04
23428,2023-03-04 12:00:00,Vatovavy Fitovinany,Nosy-Varika,12.5732455286351,2023-03-04,03-04
23538,2023-03-04 15:00:00,Vatovavy Fitovinany,Nosy-Varika,19.2109647400194,2023-03-04,03-04
23648,2023-03-04 18:00:00,Vatovavy Fitovinany,Nosy-Varika,5.70478538120241,2023-03-04,03-04
23758,2023-03-04 21:00:00,Vatovavy Fitovinany,Nosy-Varika,1.59782405743232,2023-03-04,03-04
23868,2023-03-05 00:00:00,Vatovavy Fitovinany,Nosy-Varika,0.457625257566927,2023-03-05,03-05
23978,2023-03-05 03:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0157211854512913,2023-03-05,03-05
24088,2023-03-05 06:00:00,Vatovavy Fitovinany,Nosy-Varika,1.08550365670303,2023-03-05,03-05
24198,2023-03-05 09:00:00,Vatovavy Fitovinany,Nosy-Varika,2.52628312208039,2023-03-05,03-05
24308,2023-03-05 12:00:00,Vatovavy Fitovinany,Nosy-Varika,9.64735094652518,2023-03-05,03-05
24418,2023-03-05 15:00:00,Vatovavy Fitovinany,Nosy-Varika,6.95429414299467,2023-03-05,03-05
24528,2023-03-05 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.45386536006802,2023-03-05,03-05
24638,2023-03-05 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0007746874077437,2023-03-05,03-05
24748,2023-03-06 00:00:00,Vatovavy Fitovinany,Nosy-Varika,3.42085481593933e-05,2023-03-06,03-06
24858,2023-03-06 03:00:00,Vatovavy Fitovinany,Nosy-Varika,3.85375803007799e-05,2023-03-06,03-06
24968,2023-03-06 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0305832835130037,2023-03-06,03-06
25078,2023-03-06 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.43883851593059,2023-03-06,03-06
25188,2023-03-06 12:00:00,Vatovavy Fitovinany,Nosy-Varika,0.384371808411636,2023-03-06,03-06
25298,2023-03-06 15:00:00,Vatovavy Fitovinany,Nosy-Varika,2.68839335518971,2023-03-06,03-06
25408,2023-03-06 18:00:00,Vatovavy Fitovinany,Nosy-Varika,0.850934695005622,2023-03-06,03-06
25518,2023-03-06 21:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0289516460136784,2023-03-06,03-06
25628,2023-03-07 00:00:00,Vatovavy Fitovinany,Nosy-Varika,4.32090361273902e-06,2023-03-07,03-07
25738,2023-03-07 03:00:00,Vatovavy Fitovinany,Nosy-Varika,4.32648641221664e-06,2023-03-07,03-07
25848,2023-03-07 06:00:00,Vatovavy Fitovinany,Nosy-Varika,0.0488044146828436,2023-03-07,03-07
25958,2023-03-07 09:00:00,Vatovavy Fitovinany,Nosy-Varika,0.145224171504036,2023-03-07,03-07
26068,2023-03-07 12:00:00,Vatovavy Fitovinany,Nosy-Varika,1.49023579093902,2023-03-07,03-07
26178,2023-03-07 15:00:00,Vatovavy Fitovinany,Nosy-Varika,2.08233247555429,2023-03-07,03-07
26288,2023-03-07 18:00:00,Vatovavy Fitovinany,Nosy-Varika,1.57333522476427,2023-03-07,03-07
