,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
96,2023-02-06 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.662588301920766,2023-02-06,02-06
206,2023-02-06 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.282457863323004,2023-02-06,02-06
316,2023-02-06 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.324889079351925,2023-02-06,02-06
426,2023-02-06 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.500337719835412,2023-02-06,02-06
536,2023-02-06 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),5.05090635594857,2023-02-06,02-06
646,2023-02-06 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),19.218279432604,2023-02-06,02-06
756,2023-02-06 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),9.00727430459258,2023-02-06,02-06
866,2023-02-06 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),3.80674993446278,2023-02-06,02-06
976,2023-02-07 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),2.60950443722402,2023-02-07,02-07
1086,2023-02-07 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.227140137997764,2023-02-07,02-07
1196,2023-02-07 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.242047437421299,2023-02-07,02-07
1306,2023-02-07 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.543467570951611,2023-02-07,02-07
1416,2023-02-07 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),8.89633601737382,2023-02-07,02-07
1526,2023-02-07 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),9.08405717837889,2023-02-07,02-07
1636,2023-02-07 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),2.13603132401131,2023-02-07,02-07
1746,2023-02-07 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.332788506615512,2023-02-07,02-07
1856,2023-02-08 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0534755393410875,2023-02-08,02-08
1966,2023-02-08 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0006011834208285,2023-02-08,02-08
2076,2023-02-08 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0058658484318214,2023-02-08,02-08
2186,2023-02-08 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0139536469054045,2023-02-08,02-08
2296,2023-02-08 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),3.14929238860436,2023-02-08,02-08
2406,2023-02-08 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),3.71922554961658,2023-02-08,02-08
2516,2023-02-08 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.513166432951624,2023-02-08,02-08
2626,2023-02-08 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.192744027278623,2023-02-08,02-08
2736,2023-02-09 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0717680441428734,2023-02-09,02-09
2846,2023-02-09 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0215664225890917,2023-02-09,02-09
2956,2023-02-09 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0033422539432896,2023-02-09,02-09
3066,2023-02-09 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0067576462762051,2023-02-09,02-09
3176,2023-02-09 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.608183246441343,2023-02-09,02-09
3286,2023-02-09 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),1.4296927044614,2023-02-09,02-09
3396,2023-02-09 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.852665354980164,2023-02-09,02-09
3506,2023-02-09 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.251512441300724,2023-02-09,02-09
3616,2023-02-10 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.2327915473557,2023-02-10,02-10
3726,2023-02-10 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.160716075728395,2023-02-10,02-10
3836,2023-02-10 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0586900685625782,2023-02-10,02-10
3946,2023-02-10 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0005965837922689,2023-02-10,02-10
4056,2023-02-10 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.060653588578689,2023-02-10,02-10
4166,2023-02-10 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.26840895497323,2023-02-10,02-10
4276,2023-02-10 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0733759942863105,2023-02-10,02-10
4386,2023-02-10 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.260335802301859,2023-02-10,02-10
4496,2023-02-11 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.125435761440451,2023-02-11,02-11
4606,2023-02-11 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0071512629718014,2023-02-11,02-11
4716,2023-02-11 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0822359233092264,2023-02-11,02-11
4826,2023-02-11 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0264803406346384,2023-02-11,02-11
4936,2023-02-11 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.217657780813416,2023-02-11,02-11
5046,2023-02-11 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),3.43030205739354,2023-02-11,02-11
5156,2023-02-11 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.96140179634035,2023-02-11,02-11
5266,2023-02-11 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.150067787087657,2023-02-11,02-11
5376,2023-02-12 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.589425166089174,2023-02-12,02-12
5486,2023-02-12 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0838266625009888,2023-02-12,02-12
5596,2023-02-12 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.055920199350004,2023-02-12,02-12
5706,2023-02-12 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0560354766064971,2023-02-12,02-12
5816,2023-02-12 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0865966750958035,2023-02-12,02-12
5926,2023-02-12 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),1.32422403956692,2023-02-12,02-12
6036,2023-02-12 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.534821998169133,2023-02-12,02-12
6146,2023-02-12 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0112544140981715,2023-02-12,02-12
6256,2023-02-13 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),5.33463642537846e-06,2023-02-13,02-13
6366,2023-02-13 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0018506262745408,2023-02-13,02-13
6476,2023-02-13 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0138691201671895,2023-02-13,02-13
6586,2023-02-13 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0657058451640404,2023-02-13,02-13
6696,2023-02-13 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.450370449781955,2023-02-13,02-13
6806,2023-02-13 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),1.37897844474183,2023-02-13,02-13
6916,2023-02-13 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),1.00712107472769,2023-02-13,02-13
7026,2023-02-13 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.183004212793618,2023-02-13,02-13
7136,2023-02-14 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0547667430206676,2023-02-14,02-14
7246,2023-02-14 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0273805274943805,2023-02-14,02-14
7356,2023-02-14 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0321428437650172,2023-02-14,02-14
7466,2023-02-14 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0109764370362874,2023-02-14,02-14
7576,2023-02-14 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0197585518511359,2023-02-14,02-14
7686,2023-02-14 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0172636014748744,2023-02-14,02-14
7796,2023-02-14 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.124240714488393,2023-02-14,02-14
7906,2023-02-14 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0686628088282058,2023-02-14,02-14
8016,2023-02-15 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0018897760389135,2023-02-15,02-15
8126,2023-02-15 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0007010019577692,2023-02-15,02-15
8236,2023-02-15 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0042621880686857,2023-02-15,02-15
8346,2023-02-15 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.00999946473265,2023-02-15,02-15
8456,2023-02-15 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0698997832704493,2023-02-15,02-15
8566,2023-02-15 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.240794754962997,2023-02-15,02-15
8676,2023-02-15 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.285821192694623,2023-02-15,02-15
8786,2023-02-15 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.41947939102755,2023-02-15,02-15
8896,2023-02-16 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0892835996484668,2023-02-16,02-16
9006,2023-02-16 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0064513759669784,2023-02-16,02-16
9116,2023-02-16 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.142138941308199,2023-02-16,02-16
9226,2023-02-16 09:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.286863126343124,2023-02-16,02-16
9336,2023-02-16 12:00:00,Sofia,Port-Berge (Boriziny-Vaovao),1.50897119138035,2023-02-16,02-16
9446,2023-02-16 15:00:00,Sofia,Port-Berge (Boriziny-Vaovao),1.49402246330233,2023-02-16,02-16
9556,2023-02-16 18:00:00,Sofia,Port-Berge (Boriziny-Vaovao),2.47987681454624,2023-02-16,02-16
9666,2023-02-16 21:00:00,Sofia,Port-Berge (Boriziny-Vaovao),1.67934122823585,2023-02-16,02-16
9776,2023-02-17 00:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.886395290628139,2023-02-17,02-17
9886,2023-02-17 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),2.39794276001808,2023-02-17,02-17
9996,2023-02-17 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),2.47231178004906,2023-02-17,02-17
