,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
19,2023-02-06 00:00:00,Analanjirofo,Sainte Marie,1.47254590867669,2023-02-06,02-06
129,2023-02-06 03:00:00,Analanjirofo,Sainte Marie,1.9335013400123,2023-02-06,02-06
239,2023-02-06 06:00:00,Analanjirofo,Sainte Marie,0.601985848072218,2023-02-06,02-06
349,2023-02-06 09:00:00,Analanjirofo,Sainte Marie,0.130889264750294,2023-02-06,02-06
459,2023-02-06 12:00:00,Analanjirofo,Sainte Marie,1.9912397453445,2023-02-06,02-06
569,2023-02-06 15:00:00,Analanjirofo,Sainte Marie,7.93105415115133,2023-02-06,02-06
679,2023-02-06 18:00:00,Analanjirofo,Sainte Marie,3.35205907895579,2023-02-06,02-06
789,2023-02-06 21:00:00,Analanjirofo,Sainte Marie,2.24171468106215,2023-02-06,02-06
899,2023-02-07 00:00:00,Analanjirofo,Sainte Marie,1.31086524724378,2023-02-07,02-07
1009,2023-02-07 03:00:00,Analanjirofo,Sainte Marie,0.512956502032466,2023-02-07,02-07
1119,2023-02-07 06:00:00,Analanjirofo,Sainte Marie,1.91227730817627,2023-02-07,02-07
1229,2023-02-07 09:00:00,Analanjirofo,Sainte Marie,0.782436149398563,2023-02-07,02-07
1339,2023-02-07 12:00:00,Analanjirofo,Sainte Marie,0.922138645342784,2023-02-07,02-07
1449,2023-02-07 15:00:00,Analanjirofo,Sainte Marie,1.5073240211932,2023-02-07,02-07
1559,2023-02-07 18:00:00,Analanjirofo,Sainte Marie,5.68032115133246,2023-02-07,02-07
1669,2023-02-07 21:00:00,Analanjirofo,Sainte Marie,4.13188595985412,2023-02-07,02-07
1779,2023-02-08 00:00:00,Analanjirofo,Sainte Marie,2.4222650329466,2023-02-08,02-08
1889,2023-02-08 03:00:00,Analanjirofo,Sainte Marie,1.72953087213682,2023-02-08,02-08
1999,2023-02-08 06:00:00,Analanjirofo,Sainte Marie,1.45997879415518,2023-02-08,02-08
2109,2023-02-08 09:00:00,Analanjirofo,Sainte Marie,1.17031547514489,2023-02-08,02-08
2219,2023-02-08 12:00:00,Analanjirofo,Sainte Marie,1.32412030739943,2023-02-08,02-08
2329,2023-02-08 15:00:00,Analanjirofo,Sainte Marie,2.65641828355729,2023-02-08,02-08
2439,2023-02-08 18:00:00,Analanjirofo,Sainte Marie,3.65070334801567,2023-02-08,02-08
2549,2023-02-08 21:00:00,Analanjirofo,Sainte Marie,3.82764211957692,2023-02-08,02-08
2659,2023-02-09 00:00:00,Analanjirofo,Sainte Marie,3.35324244134244,2023-02-09,02-09
2769,2023-02-09 03:00:00,Analanjirofo,Sainte Marie,3.11014157827594,2023-02-09,02-09
2879,2023-02-09 06:00:00,Analanjirofo,Sainte Marie,2.14468394013238,2023-02-09,02-09
2989,2023-02-09 09:00:00,Analanjirofo,Sainte Marie,2.02445190979051,2023-02-09,02-09
3099,2023-02-09 12:00:00,Analanjirofo,Sainte Marie,1.36761825080612,2023-02-09,02-09
3209,2023-02-09 15:00:00,Analanjirofo,Sainte Marie,1.0689848124166,2023-02-09,02-09
3319,2023-02-09 18:00:00,Analanjirofo,Sainte Marie,2.79121892564581,2023-02-09,02-09
