,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
34,2023-02-06 00:00:00,Atsimo Andrefana,Sakaraha,0.018697122233838,2023-02-06,02-06
144,2023-02-06 03:00:00,Atsimo Andrefana,Sakaraha,0.0044539772545151,2023-02-06,02-06
254,2023-02-06 06:00:00,Atsimo Andrefana,Sakaraha,0.0295311592541308,2023-02-06,02-06
364,2023-02-06 09:00:00,Atsimo Andrefana,Sakaraha,0.148356569192303,2023-02-06,02-06
474,2023-02-06 12:00:00,Atsimo Andrefana,Sakaraha,0.599033362409918,2023-02-06,02-06
584,2023-02-06 15:00:00,Atsimo Andrefana,Sakaraha,0.945956071984256,2023-02-06,02-06
694,2023-02-06 18:00:00,Atsimo Andrefana,Sakaraha,0.646794570421932,2023-02-06,02-06
804,2023-02-06 21:00:00,Atsimo Andrefana,Sakaraha,0.0242778280344037,2023-02-06,02-06
914,2023-02-07 00:00:00,Atsimo Andrefana,Sakaraha,0.082896300294984,2023-02-07,02-07
1024,2023-02-07 03:00:00,Atsimo Andrefana,Sakaraha,0.239283051015337,2023-02-07,02-07
1134,2023-02-07 06:00:00,Atsimo Andrefana,Sakaraha,0.0561381618467134,2023-02-07,02-07
1244,2023-02-07 09:00:00,Atsimo Andrefana,Sakaraha,0.853412433499093,2023-02-07,02-07
1354,2023-02-07 12:00:00,Atsimo Andrefana,Sakaraha,2.70103920408842,2023-02-07,02-07
1464,2023-02-07 15:00:00,Atsimo Andrefana,Sakaraha,2.15383093329886,2023-02-07,02-07
1574,2023-02-07 18:00:00,Atsimo Andrefana,Sakaraha,2.88081635437147,2023-02-07,02-07
1684,2023-02-07 21:00:00,Atsimo Andrefana,Sakaraha,0.449992767812816,2023-02-07,02-07
1794,2023-02-08 00:00:00,Atsimo Andrefana,Sakaraha,0.143084244986656,2023-02-08,02-08
1904,2023-02-08 03:00:00,Atsimo Andrefana,Sakaraha,0.0279639020044596,2023-02-08,02-08
2014,2023-02-08 06:00:00,Atsimo Andrefana,Sakaraha,0.125955804896925,2023-02-08,02-08
2124,2023-02-08 09:00:00,Atsimo Andrefana,Sakaraha,0.0802453454187442,2023-02-08,02-08
2234,2023-02-08 12:00:00,Atsimo Andrefana,Sakaraha,0.250505264164137,2023-02-08,02-08
