,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
88,2023-02-06 00:00:00,Sava,Sambava,0.488176384584035,2023-02-06,02-06
198,2023-02-06 03:00:00,Sava,Sambava,0.209503147551097,2023-02-06,02-06
308,2023-02-06 06:00:00,Sava,Sambava,0.991461001652985,2023-02-06,02-06
418,2023-02-06 09:00:00,Sava,Sambava,1.83656348032841,2023-02-06,02-06
528,2023-02-06 12:00:00,Sava,Sambava,3.0142329975094,2023-02-06,02-06
638,2023-02-06 15:00:00,Sava,Sambava,2.95252099469191,2023-02-06,02-06
748,2023-02-06 18:00:00,Sava,Sambava,3.39505263248709,2023-02-06,02-06
858,2023-02-06 21:00:00,Sava,Sambava,0.658569132613663,2023-02-06,02-06
968,2023-02-07 00:00:00,Sava,Sambava,0.0869753523416316,2023-02-07,02-07
1078,2023-02-07 03:00:00,Sava,Sambava,0.372210572315499,2023-02-07,02-07
1188,2023-02-07 06:00:00,Sava,Sambava,3.15389583043856,2023-02-07,02-07
1298,2023-02-07 09:00:00,Sava,Sambava,4.10874658826894,2023-02-07,02-07
1408,2023-02-07 12:00:00,Sava,Sambava,2.1487814409118,2023-02-07,02-07
1518,2023-02-07 15:00:00,Sava,Sambava,0.889581044841832,2023-02-07,02-07
1628,2023-02-07 18:00:00,Sava,Sambava,1.11047164561042,2023-02-07,02-07
1738,2023-02-07 21:00:00,Sava,Sambava,0.471420055880653,2023-02-07,02-07
1848,2023-02-08 00:00:00,Sava,Sambava,0.0804570324029415,2023-02-08,02-08
1958,2023-02-08 03:00:00,Sava,Sambava,0.0716011211938726,2023-02-08,02-08
2068,2023-02-08 06:00:00,Sava,Sambava,0.64565872279957,2023-02-08,02-08
2178,2023-02-08 09:00:00,Sava,Sambava,1.73153156385823,2023-02-08,02-08
2288,2023-02-08 12:00:00,Sava,Sambava,3.1673332233361,2023-02-08,02-08
2398,2023-02-08 15:00:00,Sava,Sambava,1.38639714689895,2023-02-08,02-08
2508,2023-02-08 18:00:00,Sava,Sambava,1.32268359770294,2023-02-08,02-08
2618,2023-02-08 21:00:00,Sava,Sambava,0.408556175982365,2023-02-08,02-08
2728,2023-02-09 00:00:00,Sava,Sambava,0.162994124807226,2023-02-09,02-09
2838,2023-02-09 03:00:00,Sava,Sambava,0.132152750619496,2023-02-09,02-09
2948,2023-02-09 06:00:00,Sava,Sambava,0.742257670142676,2023-02-09,02-09
3058,2023-02-09 09:00:00,Sava,Sambava,1.97023886001746,2023-02-09,02-09
3168,2023-02-09 12:00:00,Sava,Sambava,2.50134634958335,2023-02-09,02-09
3278,2023-02-09 15:00:00,Sava,Sambava,1.03604686399176,2023-02-09,02-09
3388,2023-02-09 18:00:00,Sava,Sambava,0.542164252708272,2023-02-09,02-09
3498,2023-02-09 21:00:00,Sava,Sambava,0.320752649663542,2023-02-09,02-09
3608,2023-02-10 00:00:00,Sava,Sambava,0.480192732282329,2023-02-10,02-10
3718,2023-02-10 03:00:00,Sava,Sambava,0.816822074982039,2023-02-10,02-10
3828,2023-02-10 06:00:00,Sava,Sambava,0.37879759650558,2023-02-10,02-10
3938,2023-02-10 09:00:00,Sava,Sambava,1.48665098632829,2023-02-10,02-10
4048,2023-02-10 12:00:00,Sava,Sambava,3.42865887506065,2023-02-10,02-10
4158,2023-02-10 15:00:00,Sava,Sambava,2.35864626475496,2023-02-10,02-10
4268,2023-02-10 18:00:00,Sava,Sambava,1.58031250108093,2023-02-10,02-10
4378,2023-02-10 21:00:00,Sava,Sambava,0.502237801135589,2023-02-10,02-10
4488,2023-02-11 00:00:00,Sava,Sambava,0.179473411429148,2023-02-11,02-11
4598,2023-02-11 03:00:00,Sava,Sambava,0.0337112795051116,2023-02-11,02-11
4708,2023-02-11 06:00:00,Sava,Sambava,0.410219454546817,2023-02-11,02-11
4818,2023-02-11 09:00:00,Sava,Sambava,0.5756162923704,2023-02-11,02-11
4928,2023-02-11 12:00:00,Sava,Sambava,3.3967055431,2023-02-11,02-11
5038,2023-02-11 15:00:00,Sava,Sambava,2.04022346081314,2023-02-11,02-11
5148,2023-02-11 18:00:00,Sava,Sambava,1.48579658611636,2023-02-11,02-11
5258,2023-02-11 21:00:00,Sava,Sambava,0.623670082069181,2023-02-11,02-11
5368,2023-02-12 00:00:00,Sava,Sambava,0.0613398029504774,2023-02-12,02-12
5478,2023-02-12 03:00:00,Sava,Sambava,0.000697996530037,2023-02-12,02-12
5588,2023-02-12 06:00:00,Sava,Sambava,0.0375797885861128,2023-02-12,02-12
5698,2023-02-12 09:00:00,Sava,Sambava,0.10556391994648,2023-02-12,02-12
5808,2023-02-12 12:00:00,Sava,Sambava,0.478610783104952,2023-02-12,02-12
5918,2023-02-12 15:00:00,Sava,Sambava,0.704008438600561,2023-02-12,02-12
6028,2023-02-12 18:00:00,Sava,Sambava,0.192636258662857,2023-02-12,02-12
6138,2023-02-12 21:00:00,Sava,Sambava,0.042696207555799,2023-02-12,02-12
6248,2023-02-13 00:00:00,Sava,Sambava,0.0274243831756907,2023-02-13,02-13
6358,2023-02-13 03:00:00,Sava,Sambava,0.0675359290251389,2023-02-13,02-13
6468,2023-02-13 06:00:00,Sava,Sambava,0.309652209820715,2023-02-13,02-13
6578,2023-02-13 09:00:00,Sava,Sambava,2.38308641212867,2023-02-13,02-13
6688,2023-02-13 12:00:00,Sava,Sambava,3.49568300969296,2023-02-13,02-13
6798,2023-02-13 15:00:00,Sava,Sambava,3.60671470329936,2023-02-13,02-13
6908,2023-02-13 18:00:00,Sava,Sambava,0.939160919761679,2023-02-13,02-13
7018,2023-02-13 21:00:00,Sava,Sambava,0.170505608678258,2023-02-13,02-13
7128,2023-02-14 00:00:00,Sava,Sambava,0.0256361646685176,2023-02-14,02-14
