,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
55,2023-02-06 00:00:00,Boeny,Soalala,0.370733932591065,2023-02-06,02-06
165,2023-02-06 03:00:00,Boeny,Soalala,0.20057081926825,2023-02-06,02-06
275,2023-02-06 06:00:00,Boeny,Soalala,0.27533966439205,2023-02-06,02-06
385,2023-02-06 09:00:00,Boeny,Soalala,0.362660093142949,2023-02-06,02-06
495,2023-02-06 12:00:00,Boeny,Soalala,1.27075753263944,2023-02-06,02-06
605,2023-02-06 15:00:00,Boeny,Soalala,1.68557489788418,2023-02-06,02-06
715,2023-02-06 18:00:00,Boeny,Soalala,2.50931339188355,2023-02-06,02-06
825,2023-02-06 21:00:00,Boeny,Soalala,1.29003128607837,2023-02-06,02-06
935,2023-02-07 00:00:00,Boeny,Soalala,0.590504085538669,2023-02-07,02-07
1045,2023-02-07 03:00:00,Boeny,Soalala,1.21079040277527,2023-02-07,02-07
1155,2023-02-07 06:00:00,Boeny,Soalala,0.524919370730459,2023-02-07,02-07
1265,2023-02-07 09:00:00,Boeny,Soalala,2.07303630131173,2023-02-07,02-07
1375,2023-02-07 12:00:00,Boeny,Soalala,1.91515653762144,2023-02-07,02-07
1485,2023-02-07 15:00:00,Boeny,Soalala,0.177851407630442,2023-02-07,02-07
1595,2023-02-07 18:00:00,Boeny,Soalala,0.712187441969945,2023-02-07,02-07
1705,2023-02-07 21:00:00,Boeny,Soalala,0.653609573878384,2023-02-07,02-07
1815,2023-02-08 00:00:00,Boeny,Soalala,0.259571582450008,2023-02-08,02-08
1925,2023-02-08 03:00:00,Boeny,Soalala,0.0318916416918,2023-02-08,02-08
2035,2023-02-08 06:00:00,Boeny,Soalala,0.0419169148126457,2023-02-08,02-08
2145,2023-02-08 09:00:00,Boeny,Soalala,0.455475009842303,2023-02-08,02-08
2255,2023-02-08 12:00:00,Boeny,Soalala,2.97973249679944,2023-02-08,02-08
2365,2023-02-08 15:00:00,Boeny,Soalala,0.548439317385601,2023-02-08,02-08
2475,2023-02-08 18:00:00,Boeny,Soalala,2.55506255095588,2023-02-08,02-08
2585,2023-02-08 21:00:00,Boeny,Soalala,4.66332931709076,2023-02-08,02-08
2695,2023-02-09 00:00:00,Boeny,Soalala,0.705618076647625,2023-02-09,02-09
2805,2023-02-09 03:00:00,Boeny,Soalala,0.0856874678365784,2023-02-09,02-09
2915,2023-02-09 06:00:00,Boeny,Soalala,0.0689761759676912,2023-02-09,02-09
3025,2023-02-09 09:00:00,Boeny,Soalala,0.274244382835604,2023-02-09,02-09
3135,2023-02-09 12:00:00,Boeny,Soalala,3.08792753681791,2023-02-09,02-09
3245,2023-02-09 15:00:00,Boeny,Soalala,0.984189690339008,2023-02-09,02-09
3355,2023-02-09 18:00:00,Boeny,Soalala,3.77584412013948,2023-02-09,02-09
3465,2023-02-09 21:00:00,Boeny,Soalala,6.34368375601298,2023-02-09,02-09
3575,2023-02-10 00:00:00,Boeny,Soalala,2.00803464020464,2023-02-10,02-10
3685,2023-02-10 03:00:00,Boeny,Soalala,0.10619987517839,2023-02-10,02-10
3795,2023-02-10 06:00:00,Boeny,Soalala,0.037443987667757,2023-02-10,02-10
3905,2023-02-10 09:00:00,Boeny,Soalala,0.0282766158152299,2023-02-10,02-10
4015,2023-02-10 12:00:00,Boeny,Soalala,0.20679751951775,2023-02-10,02-10
4125,2023-02-10 15:00:00,Boeny,Soalala,0.197865980929237,2023-02-10,02-10
4235,2023-02-10 18:00:00,Boeny,Soalala,0.284438320805748,2023-02-10,02-10
4345,2023-02-10 21:00:00,Boeny,Soalala,0.639404277064386,2023-02-10,02-10
4455,2023-02-11 00:00:00,Boeny,Soalala,1.35321819169621,2023-02-11,02-11
4565,2023-02-11 03:00:00,Boeny,Soalala,0.233926969945969,2023-02-11,02-11
4675,2023-02-11 06:00:00,Boeny,Soalala,0.282493781784069,2023-02-11,02-11
4785,2023-02-11 09:00:00,Boeny,Soalala,1.10813102093471,2023-02-11,02-11
4895,2023-02-11 12:00:00,Boeny,Soalala,1.80458533911042,2023-02-11,02-11
5005,2023-02-11 15:00:00,Boeny,Soalala,0.15290983018258,2023-02-11,02-11
5115,2023-02-11 18:00:00,Boeny,Soalala,0.0058161326169283,2023-02-11,02-11
5225,2023-02-11 21:00:00,Boeny,Soalala,0.0379228233559843,2023-02-11,02-11
5335,2023-02-12 00:00:00,Boeny,Soalala,0.328002418264077,2023-02-12,02-12
5445,2023-02-12 03:00:00,Boeny,Soalala,0.137055996024174,2023-02-12,02-12
5555,2023-02-12 06:00:00,Boeny,Soalala,0.0851247406617404,2023-02-12,02-12
5665,2023-02-12 09:00:00,Boeny,Soalala,0.611120223101352,2023-02-12,02-12
5775,2023-02-12 12:00:00,Boeny,Soalala,0.528403519851054,2023-02-12,02-12
5885,2023-02-12 15:00:00,Boeny,Soalala,0.0244048350996309,2023-02-12,02-12
5995,2023-02-12 18:00:00,Boeny,Soalala,0.0046188794312911,2023-02-12,02-12
6105,2023-02-12 21:00:00,Boeny,Soalala,0.0149472519196934,2023-02-12,02-12
6215,2023-02-13 00:00:00,Boeny,Soalala,0.012134962800701,2023-02-13,02-13
6325,2023-02-13 03:00:00,Boeny,Soalala,4.59136026620399e-06,2023-02-13,02-13
6435,2023-02-13 06:00:00,Boeny,Soalala,0.0589554989373937,2023-02-13,02-13
6545,2023-02-13 09:00:00,Boeny,Soalala,0.0711781090603836,2023-02-13,02-13
6655,2023-02-13 12:00:00,Boeny,Soalala,0.215270982070251,2023-02-13,02-13
6765,2023-02-13 15:00:00,Boeny,Soalala,0.0751187009072964,2023-02-13,02-13
6875,2023-02-13 18:00:00,Boeny,Soalala,0.0463105343596908,2023-02-13,02-13
6985,2023-02-13 21:00:00,Boeny,Soalala,0.407747956857747,2023-02-13,02-13
7095,2023-02-14 00:00:00,Boeny,Soalala,0.448572802706622,2023-02-14,02-14
7205,2023-02-14 03:00:00,Boeny,Soalala,0.221413590691554,2023-02-14,02-14
7315,2023-02-14 06:00:00,Boeny,Soalala,0.224770005297614,2023-02-14,02-14
7425,2023-02-14 09:00:00,Boeny,Soalala,0.665345055719627,2023-02-14,02-14
7535,2023-02-14 12:00:00,Boeny,Soalala,1.5890703624591,2023-02-14,02-14
7645,2023-02-14 15:00:00,Boeny,Soalala,0.338586869261235,2023-02-14,02-14
7755,2023-02-14 18:00:00,Boeny,Soalala,0.0015456995042768,2023-02-14,02-14
7865,2023-02-14 21:00:00,Boeny,Soalala,0.0383899758744519,2023-02-14,02-14
7975,2023-02-15 00:00:00,Boeny,Soalala,0.150123689703833,2023-02-15,02-15
8085,2023-02-15 03:00:00,Boeny,Soalala,0.0402972086494628,2023-02-15,02-15
8195,2023-02-15 06:00:00,Boeny,Soalala,0.171526050000466,2023-02-15,02-15
8305,2023-02-15 09:00:00,Boeny,Soalala,0.99467448622363,2023-02-15,02-15
8415,2023-02-15 12:00:00,Boeny,Soalala,3.29863155807379,2023-02-15,02-15
8525,2023-02-15 15:00:00,Boeny,Soalala,4.40445855269718,2023-02-15,02-15
8635,2023-02-15 18:00:00,Boeny,Soalala,0.761762992086005,2023-02-15,02-15
8745,2023-02-15 21:00:00,Boeny,Soalala,0.527261597648248,2023-02-15,02-15
8855,2023-02-16 00:00:00,Boeny,Soalala,0.172734253636918,2023-02-16,02-16
8965,2023-02-16 03:00:00,Boeny,Soalala,0.13326992311886,2023-02-16,02-16
9075,2023-02-16 06:00:00,Boeny,Soalala,0.445005971714636,2023-02-16,02-16
9185,2023-02-16 09:00:00,Boeny,Soalala,1.8214476751773,2023-02-16,02-16
9295,2023-02-16 12:00:00,Boeny,Soalala,2.25274821108906,2023-02-16,02-16
9405,2023-02-16 15:00:00,Boeny,Soalala,0.584492698405484,2023-02-16,02-16
9515,2023-02-16 18:00:00,Boeny,Soalala,0.0987712235637446,2023-02-16,02-16
9625,2023-02-16 21:00:00,Boeny,Soalala,0.0305554118003784,2023-02-16,02-16
9735,2023-02-17 00:00:00,Boeny,Soalala,0.0438676588100861,2023-02-17,02-17
9845,2023-02-17 03:00:00,Boeny,Soalala,1.84701844797746,2023-02-17,02-17
9955,2023-02-17 06:00:00,Boeny,Soalala,2.05260637216088,2023-02-17,02-17
10065,2023-02-17 09:00:00,Boeny,Soalala,0.165202307195614,2023-02-17,02-17
10175,2023-02-17 12:00:00,Boeny,Soalala,0.417256174686372,2023-02-17,02-17
10285,2023-02-17 15:00:00,Boeny,Soalala,0.0866051887642243,2023-02-17,02-17
10395,2023-02-17 18:00:00,Boeny,Soalala,0.0012748108074447,2023-02-17,02-17
10505,2023-02-17 21:00:00,Boeny,Soalala,0.0013358836467887,2023-02-17,02-17
10615,2023-02-18 00:00:00,Boeny,Soalala,0.0066498964242782,2023-02-18,02-18
10725,2023-02-18 03:00:00,Boeny,Soalala,0.0059268371396683,2023-02-18,02-18
10835,2023-02-18 06:00:00,Boeny,Soalala,0.0586791995328895,2023-02-18,02-18
10945,2023-02-18 09:00:00,Boeny,Soalala,0.10236308097592,2023-02-18,02-18
11055,2023-02-18 12:00:00,Boeny,Soalala,0.574891501888487,2023-02-18,02-18
11165,2023-02-18 15:00:00,Boeny,Soalala,0.0123617658637158,2023-02-18,02-18
