,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
20,2023-02-06 00:00:00,Analanjirofo,Soanierana Ivongo,0.469467646094681,2023-02-06,02-06
130,2023-02-06 03:00:00,Analanjirofo,Soanierana Ivongo,0.569001971339694,2023-02-06,02-06
240,2023-02-06 06:00:00,Analanjirofo,Soanierana Ivongo,1.22712118902269,2023-02-06,02-06
350,2023-02-06 09:00:00,Analanjirofo,Soanierana Ivongo,2.08436727913795,2023-02-06,02-06
460,2023-02-06 12:00:00,Analanjirofo,Soanierana Ivongo,1.61720561591996,2023-02-06,02-06
570,2023-02-06 15:00:00,Analanjirofo,Soanierana Ivongo,2.01825137984171,2023-02-06,02-06
680,2023-02-06 18:00:00,Analanjirofo,Soanierana Ivongo,3.40861312092307,2023-02-06,02-06
790,2023-02-06 21:00:00,Analanjirofo,Soanierana Ivongo,1.24401190334214,2023-02-06,02-06
900,2023-02-07 00:00:00,Analanjirofo,Soanierana Ivongo,0.307643566299482,2023-02-07,02-07
1010,2023-02-07 03:00:00,Analanjirofo,Soanierana Ivongo,0.386059061026301,2023-02-07,02-07
1120,2023-02-07 06:00:00,Analanjirofo,Soanierana Ivongo,3.38266950830459,2023-02-07,02-07
1230,2023-02-07 09:00:00,Analanjirofo,Soanierana Ivongo,6.42072150349063,2023-02-07,02-07
1340,2023-02-07 12:00:00,Analanjirofo,Soanierana Ivongo,3.1102967545173,2023-02-07,02-07
1450,2023-02-07 15:00:00,Analanjirofo,Soanierana Ivongo,0.512237594094807,2023-02-07,02-07
1560,2023-02-07 18:00:00,Analanjirofo,Soanierana Ivongo,1.18250471694911,2023-02-07,02-07
1670,2023-02-07 21:00:00,Analanjirofo,Soanierana Ivongo,1.17688649154042,2023-02-07,02-07
1780,2023-02-08 00:00:00,Analanjirofo,Soanierana Ivongo,0.335706564066051,2023-02-08,02-08
1890,2023-02-08 03:00:00,Analanjirofo,Soanierana Ivongo,0.65388947301796,2023-02-08,02-08
2000,2023-02-08 06:00:00,Analanjirofo,Soanierana Ivongo,1.35463788334557,2023-02-08,02-08
2110,2023-02-08 09:00:00,Analanjirofo,Soanierana Ivongo,2.25289567016896,2023-02-08,02-08
2220,2023-02-08 12:00:00,Analanjirofo,Soanierana Ivongo,1.70760575302002,2023-02-08,02-08
2330,2023-02-08 15:00:00,Analanjirofo,Soanierana Ivongo,0.596221940245832,2023-02-08,02-08
2440,2023-02-08 18:00:00,Analanjirofo,Soanierana Ivongo,1.60609030586548,2023-02-08,02-08
2550,2023-02-08 21:00:00,Analanjirofo,Soanierana Ivongo,1.14939194025056,2023-02-08,02-08
2660,2023-02-09 00:00:00,Analanjirofo,Soanierana Ivongo,1.07337355049252,2023-02-09,02-09
2770,2023-02-09 03:00:00,Analanjirofo,Soanierana Ivongo,0.753510420116269,2023-02-09,02-09
2880,2023-02-09 06:00:00,Analanjirofo,Soanierana Ivongo,1.15436890248895,2023-02-09,02-09
2990,2023-02-09 09:00:00,Analanjirofo,Soanierana Ivongo,1.11863823625498,2023-02-09,02-09
3100,2023-02-09 12:00:00,Analanjirofo,Soanierana Ivongo,1.12767203469333,2023-02-09,02-09
3210,2023-02-09 15:00:00,Analanjirofo,Soanierana Ivongo,1.46098665547608,2023-02-09,02-09
3320,2023-02-09 18:00:00,Analanjirofo,Soanierana Ivongo,1.49112019082217,2023-02-09,02-09
3430,2023-02-09 21:00:00,Analanjirofo,Soanierana Ivongo,0.690837820016502,2023-02-09,02-09
3540,2023-02-10 00:00:00,Analanjirofo,Soanierana Ivongo,0.659974291532086,2023-02-10,02-10
3650,2023-02-10 03:00:00,Analanjirofo,Soanierana Ivongo,1.37617249986648,2023-02-10,02-10
3760,2023-02-10 06:00:00,Analanjirofo,Soanierana Ivongo,1.10616590424497,2023-02-10,02-10
3870,2023-02-10 09:00:00,Analanjirofo,Soanierana Ivongo,0.667366211060309,2023-02-10,02-10
3980,2023-02-10 12:00:00,Analanjirofo,Soanierana Ivongo,0.817474937234766,2023-02-10,02-10
4090,2023-02-10 15:00:00,Analanjirofo,Soanierana Ivongo,0.236334289498061,2023-02-10,02-10
4200,2023-02-10 18:00:00,Analanjirofo,Soanierana Ivongo,0.235469972960198,2023-02-10,02-10
4310,2023-02-10 21:00:00,Analanjirofo,Soanierana Ivongo,0.133816117175377,2023-02-10,02-10
4420,2023-02-11 00:00:00,Analanjirofo,Soanierana Ivongo,0.079555977916194,2023-02-11,02-11
4530,2023-02-11 03:00:00,Analanjirofo,Soanierana Ivongo,0.161951129497784,2023-02-11,02-11
4640,2023-02-11 06:00:00,Analanjirofo,Soanierana Ivongo,0.343608932050474,2023-02-11,02-11
4750,2023-02-11 09:00:00,Analanjirofo,Soanierana Ivongo,0.556346845482728,2023-02-11,02-11
4860,2023-02-11 12:00:00,Analanjirofo,Soanierana Ivongo,1.00338288514113,2023-02-11,02-11
4970,2023-02-11 15:00:00,Analanjirofo,Soanierana Ivongo,0.186168925835109,2023-02-11,02-11
5080,2023-02-11 18:00:00,Analanjirofo,Soanierana Ivongo,0.213323934071357,2023-02-11,02-11
5190,2023-02-11 21:00:00,Analanjirofo,Soanierana Ivongo,0.272558877699241,2023-02-11,02-11
5300,2023-02-12 00:00:00,Analanjirofo,Soanierana Ivongo,0.23019731417613,2023-02-12,02-12
5410,2023-02-12 03:00:00,Analanjirofo,Soanierana Ivongo,0.15862120173689,2023-02-12,02-12
5520,2023-02-12 06:00:00,Analanjirofo,Soanierana Ivongo,0.658929902067521,2023-02-12,02-12
5630,2023-02-12 09:00:00,Analanjirofo,Soanierana Ivongo,0.73289087388784,2023-02-12,02-12
5740,2023-02-12 12:00:00,Analanjirofo,Soanierana Ivongo,0.931483249513533,2023-02-12,02-12
5850,2023-02-12 15:00:00,Analanjirofo,Soanierana Ivongo,0.287515701867665,2023-02-12,02-12
5960,2023-02-12 18:00:00,Analanjirofo,Soanierana Ivongo,0.316768387769903,2023-02-12,02-12
6070,2023-02-12 21:00:00,Analanjirofo,Soanierana Ivongo,0.463540059564686,2023-02-12,02-12
6180,2023-02-13 00:00:00,Analanjirofo,Soanierana Ivongo,1.2974548219464,2023-02-13,02-13
6290,2023-02-13 03:00:00,Analanjirofo,Soanierana Ivongo,0.927571514139984,2023-02-13,02-13
6400,2023-02-13 06:00:00,Analanjirofo,Soanierana Ivongo,2.12476377478782,2023-02-13,02-13
6510,2023-02-13 09:00:00,Analanjirofo,Soanierana Ivongo,2.53477332861842,2023-02-13,02-13
6620,2023-02-13 12:00:00,Analanjirofo,Soanierana Ivongo,2.17442015013846,2023-02-13,02-13
6730,2023-02-13 15:00:00,Analanjirofo,Soanierana Ivongo,0.864918072797622,2023-02-13,02-13
6840,2023-02-13 18:00:00,Analanjirofo,Soanierana Ivongo,0.858183889129086,2023-02-13,02-13
6950,2023-02-13 21:00:00,Analanjirofo,Soanierana Ivongo,0.316264831912515,2023-02-13,02-13
7060,2023-02-14 00:00:00,Analanjirofo,Soanierana Ivongo,0.11423391567518,2023-02-14,02-14
7170,2023-02-14 03:00:00,Analanjirofo,Soanierana Ivongo,0.395321337205698,2023-02-14,02-14
7280,2023-02-14 06:00:00,Analanjirofo,Soanierana Ivongo,0.383700218454406,2023-02-14,02-14
7390,2023-02-14 09:00:00,Analanjirofo,Soanierana Ivongo,0.165568820010506,2023-02-14,02-14
7500,2023-02-14 12:00:00,Analanjirofo,Soanierana Ivongo,0.165152479907045,2023-02-14,02-14
7610,2023-02-14 15:00:00,Analanjirofo,Soanierana Ivongo,0.157193866287786,2023-02-14,02-14
7720,2023-02-14 18:00:00,Analanjirofo,Soanierana Ivongo,0.147844594749119,2023-02-14,02-14
7830,2023-02-14 21:00:00,Analanjirofo,Soanierana Ivongo,0.124215653200785,2023-02-14,02-14
7940,2023-02-15 00:00:00,Analanjirofo,Soanierana Ivongo,0.113191658848066,2023-02-15,02-15
8050,2023-02-15 03:00:00,Analanjirofo,Soanierana Ivongo,0.143123913641289,2023-02-15,02-15
8160,2023-02-15 06:00:00,Analanjirofo,Soanierana Ivongo,0.538121582476133,2023-02-15,02-15
8270,2023-02-15 09:00:00,Analanjirofo,Soanierana Ivongo,1.18746520748607,2023-02-15,02-15
8380,2023-02-15 12:00:00,Analanjirofo,Soanierana Ivongo,0.908612244598869,2023-02-15,02-15
8490,2023-02-15 15:00:00,Analanjirofo,Soanierana Ivongo,0.373186767678645,2023-02-15,02-15
8600,2023-02-15 18:00:00,Analanjirofo,Soanierana Ivongo,0.129333293660091,2023-02-15,02-15
8710,2023-02-15 21:00:00,Analanjirofo,Soanierana Ivongo,0.136106518127112,2023-02-15,02-15
8820,2023-02-16 00:00:00,Analanjirofo,Soanierana Ivongo,0.150482250031436,2023-02-16,02-16
8930,2023-02-16 03:00:00,Analanjirofo,Soanierana Ivongo,0.13447542550401,2023-02-16,02-16
9040,2023-02-16 06:00:00,Analanjirofo,Soanierana Ivongo,0.434681880825854,2023-02-16,02-16
9150,2023-02-16 09:00:00,Analanjirofo,Soanierana Ivongo,0.789146150128815,2023-02-16,02-16
9260,2023-02-16 12:00:00,Analanjirofo,Soanierana Ivongo,0.958835578322209,2023-02-16,02-16
9370,2023-02-16 15:00:00,Analanjirofo,Soanierana Ivongo,0.460286555358687,2023-02-16,02-16
9480,2023-02-16 18:00:00,Analanjirofo,Soanierana Ivongo,1.48913435128713,2023-02-16,02-16
9590,2023-02-16 21:00:00,Analanjirofo,Soanierana Ivongo,0.169631016912644,2023-02-16,02-16
9700,2023-02-17 00:00:00,Analanjirofo,Soanierana Ivongo,1.32811249098017,2023-02-17,02-17
9810,2023-02-17 03:00:00,Analanjirofo,Soanierana Ivongo,2.50565039854484,2023-02-17,02-17
9920,2023-02-17 06:00:00,Analanjirofo,Soanierana Ivongo,2.91180627669107,2023-02-17,02-17
