,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
75,2023-02-06 00:00:00,Itasy,Soavinandriana,1.63290515984066,2023-02-06,02-06
185,2023-02-06 03:00:00,Itasy,Soavinandriana,0.563383096692098,2023-02-06,02-06
295,2023-02-06 06:00:00,Itasy,Soavinandriana,0.285004565297105,2023-02-06,02-06
405,2023-02-06 09:00:00,Itasy,Soavinandriana,0.607990554441451,2023-02-06,02-06
515,2023-02-06 12:00:00,Itasy,Soavinandriana,3.49311440837268,2023-02-06,02-06
625,2023-02-06 15:00:00,Itasy,Soavinandriana,9.28541298887199,2023-02-06,02-06
735,2023-02-06 18:00:00,Itasy,Soavinandriana,4.70047786022085,2023-02-06,02-06
845,2023-02-06 21:00:00,Itasy,Soavinandriana,0.643946929992286,2023-02-06,02-06
955,2023-02-07 00:00:00,Itasy,Soavinandriana,0.33188804618754,2023-02-07,02-07
1065,2023-02-07 03:00:00,Itasy,Soavinandriana,0.310350534153472,2023-02-07,02-07
1175,2023-02-07 06:00:00,Itasy,Soavinandriana,0.0845306805910214,2023-02-07,02-07
1285,2023-02-07 09:00:00,Itasy,Soavinandriana,0.0683814805199611,2023-02-07,02-07
1395,2023-02-07 12:00:00,Itasy,Soavinandriana,0.24627215404625,2023-02-07,02-07
1505,2023-02-07 15:00:00,Itasy,Soavinandriana,0.204261548286441,2023-02-07,02-07
1615,2023-02-07 18:00:00,Itasy,Soavinandriana,0.601974796257256,2023-02-07,02-07
1725,2023-02-07 21:00:00,Itasy,Soavinandriana,0.176592706791673,2023-02-07,02-07
1835,2023-02-08 00:00:00,Itasy,Soavinandriana,0.0051329734611927,2023-02-08,02-08
1945,2023-02-08 03:00:00,Itasy,Soavinandriana,4.75568231195211e-06,2023-02-08,02-08
2055,2023-02-08 06:00:00,Itasy,Soavinandriana,0.0040597269304699,2023-02-08,02-08
2165,2023-02-08 09:00:00,Itasy,Soavinandriana,0.240863821924637,2023-02-08,02-08
2275,2023-02-08 12:00:00,Itasy,Soavinandriana,2.57319413926384,2023-02-08,02-08
2385,2023-02-08 15:00:00,Itasy,Soavinandriana,1.07391735794269,2023-02-08,02-08
2495,2023-02-08 18:00:00,Itasy,Soavinandriana,0.415245063137263,2023-02-08,02-08
2605,2023-02-08 21:00:00,Itasy,Soavinandriana,0.173686904733425,2023-02-08,02-08
2715,2023-02-09 00:00:00,Itasy,Soavinandriana,0.017386442180449,2023-02-09,02-09
2825,2023-02-09 03:00:00,Itasy,Soavinandriana,0.0010173482587561,2023-02-09,02-09
2935,2023-02-09 06:00:00,Itasy,Soavinandriana,0.003629826947444,2023-02-09,02-09
3045,2023-02-09 09:00:00,Itasy,Soavinandriana,0.0497018231818562,2023-02-09,02-09
3155,2023-02-09 12:00:00,Itasy,Soavinandriana,5.27138457326082,2023-02-09,02-09
3265,2023-02-09 15:00:00,Itasy,Soavinandriana,2.34507805024794,2023-02-09,02-09
3375,2023-02-09 18:00:00,Itasy,Soavinandriana,0.706793208818828,2023-02-09,02-09
3485,2023-02-09 21:00:00,Itasy,Soavinandriana,0.159019030370366,2023-02-09,02-09
3595,2023-02-10 00:00:00,Itasy,Soavinandriana,1.19280572845053,2023-02-10,02-10
3705,2023-02-10 03:00:00,Itasy,Soavinandriana,0.955280340379378,2023-02-10,02-10
3815,2023-02-10 06:00:00,Itasy,Soavinandriana,0.0307794836699031,2023-02-10,02-10
3925,2023-02-10 09:00:00,Itasy,Soavinandriana,0.0085999926326193,2023-02-10,02-10
4035,2023-02-10 12:00:00,Itasy,Soavinandriana,0.0677843679612338,2023-02-10,02-10
4145,2023-02-10 15:00:00,Itasy,Soavinandriana,0.162521762232406,2023-02-10,02-10
4255,2023-02-10 18:00:00,Itasy,Soavinandriana,0.0334918329197749,2023-02-10,02-10
4365,2023-02-10 21:00:00,Itasy,Soavinandriana,0.0312931302743142,2023-02-10,02-10
4475,2023-02-11 00:00:00,Itasy,Soavinandriana,5.73283143560676e-06,2023-02-11,02-11
4585,2023-02-11 03:00:00,Itasy,Soavinandriana,0.0019553087836624,2023-02-11,02-11
4695,2023-02-11 06:00:00,Itasy,Soavinandriana,0.0427641498630264,2023-02-11,02-11
4805,2023-02-11 09:00:00,Itasy,Soavinandriana,0.0085161829723373,2023-02-11,02-11
4915,2023-02-11 12:00:00,Itasy,Soavinandriana,0.100500103983316,2023-02-11,02-11
5025,2023-02-11 15:00:00,Itasy,Soavinandriana,0.310454783218173,2023-02-11,02-11
5135,2023-02-11 18:00:00,Itasy,Soavinandriana,1.07081374412005,2023-02-11,02-11
5245,2023-02-11 21:00:00,Itasy,Soavinandriana,0.0635619800236514,2023-02-11,02-11
5355,2023-02-12 00:00:00,Itasy,Soavinandriana,0.0002647743060472,2023-02-12,02-12
5465,2023-02-12 03:00:00,Itasy,Soavinandriana,4.47234111454557e-06,2023-02-12,02-12
5575,2023-02-12 06:00:00,Itasy,Soavinandriana,0.0194625030853786,2023-02-12,02-12
5685,2023-02-12 09:00:00,Itasy,Soavinandriana,0.0004640449256197,2023-02-12,02-12
5795,2023-02-12 12:00:00,Itasy,Soavinandriana,0.012421290294322,2023-02-12,02-12
5905,2023-02-12 15:00:00,Itasy,Soavinandriana,0.226422416046262,2023-02-12,02-12
6015,2023-02-12 18:00:00,Itasy,Soavinandriana,0.272102903834928,2023-02-12,02-12
6125,2023-02-12 21:00:00,Itasy,Soavinandriana,0.0091373796800754,2023-02-12,02-12
6235,2023-02-13 00:00:00,Itasy,Soavinandriana,8.20479711846394e-05,2023-02-13,02-13
6345,2023-02-13 03:00:00,Itasy,Soavinandriana,0.0002287266885533,2023-02-13,02-13
6455,2023-02-13 06:00:00,Itasy,Soavinandriana,0.031495331094929,2023-02-13,02-13
6565,2023-02-13 09:00:00,Itasy,Soavinandriana,0.016389840251684,2023-02-13,02-13
6675,2023-02-13 12:00:00,Itasy,Soavinandriana,0.0077152041040415,2023-02-13,02-13
6785,2023-02-13 15:00:00,Itasy,Soavinandriana,0.0798051014152246,2023-02-13,02-13
6895,2023-02-13 18:00:00,Itasy,Soavinandriana,1.37043755256009,2023-02-13,02-13
7005,2023-02-13 21:00:00,Itasy,Soavinandriana,0.400499058346374,2023-02-13,02-13
7115,2023-02-14 00:00:00,Itasy,Soavinandriana,0.0307667052017196,2023-02-14,02-14
7225,2023-02-14 03:00:00,Itasy,Soavinandriana,0.0018530361326959,2023-02-14,02-14
7335,2023-02-14 06:00:00,Itasy,Soavinandriana,0.0130740901188213,2023-02-14,02-14
7445,2023-02-14 09:00:00,Itasy,Soavinandriana,0.0278087178252035,2023-02-14,02-14
7555,2023-02-14 12:00:00,Itasy,Soavinandriana,1.01347496359171,2023-02-14,02-14
7665,2023-02-14 15:00:00,Itasy,Soavinandriana,4.28994271010229,2023-02-14,02-14
7775,2023-02-14 18:00:00,Itasy,Soavinandriana,0.182259264723946,2023-02-14,02-14
