,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
27,2023-02-06 00:00:00,Anosy,Taolagnaro,0.756811107258292,2023-02-06,02-06
137,2023-02-06 03:00:00,Anosy,Taolagnaro,0.419013742262589,2023-02-06,02-06
247,2023-02-06 06:00:00,Anosy,Taolagnaro,1.25672675558978,2023-02-06,02-06
357,2023-02-06 09:00:00,Anosy,Taolagnaro,2.04345369664573,2023-02-06,02-06
467,2023-02-06 12:00:00,Anosy,Taolagnaro,6.6131366904086,2023-02-06,02-06
577,2023-02-06 15:00:00,Anosy,Taolagnaro,7.40447942060216,2023-02-06,02-06
687,2023-02-06 18:00:00,Anosy,Taolagnaro,1.51627469306645,2023-02-06,02-06
797,2023-02-06 21:00:00,Anosy,Taolagnaro,0.59512898663398,2023-02-06,02-06
907,2023-02-07 00:00:00,Anosy,Taolagnaro,0.727760085731026,2023-02-07,02-07
1017,2023-02-07 03:00:00,Anosy,Taolagnaro,0.858660123400825,2023-02-07,02-07
1127,2023-02-07 06:00:00,Anosy,Taolagnaro,0.682019286285377,2023-02-07,02-07
1237,2023-02-07 09:00:00,Anosy,Taolagnaro,0.565632964392021,2023-02-07,02-07
1347,2023-02-07 12:00:00,Anosy,Taolagnaro,0.28213583206272,2023-02-07,02-07
1457,2023-02-07 15:00:00,Anosy,Taolagnaro,0.0452828658099347,2023-02-07,02-07
1567,2023-02-07 18:00:00,Anosy,Taolagnaro,0.251915415660377,2023-02-07,02-07
1677,2023-02-07 21:00:00,Anosy,Taolagnaro,0.400281691313823,2023-02-07,02-07
1787,2023-02-08 00:00:00,Anosy,Taolagnaro,0.603250717661981,2023-02-08,02-08
1897,2023-02-08 03:00:00,Anosy,Taolagnaro,0.202972163271625,2023-02-08,02-08
2007,2023-02-08 06:00:00,Anosy,Taolagnaro,0.173298074143848,2023-02-08,02-08
2117,2023-02-08 09:00:00,Anosy,Taolagnaro,0.660186949984484,2023-02-08,02-08
2227,2023-02-08 12:00:00,Anosy,Taolagnaro,2.04378709610066,2023-02-08,02-08
2337,2023-02-08 15:00:00,Anosy,Taolagnaro,2.08373949594122,2023-02-08,02-08
2447,2023-02-08 18:00:00,Anosy,Taolagnaro,1.48380045785376,2023-02-08,02-08
2557,2023-02-08 21:00:00,Anosy,Taolagnaro,1.22478207645168,2023-02-08,02-08
2667,2023-02-09 00:00:00,Anosy,Taolagnaro,0.673834275346725,2023-02-09,02-09
2777,2023-02-09 03:00:00,Anosy,Taolagnaro,0.433147504287974,2023-02-09,02-09
2887,2023-02-09 06:00:00,Anosy,Taolagnaro,0.149313135624296,2023-02-09,02-09
2997,2023-02-09 09:00:00,Anosy,Taolagnaro,0.084168915091457,2023-02-09,02-09
3107,2023-02-09 12:00:00,Anosy,Taolagnaro,0.344861359770774,2023-02-09,02-09
3217,2023-02-09 15:00:00,Anosy,Taolagnaro,0.0646814311533134,2023-02-09,02-09
3327,2023-02-09 18:00:00,Anosy,Taolagnaro,0.0753980002570999,2023-02-09,02-09
3437,2023-02-09 21:00:00,Anosy,Taolagnaro,0.0343814775760225,2023-02-09,02-09
3547,2023-02-10 00:00:00,Anosy,Taolagnaro,0.0204252727144985,2023-02-10,02-10
3657,2023-02-10 03:00:00,Anosy,Taolagnaro,0.0008454786983075,2023-02-10,02-10
3767,2023-02-10 06:00:00,Anosy,Taolagnaro,0.000161863019457,2023-02-10,02-10
3877,2023-02-10 09:00:00,Anosy,Taolagnaro,0.002287171846863,2023-02-10,02-10
3987,2023-02-10 12:00:00,Anosy,Taolagnaro,0.0223913663838808,2023-02-10,02-10
4097,2023-02-10 15:00:00,Anosy,Taolagnaro,0.0089351621307129,2023-02-10,02-10
4207,2023-02-10 18:00:00,Anosy,Taolagnaro,0.0001615327593121,2023-02-10,02-10
4317,2023-02-10 21:00:00,Anosy,Taolagnaro,0.0001136898177007,2023-02-10,02-10
4427,2023-02-11 00:00:00,Anosy,Taolagnaro,2.84006490129168e-05,2023-02-11,02-11
4537,2023-02-11 03:00:00,Anosy,Taolagnaro,4.42753535816851e-06,2023-02-11,02-11
4647,2023-02-11 06:00:00,Anosy,Taolagnaro,0.0003198951447342,2023-02-11,02-11
4757,2023-02-11 09:00:00,Anosy,Taolagnaro,0.0215070169335535,2023-02-11,02-11
4867,2023-02-11 12:00:00,Anosy,Taolagnaro,0.17070631625804,2023-02-11,02-11
4977,2023-02-11 15:00:00,Anosy,Taolagnaro,0.0483826774390131,2023-02-11,02-11
5087,2023-02-11 18:00:00,Anosy,Taolagnaro,0.0165070937604785,2023-02-11,02-11
5197,2023-02-11 21:00:00,Anosy,Taolagnaro,0.0056243506032447,2023-02-11,02-11
5307,2023-02-12 00:00:00,Anosy,Taolagnaro,0.0003754879656733,2023-02-12,02-12
5417,2023-02-12 03:00:00,Anosy,Taolagnaro,0.0003848973580676,2023-02-12,02-12
5527,2023-02-12 06:00:00,Anosy,Taolagnaro,0.0007553346816997,2023-02-12,02-12
5637,2023-02-12 09:00:00,Anosy,Taolagnaro,0.0484101320528324,2023-02-12,02-12
5747,2023-02-12 12:00:00,Anosy,Taolagnaro,0.0850775418284288,2023-02-12,02-12
5857,2023-02-12 15:00:00,Anosy,Taolagnaro,0.0696348523399691,2023-02-12,02-12
5967,2023-02-12 18:00:00,Anosy,Taolagnaro,0.106914875067204,2023-02-12,02-12
6077,2023-02-12 21:00:00,Anosy,Taolagnaro,0.0430228736064316,2023-02-12,02-12
6187,2023-02-13 00:00:00,Anosy,Taolagnaro,0.0257799989915878,2023-02-13,02-13
6297,2023-02-13 03:00:00,Anosy,Taolagnaro,0.0109009546539038,2023-02-13,02-13
6407,2023-02-13 06:00:00,Anosy,Taolagnaro,0.0242471035162453,2023-02-13,02-13
6517,2023-02-13 09:00:00,Anosy,Taolagnaro,0.0605766176721891,2023-02-13,02-13
6627,2023-02-13 12:00:00,Anosy,Taolagnaro,0.0694383594673127,2023-02-13,02-13
6737,2023-02-13 15:00:00,Anosy,Taolagnaro,0.0393423390936653,2023-02-13,02-13
6847,2023-02-13 18:00:00,Anosy,Taolagnaro,0.0073215895137526,2023-02-13,02-13
6957,2023-02-13 21:00:00,Anosy,Taolagnaro,0.0033886974029566,2023-02-13,02-13
7067,2023-02-14 00:00:00,Anosy,Taolagnaro,0.0052964714540512,2023-02-14,02-14
7177,2023-02-14 03:00:00,Anosy,Taolagnaro,0.0003891931593661,2023-02-14,02-14
7287,2023-02-14 06:00:00,Anosy,Taolagnaro,0.0090117723941701,2023-02-14,02-14
7397,2023-02-14 09:00:00,Anosy,Taolagnaro,0.0674158971118943,2023-02-14,02-14
7507,2023-02-14 12:00:00,Anosy,Taolagnaro,0.146853900079251,2023-02-14,02-14
7617,2023-02-14 15:00:00,Anosy,Taolagnaro,0.037859508217282,2023-02-14,02-14
7727,2023-02-14 18:00:00,Anosy,Taolagnaro,0.015884139070176,2023-02-14,02-14
7837,2023-02-14 21:00:00,Anosy,Taolagnaro,0.0555175606556156,2023-02-14,02-14
7947,2023-02-15 00:00:00,Anosy,Taolagnaro,0.0098991258811387,2023-02-15,02-15
8057,2023-02-15 03:00:00,Anosy,Taolagnaro,0.000900524772157,2023-02-15,02-15
8167,2023-02-15 06:00:00,Anosy,Taolagnaro,0.0028862425255204,2023-02-15,02-15
8277,2023-02-15 09:00:00,Anosy,Taolagnaro,0.0448767203703503,2023-02-15,02-15
8387,2023-02-15 12:00:00,Anosy,Taolagnaro,0.0764851109896604,2023-02-15,02-15
8497,2023-02-15 15:00:00,Anosy,Taolagnaro,0.0385146929361129,2023-02-15,02-15
8607,2023-02-15 18:00:00,Anosy,Taolagnaro,0.0420100900063635,2023-02-15,02-15
8717,2023-02-15 21:00:00,Anosy,Taolagnaro,0.0206764415880847,2023-02-15,02-15
8827,2023-02-16 00:00:00,Anosy,Taolagnaro,0.011945919131192,2023-02-16,02-16
8937,2023-02-16 03:00:00,Anosy,Taolagnaro,0.0093840408359107,2023-02-16,02-16
9047,2023-02-16 06:00:00,Anosy,Taolagnaro,0.028214249422055,2023-02-16,02-16
9157,2023-02-16 09:00:00,Anosy,Taolagnaro,0.250887544241066,2023-02-16,02-16
9267,2023-02-16 12:00:00,Anosy,Taolagnaro,0.657772656511161,2023-02-16,02-16
9377,2023-02-16 15:00:00,Anosy,Taolagnaro,0.62464026037639,2023-02-16,02-16
9487,2023-02-16 18:00:00,Anosy,Taolagnaro,0.382424570668145,2023-02-16,02-16
9597,2023-02-16 21:00:00,Anosy,Taolagnaro,0.0070931002808957,2023-02-16,02-16
9707,2023-02-17 00:00:00,Anosy,Taolagnaro,0.008740194564503,2023-02-17,02-17
9817,2023-02-17 03:00:00,Anosy,Taolagnaro,0.0074389856030314,2023-02-17,02-17
9927,2023-02-17 06:00:00,Anosy,Taolagnaro,0.048913927632384,2023-02-17,02-17
10037,2023-02-17 09:00:00,Anosy,Taolagnaro,2.00290838629767,2023-02-17,02-17
10147,2023-02-17 12:00:00,Anosy,Taolagnaro,2.72165358669261,2023-02-17,02-17
10257,2023-02-17 15:00:00,Anosy,Taolagnaro,1.60535875750635,2023-02-17,02-17
10367,2023-02-17 18:00:00,Anosy,Taolagnaro,0.385162900104542,2023-02-17,02-17
10477,2023-02-17 21:00:00,Anosy,Taolagnaro,0.0807170176944372,2023-02-17,02-17
10587,2023-02-18 00:00:00,Anosy,Taolagnaro,0.0043837612105088,2023-02-18,02-18
10697,2023-02-18 03:00:00,Anosy,Taolagnaro,0.0008028150515873,2023-02-18,02-18
10807,2023-02-18 06:00:00,Anosy,Taolagnaro,0.0743029673581275,2023-02-18,02-18
10917,2023-02-18 09:00:00,Anosy,Taolagnaro,2.18883463385788,2023-02-18,02-18
11027,2023-02-18 12:00:00,Anosy,Taolagnaro,5.35367750117565,2023-02-18,02-18
11137,2023-02-18 15:00:00,Anosy,Taolagnaro,5.48978477207762,2023-02-18,02-18
11247,2023-02-18 18:00:00,Anosy,Taolagnaro,2.48950588508793,2023-02-18,02-18
11357,2023-02-18 21:00:00,Anosy,Taolagnaro,1.15118812798629,2023-02-18,02-18
11467,2023-02-19 00:00:00,Anosy,Taolagnaro,0.197656175278573,2023-02-19,02-19
11577,2023-02-19 03:00:00,Anosy,Taolagnaro,0.000312840707762,2023-02-19,02-19
11687,2023-02-19 06:00:00,Anosy,Taolagnaro,0.0436994021191545,2023-02-19,02-19
11797,2023-02-19 09:00:00,Anosy,Taolagnaro,1.22750932920051,2023-02-19,02-19
11907,2023-02-19 12:00:00,Anosy,Taolagnaro,1.38738768820211,2023-02-19,02-19
12017,2023-02-19 15:00:00,Anosy,Taolagnaro,0.94388244686137,2023-02-19,02-19
12127,2023-02-19 18:00:00,Anosy,Taolagnaro,0.0887402465374654,2023-02-19,02-19
12237,2023-02-19 21:00:00,Anosy,Taolagnaro,0.0021177819542809,2023-02-19,02-19
12347,2023-02-20 00:00:00,Anosy,Taolagnaro,0.0002732721294033,2023-02-20,02-20
12457,2023-02-20 03:00:00,Anosy,Taolagnaro,0.000146482404291,2023-02-20,02-20
12567,2023-02-20 06:00:00,Anosy,Taolagnaro,5.89595393925581e-06,2023-02-20,02-20
12677,2023-02-20 09:00:00,Anosy,Taolagnaro,4.98692742953806e-06,2023-02-20,02-20
12787,2023-02-20 12:00:00,Anosy,Taolagnaro,5.03139934785988e-06,2023-02-20,02-20
12897,2023-02-20 15:00:00,Anosy,Taolagnaro,0.0048127332651663,2023-02-20,02-20
13007,2023-02-20 18:00:00,Anosy,Taolagnaro,0.0065871764369228,2023-02-20,02-20
13117,2023-02-20 21:00:00,Anosy,Taolagnaro,0.0008519400675457,2023-02-20,02-20
13227,2023-02-21 00:00:00,Anosy,Taolagnaro,0.0027158375381512,2023-02-21,02-21
13337,2023-02-21 03:00:00,Anosy,Taolagnaro,0.0006151669721989,2023-02-21,02-21
13447,2023-02-21 06:00:00,Anosy,Taolagnaro,0.0005906549036887,2023-02-21,02-21
13557,2023-02-21 09:00:00,Anosy,Taolagnaro,0.0034191632699018,2023-02-21,02-21
13667,2023-02-21 12:00:00,Anosy,Taolagnaro,0.0201156537830526,2023-02-21,02-21
13777,2023-02-21 15:00:00,Anosy,Taolagnaro,0.0132842030560942,2023-02-21,02-21
13887,2023-02-21 18:00:00,Anosy,Taolagnaro,0.0606657425182082,2023-02-21,02-21
13997,2023-02-21 21:00:00,Anosy,Taolagnaro,0.655958013825432,2023-02-21,02-21
14107,2023-02-22 00:00:00,Anosy,Taolagnaro,1.37601311399181,2023-02-22,02-22
14217,2023-02-22 03:00:00,Anosy,Taolagnaro,1.22629084057078,2023-02-22,02-22
14327,2023-02-22 06:00:00,Anosy,Taolagnaro,0.941363331565694,2023-02-22,02-22
14437,2023-02-22 09:00:00,Anosy,Taolagnaro,0.366977649700382,2023-02-22,02-22
14547,2023-02-22 12:00:00,Anosy,Taolagnaro,0.130118949169232,2023-02-22,02-22
14657,2023-02-22 15:00:00,Anosy,Taolagnaro,0.147811296811003,2023-02-22,02-22
14767,2023-02-22 18:00:00,Anosy,Taolagnaro,0.133053796241849,2023-02-22,02-22
14877,2023-02-22 21:00:00,Anosy,Taolagnaro,0.356326902215622,2023-02-22,02-22
14987,2023-02-23 00:00:00,Anosy,Taolagnaro,0.277201150266869,2023-02-23,02-23
15097,2023-02-23 03:00:00,Anosy,Taolagnaro,0.281868671749101,2023-02-23,02-23
15207,2023-02-23 06:00:00,Anosy,Taolagnaro,0.127620695635889,2023-02-23,02-23
15317,2023-02-23 09:00:00,Anosy,Taolagnaro,0.329449583826911,2023-02-23,02-23
15427,2023-02-23 12:00:00,Anosy,Taolagnaro,0.321332356786234,2023-02-23,02-23
15537,2023-02-23 15:00:00,Anosy,Taolagnaro,0.0229379008498812,2023-02-23,02-23
15647,2023-02-23 18:00:00,Anosy,Taolagnaro,0.0067015238392227,2023-02-23,02-23
15757,2023-02-23 21:00:00,Anosy,Taolagnaro,0.0093832460280163,2023-02-23,02-23
15867,2023-02-24 00:00:00,Anosy,Taolagnaro,4.51149231673259e-06,2023-02-24,02-24
15977,2023-02-24 03:00:00,Anosy,Taolagnaro,0.0007425637146377,2023-02-24,02-24
16087,2023-02-24 06:00:00,Anosy,Taolagnaro,5.46931835782269e-06,2023-02-24,02-24
16197,2023-02-24 09:00:00,Anosy,Taolagnaro,4.39858463916766e-06,2023-02-24,02-24
16307,2023-02-24 12:00:00,Anosy,Taolagnaro,0.007844641478226,2023-02-24,02-24
16417,2023-02-24 15:00:00,Anosy,Taolagnaro,0.011126094783717,2023-02-24,02-24
16527,2023-02-24 18:00:00,Anosy,Taolagnaro,0.0179872318403795,2023-02-24,02-24
16637,2023-02-24 21:00:00,Anosy,Taolagnaro,0.0110305791148794,2023-02-24,02-24
16747,2023-02-25 00:00:00,Anosy,Taolagnaro,0.0055317503271077,2023-02-25,02-25
16857,2023-02-25 03:00:00,Anosy,Taolagnaro,5.65525766907503e-06,2023-02-25,02-25
16967,2023-02-25 06:00:00,Anosy,Taolagnaro,4.96540451422334e-06,2023-02-25,02-25
17077,2023-02-25 09:00:00,Anosy,Taolagnaro,0.023069393097261,2023-02-25,02-25
17187,2023-02-25 12:00:00,Anosy,Taolagnaro,0.0027790586451453,2023-02-25,02-25
17297,2023-02-25 15:00:00,Anosy,Taolagnaro,0.0067697644180557,2023-02-25,02-25
17407,2023-02-25 18:00:00,Anosy,Taolagnaro,0.0059328858712789,2023-02-25,02-25
17517,2023-02-25 21:00:00,Anosy,Taolagnaro,0.0018012525359391,2023-02-25,02-25
17627,2023-02-26 00:00:00,Anosy,Taolagnaro,0.0006780372970514,2023-02-26,02-26
17737,2023-02-26 03:00:00,Anosy,Taolagnaro,9.8380638519302e-05,2023-02-26,02-26
17847,2023-02-26 06:00:00,Anosy,Taolagnaro,5.3222984601946e-06,2023-02-26,02-26
17957,2023-02-26 09:00:00,Anosy,Taolagnaro,0.0006347864501826,2023-02-26,02-26
18067,2023-02-26 12:00:00,Anosy,Taolagnaro,0.0100234095272912,2023-02-26,02-26
18177,2023-02-26 15:00:00,Anosy,Taolagnaro,0.0267842869494495,2023-02-26,02-26
18287,2023-02-26 18:00:00,Anosy,Taolagnaro,0.0222503008528451,2023-02-26,02-26
18397,2023-02-26 21:00:00,Anosy,Taolagnaro,0.146959636332568,2023-02-26,02-26
18507,2023-02-27 00:00:00,Anosy,Taolagnaro,0.0030309304002793,2023-02-27,02-27
18617,2023-02-27 03:00:00,Anosy,Taolagnaro,2.8396043015401e-05,2023-02-27,02-27
18727,2023-02-27 06:00:00,Anosy,Taolagnaro,0.0020128980939499,2023-02-27,02-27
18837,2023-02-27 09:00:00,Anosy,Taolagnaro,0.0398646225626378,2023-02-27,02-27
18947,2023-02-27 12:00:00,Anosy,Taolagnaro,0.0612985487298473,2023-02-27,02-27
19057,2023-02-27 15:00:00,Anosy,Taolagnaro,0.07372492213693,2023-02-27,02-27
19167,2023-02-27 18:00:00,Anosy,Taolagnaro,0.0178690166212618,2023-02-27,02-27
19277,2023-02-27 21:00:00,Anosy,Taolagnaro,0.0338300429866649,2023-02-27,02-27
19387,2023-02-28 00:00:00,Anosy,Taolagnaro,0.0107634470357722,2023-02-28,02-28
19497,2023-02-28 03:00:00,Anosy,Taolagnaro,0.0011675724830559,2023-02-28,02-28
19607,2023-02-28 06:00:00,Anosy,Taolagnaro,0.0142204063316888,2023-02-28,02-28
19717,2023-02-28 09:00:00,Anosy,Taolagnaro,0.0620163644894289,2023-02-28,02-28
19827,2023-02-28 12:00:00,Anosy,Taolagnaro,0.0335717944367586,2023-02-28,02-28
19937,2023-02-28 15:00:00,Anosy,Taolagnaro,0.0438269696238896,2023-02-28,02-28
20047,2023-02-28 18:00:00,Anosy,Taolagnaro,0.0130656904303064,2023-02-28,02-28
20157,2023-02-28 21:00:00,Anosy,Taolagnaro,9.10364691188316e-05,2023-02-28,02-28
20267,2023-03-01 00:00:00,Anosy,Taolagnaro,3.11681942548603e-05,2023-03-01,03-01
20377,2023-03-01 03:00:00,Anosy,Taolagnaro,4.65226754465181e-06,2023-03-01,03-01
20487,2023-03-01 06:00:00,Anosy,Taolagnaro,2.18076191073203e-05,2023-03-01,03-01
20597,2023-03-01 09:00:00,Anosy,Taolagnaro,0.0124637161118343,2023-03-01,03-01
20707,2023-03-01 12:00:00,Anosy,Taolagnaro,1.41323458225436,2023-03-01,03-01
20817,2023-03-01 15:00:00,Anosy,Taolagnaro,6.67846743681635,2023-03-01,03-01
20927,2023-03-01 18:00:00,Anosy,Taolagnaro,3.07602460676571,2023-03-01,03-01
21037,2023-03-01 21:00:00,Anosy,Taolagnaro,0.489231216322641,2023-03-01,03-01
21147,2023-03-02 00:00:00,Anosy,Taolagnaro,0.0643589473797676,2023-03-02,03-02
21257,2023-03-02 03:00:00,Anosy,Taolagnaro,0.0105786557073968,2023-03-02,03-02
21367,2023-03-02 06:00:00,Anosy,Taolagnaro,0.0410636592334966,2023-03-02,03-02
21477,2023-03-02 09:00:00,Anosy,Taolagnaro,1.1347639448017,2023-03-02,03-02
21587,2023-03-02 12:00:00,Anosy,Taolagnaro,2.46152629862595,2023-03-02,03-02
21697,2023-03-02 15:00:00,Anosy,Taolagnaro,2.42833366822932,2023-03-02,03-02
21807,2023-03-02 18:00:00,Anosy,Taolagnaro,1.83613146095329,2023-03-02,03-02
21917,2023-03-02 21:00:00,Anosy,Taolagnaro,0.844322857009146,2023-03-02,03-02
22027,2023-03-03 00:00:00,Anosy,Taolagnaro,0.377226764237528,2023-03-03,03-03
22137,2023-03-03 03:00:00,Anosy,Taolagnaro,0.494023045285797,2023-03-03,03-03
22247,2023-03-03 06:00:00,Anosy,Taolagnaro,0.461818495051652,2023-03-03,03-03
22357,2023-03-03 09:00:00,Anosy,Taolagnaro,2.66105937524243,2023-03-03,03-03
22467,2023-03-03 12:00:00,Anosy,Taolagnaro,2.8797308049638,2023-03-03,03-03
22577,2023-03-03 15:00:00,Anosy,Taolagnaro,2.97891537133103,2023-03-03,03-03
22687,2023-03-03 18:00:00,Anosy,Taolagnaro,2.46854150120381,2023-03-03,03-03
22797,2023-03-03 21:00:00,Anosy,Taolagnaro,1.9028080441121,2023-03-03,03-03
22907,2023-03-04 00:00:00,Anosy,Taolagnaro,0.704042926068802,2023-03-04,03-04
23017,2023-03-04 03:00:00,Anosy,Taolagnaro,2.16538149149425,2023-03-04,03-04
23127,2023-03-04 06:00:00,Anosy,Taolagnaro,2.86354164862195,2023-03-04,03-04
23237,2023-03-04 09:00:00,Anosy,Taolagnaro,4.21604319935305,2023-03-04,03-04
23347,2023-03-04 12:00:00,Anosy,Taolagnaro,2.61305801411104,2023-03-04,03-04
23457,2023-03-04 15:00:00,Anosy,Taolagnaro,2.39533870319998,2023-03-04,03-04
23567,2023-03-04 18:00:00,Anosy,Taolagnaro,4.22596377964921,2023-03-04,03-04
23677,2023-03-04 21:00:00,Anosy,Taolagnaro,3.16339407664086,2023-03-04,03-04
23787,2023-03-05 00:00:00,Anosy,Taolagnaro,1.67683114948348,2023-03-05,03-05
23897,2023-03-05 03:00:00,Anosy,Taolagnaro,1.43248562319154,2023-03-05,03-05
24007,2023-03-05 06:00:00,Anosy,Taolagnaro,2.6760713054758,2023-03-05,03-05
24117,2023-03-05 09:00:00,Anosy,Taolagnaro,4.03619289948635,2023-03-05,03-05
24227,2023-03-05 12:00:00,Anosy,Taolagnaro,3.22227498550226,2023-03-05,03-05
24337,2023-03-05 15:00:00,Anosy,Taolagnaro,3.90621890660639,2023-03-05,03-05
24447,2023-03-05 18:00:00,Anosy,Taolagnaro,3.13733378720201,2023-03-05,03-05
