,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
46,2023-02-06 00:00:00,Atsinanana,Toamasina II,3.1293500599495,2023-02-06,02-06
156,2023-02-06 03:00:00,Atsinanana,Toamasina II,0.832363434511353,2023-02-06,02-06
266,2023-02-06 06:00:00,Atsinanana,Toamasina II,1.37867541352171,2023-02-06,02-06
376,2023-02-06 09:00:00,Atsinanana,Toamasina II,2.97721473062556,2023-02-06,02-06
486,2023-02-06 12:00:00,Atsinanana,Toamasina II,2.56230223790917,2023-02-06,02-06
596,2023-02-06 15:00:00,Atsinanana,Toamasina II,6.68073210497387,2023-02-06,02-06
706,2023-02-06 18:00:00,Atsinanana,Toamasina II,7.8308205617519,2023-02-06,02-06
816,2023-02-06 21:00:00,Atsinanana,Toamasina II,2.06849955991784,2023-02-06,02-06
926,2023-02-07 00:00:00,Atsinanana,Toamasina II,0.569772065852885,2023-02-07,02-07
1036,2023-02-07 03:00:00,Atsinanana,Toamasina II,0.563393722516776,2023-02-07,02-07
1146,2023-02-07 06:00:00,Atsinanana,Toamasina II,1.88105365751981,2023-02-07,02-07
1256,2023-02-07 09:00:00,Atsinanana,Toamasina II,2.06572705967119,2023-02-07,02-07
1366,2023-02-07 12:00:00,Atsinanana,Toamasina II,1.69715956387663,2023-02-07,02-07
1476,2023-02-07 15:00:00,Atsinanana,Toamasina II,2.23212433833833,2023-02-07,02-07
1586,2023-02-07 18:00:00,Atsinanana,Toamasina II,1.22349246923259,2023-02-07,02-07
1696,2023-02-07 21:00:00,Atsinanana,Toamasina II,1.0998523709568,2023-02-07,02-07
1806,2023-02-08 00:00:00,Atsinanana,Toamasina II,0.633017073321389,2023-02-08,02-08
1916,2023-02-08 03:00:00,Atsinanana,Toamasina II,0.65445522700029,2023-02-08,02-08
2026,2023-02-08 06:00:00,Atsinanana,Toamasina II,1.70506143092207,2023-02-08,02-08
2136,2023-02-08 09:00:00,Atsinanana,Toamasina II,2.918840196768,2023-02-08,02-08
2246,2023-02-08 12:00:00,Atsinanana,Toamasina II,2.68093055735517,2023-02-08,02-08
2356,2023-02-08 15:00:00,Atsinanana,Toamasina II,1.03348189852259,2023-02-08,02-08
2466,2023-02-08 18:00:00,Atsinanana,Toamasina II,1.75497953263985,2023-02-08,02-08
2576,2023-02-08 21:00:00,Atsinanana,Toamasina II,1.2150804996214,2023-02-08,02-08
2686,2023-02-09 00:00:00,Atsinanana,Toamasina II,0.832104261807399,2023-02-09,02-09
2796,2023-02-09 03:00:00,Atsinanana,Toamasina II,0.754113825954846,2023-02-09,02-09
2906,2023-02-09 06:00:00,Atsinanana,Toamasina II,0.832528855974669,2023-02-09,02-09
3016,2023-02-09 09:00:00,Atsinanana,Toamasina II,1.67351222386205,2023-02-09,02-09
3126,2023-02-09 12:00:00,Atsinanana,Toamasina II,1.05822211806226,2023-02-09,02-09
3236,2023-02-09 15:00:00,Atsinanana,Toamasina II,0.840304291165376,2023-02-09,02-09
3346,2023-02-09 18:00:00,Atsinanana,Toamasina II,0.864124861323216,2023-02-09,02-09
3456,2023-02-09 21:00:00,Atsinanana,Toamasina II,0.861444987183495,2023-02-09,02-09
3566,2023-02-10 00:00:00,Atsinanana,Toamasina II,0.183452448005846,2023-02-10,02-10
3676,2023-02-10 03:00:00,Atsinanana,Toamasina II,0.280147036716517,2023-02-10,02-10
3786,2023-02-10 06:00:00,Atsinanana,Toamasina II,1.49771414827846,2023-02-10,02-10
3896,2023-02-10 09:00:00,Atsinanana,Toamasina II,1.03569623086078,2023-02-10,02-10
4006,2023-02-10 12:00:00,Atsinanana,Toamasina II,1.06679319241812,2023-02-10,02-10
4116,2023-02-10 15:00:00,Atsinanana,Toamasina II,0.275306471779186,2023-02-10,02-10
4226,2023-02-10 18:00:00,Atsinanana,Toamasina II,0.324909503337403,2023-02-10,02-10
4336,2023-02-10 21:00:00,Atsinanana,Toamasina II,0.328311920043779,2023-02-10,02-10
4446,2023-02-11 00:00:00,Atsinanana,Toamasina II,0.0750342444865964,2023-02-11,02-11
4556,2023-02-11 03:00:00,Atsinanana,Toamasina II,0.052046891534701,2023-02-11,02-11
4666,2023-02-11 06:00:00,Atsinanana,Toamasina II,0.328129081665247,2023-02-11,02-11
4776,2023-02-11 09:00:00,Atsinanana,Toamasina II,0.398134826021851,2023-02-11,02-11
4886,2023-02-11 12:00:00,Atsinanana,Toamasina II,0.188432900926273,2023-02-11,02-11
4996,2023-02-11 15:00:00,Atsinanana,Toamasina II,0.14826334311656,2023-02-11,02-11
5106,2023-02-11 18:00:00,Atsinanana,Toamasina II,0.0432294255704619,2023-02-11,02-11
5216,2023-02-11 21:00:00,Atsinanana,Toamasina II,0.0299535005760845,2023-02-11,02-11
5326,2023-02-12 00:00:00,Atsinanana,Toamasina II,0.015666947887803,2023-02-12,02-12
5436,2023-02-12 03:00:00,Atsinanana,Toamasina II,0.0287821708698175,2023-02-12,02-12
5546,2023-02-12 06:00:00,Atsinanana,Toamasina II,0.448951012885664,2023-02-12,02-12
5656,2023-02-12 09:00:00,Atsinanana,Toamasina II,0.595058331952896,2023-02-12,02-12
5766,2023-02-12 12:00:00,Atsinanana,Toamasina II,0.968912350363098,2023-02-12,02-12
5876,2023-02-12 15:00:00,Atsinanana,Toamasina II,0.623412183509208,2023-02-12,02-12
5986,2023-02-12 18:00:00,Atsinanana,Toamasina II,0.417349851166364,2023-02-12,02-12
6096,2023-02-12 21:00:00,Atsinanana,Toamasina II,0.287650150638365,2023-02-12,02-12
6206,2023-02-13 00:00:00,Atsinanana,Toamasina II,0.192301183180825,2023-02-13,02-13
6316,2023-02-13 03:00:00,Atsinanana,Toamasina II,0.267404376811464,2023-02-13,02-13
6426,2023-02-13 06:00:00,Atsinanana,Toamasina II,0.357442617978086,2023-02-13,02-13
6536,2023-02-13 09:00:00,Atsinanana,Toamasina II,0.714083706420206,2023-02-13,02-13
6646,2023-02-13 12:00:00,Atsinanana,Toamasina II,0.639097618537198,2023-02-13,02-13
6756,2023-02-13 15:00:00,Atsinanana,Toamasina II,0.361147311622335,2023-02-13,02-13
6866,2023-02-13 18:00:00,Atsinanana,Toamasina II,0.200268690014491,2023-02-13,02-13
6976,2023-02-13 21:00:00,Atsinanana,Toamasina II,0.0689435627311468,2023-02-13,02-13
7086,2023-02-14 00:00:00,Atsinanana,Toamasina II,0.0128035868998268,2023-02-14,02-14
7196,2023-02-14 03:00:00,Atsinanana,Toamasina II,0.0442191751018981,2023-02-14,02-14
7306,2023-02-14 06:00:00,Atsinanana,Toamasina II,0.448590063303709,2023-02-14,02-14
7416,2023-02-14 09:00:00,Atsinanana,Toamasina II,0.809055270357931,2023-02-14,02-14
7526,2023-02-14 12:00:00,Atsinanana,Toamasina II,0.660078058042563,2023-02-14,02-14
7636,2023-02-14 15:00:00,Atsinanana,Toamasina II,0.0604453316555009,2023-02-14,02-14
