,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
36,2023-02-06 00:00:00,Atsimo Andrefana,Toliary-II,0.0001713174189824,2023-02-06,02-06
146,2023-02-06 03:00:00,Atsimo Andrefana,Toliary-II,0.0002034767352811,2023-02-06,02-06
256,2023-02-06 06:00:00,Atsimo Andrefana,Toliary-II,0.0034312193062813,2023-02-06,02-06
366,2023-02-06 09:00:00,Atsimo Andrefana,Toliary-II,0.604436472858138,2023-02-06,02-06
476,2023-02-06 12:00:00,Atsimo Andrefana,Toliary-II,2.21296617046327,2023-02-06,02-06
586,2023-02-06 15:00:00,Atsimo Andrefana,Toliary-II,0.824691756679129,2023-02-06,02-06
696,2023-02-06 18:00:00,Atsimo Andrefana,Toliary-II,0.119809205089148,2023-02-06,02-06
806,2023-02-06 21:00:00,Atsimo Andrefana,Toliary-II,0.018957945701721,2023-02-06,02-06
916,2023-02-07 00:00:00,Atsimo Andrefana,Toliary-II,0.0059617444229147,2023-02-07,02-07
1026,2023-02-07 03:00:00,Atsimo Andrefana,Toliary-II,0.192748852019363,2023-02-07,02-07
1136,2023-02-07 06:00:00,Atsimo Andrefana,Toliary-II,0.347599848859724,2023-02-07,02-07
1246,2023-02-07 09:00:00,Atsimo Andrefana,Toliary-II,1.29945211013341,2023-02-07,02-07
1356,2023-02-07 12:00:00,Atsimo Andrefana,Toliary-II,5.66416041036205,2023-02-07,02-07
1466,2023-02-07 15:00:00,Atsimo Andrefana,Toliary-II,3.14772254467654,2023-02-07,02-07
1576,2023-02-07 18:00:00,Atsimo Andrefana,Toliary-II,0.577382954125813,2023-02-07,02-07
1686,2023-02-07 21:00:00,Atsimo Andrefana,Toliary-II,0.325769214835429,2023-02-07,02-07
1796,2023-02-08 00:00:00,Atsimo Andrefana,Toliary-II,0.420684419195031,2023-02-08,02-08
1906,2023-02-08 03:00:00,Atsimo Andrefana,Toliary-II,0.149157886031796,2023-02-08,02-08
2016,2023-02-08 06:00:00,Atsimo Andrefana,Toliary-II,0.183844182431451,2023-02-08,02-08
2126,2023-02-08 09:00:00,Atsimo Andrefana,Toliary-II,0.213977224064087,2023-02-08,02-08
2236,2023-02-08 12:00:00,Atsimo Andrefana,Toliary-II,0.878848013427684,2023-02-08,02-08
2346,2023-02-08 15:00:00,Atsimo Andrefana,Toliary-II,0.208329178960583,2023-02-08,02-08
2456,2023-02-08 18:00:00,Atsimo Andrefana,Toliary-II,0.0677589371547048,2023-02-08,02-08
2566,2023-02-08 21:00:00,Atsimo Andrefana,Toliary-II,0.0233578502125216,2023-02-08,02-08
2676,2023-02-09 00:00:00,Atsimo Andrefana,Toliary-II,0.0386065292528228,2023-02-09,02-09
2786,2023-02-09 03:00:00,Atsimo Andrefana,Toliary-II,0.177293384494945,2023-02-09,02-09
2896,2023-02-09 06:00:00,Atsimo Andrefana,Toliary-II,0.188914846824071,2023-02-09,02-09
3006,2023-02-09 09:00:00,Atsimo Andrefana,Toliary-II,0.835169146667399,2023-02-09,02-09
3116,2023-02-09 12:00:00,Atsimo Andrefana,Toliary-II,4.06940248904763,2023-02-09,02-09
3226,2023-02-09 15:00:00,Atsimo Andrefana,Toliary-II,7.01067932517035,2023-02-09,02-09
3336,2023-02-09 18:00:00,Atsimo Andrefana,Toliary-II,5.36809321116889,2023-02-09,02-09
3446,2023-02-09 21:00:00,Atsimo Andrefana,Toliary-II,1.87190679446246,2023-02-09,02-09
3556,2023-02-10 00:00:00,Atsimo Andrefana,Toliary-II,0.42123922389617,2023-02-10,02-10
3666,2023-02-10 03:00:00,Atsimo Andrefana,Toliary-II,0.0290895666550461,2023-02-10,02-10
3776,2023-02-10 06:00:00,Atsimo Andrefana,Toliary-II,0.0197170041795984,2023-02-10,02-10
3886,2023-02-10 09:00:00,Atsimo Andrefana,Toliary-II,0.0833691029754632,2023-02-10,02-10
3996,2023-02-10 12:00:00,Atsimo Andrefana,Toliary-II,0.715208053340286,2023-02-10,02-10
4106,2023-02-10 15:00:00,Atsimo Andrefana,Toliary-II,0.619900007161093,2023-02-10,02-10
4216,2023-02-10 18:00:00,Atsimo Andrefana,Toliary-II,0.120365160839933,2023-02-10,02-10
4326,2023-02-10 21:00:00,Atsimo Andrefana,Toliary-II,0.0007676097680814,2023-02-10,02-10
4436,2023-02-11 00:00:00,Atsimo Andrefana,Toliary-II,0.0043855641776805,2023-02-11,02-11
4546,2023-02-11 03:00:00,Atsimo Andrefana,Toliary-II,5.06638727315209e-06,2023-02-11,02-11
4656,2023-02-11 06:00:00,Atsimo Andrefana,Toliary-II,0.0088297782773973,2023-02-11,02-11
4766,2023-02-11 09:00:00,Atsimo Andrefana,Toliary-II,0.266857207259026,2023-02-11,02-11
4876,2023-02-11 12:00:00,Atsimo Andrefana,Toliary-II,0.924622425869765,2023-02-11,02-11
4986,2023-02-11 15:00:00,Atsimo Andrefana,Toliary-II,0.0849031618816833,2023-02-11,02-11
5096,2023-02-11 18:00:00,Atsimo Andrefana,Toliary-II,0.0633617545190432,2023-02-11,02-11
5206,2023-02-11 21:00:00,Atsimo Andrefana,Toliary-II,0.0042130502769449,2023-02-11,02-11
5316,2023-02-12 00:00:00,Atsimo Andrefana,Toliary-II,4.65993618811755e-06,2023-02-12,02-12
5426,2023-02-12 03:00:00,Atsimo Andrefana,Toliary-II,2.66547116231831e-05,2023-02-12,02-12
5536,2023-02-12 06:00:00,Atsimo Andrefana,Toliary-II,0.0136265814023585,2023-02-12,02-12
5646,2023-02-12 09:00:00,Atsimo Andrefana,Toliary-II,0.179198244478389,2023-02-12,02-12
5756,2023-02-12 12:00:00,Atsimo Andrefana,Toliary-II,1.35084038226358,2023-02-12,02-12
5866,2023-02-12 15:00:00,Atsimo Andrefana,Toliary-II,1.37992279033916,2023-02-12,02-12
5976,2023-02-12 18:00:00,Atsimo Andrefana,Toliary-II,0.0757103500271435,2023-02-12,02-12
