,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
35,2023-02-06 00:00:00,Atsimo Andrefana,Toliary-I,6.89848093315959e-06,2023-02-06,02-06
145,2023-02-06 03:00:00,Atsimo Andrefana,Toliary-I,3.13803320750594e-06,2023-02-06,02-06
255,2023-02-06 06:00:00,Atsimo Andrefana,Toliary-I,0.0051439861417748,2023-02-06,02-06
365,2023-02-06 09:00:00,Atsimo Andrefana,Toliary-I,0.629417950229254,2023-02-06,02-06
475,2023-02-06 12:00:00,Atsimo Andrefana,Toliary-I,3.24134412192507,2023-02-06,02-06
585,2023-02-06 15:00:00,Atsimo Andrefana,Toliary-I,0.912835808703676,2023-02-06,02-06
695,2023-02-06 18:00:00,Atsimo Andrefana,Toliary-I,0.0190213781315833,2023-02-06,02-06
805,2023-02-06 21:00:00,Atsimo Andrefana,Toliary-I,0.0093448689440265,2023-02-06,02-06
915,2023-02-07 00:00:00,Atsimo Andrefana,Toliary-I,0.008001128793694,2023-02-07,02-07
1025,2023-02-07 03:00:00,Atsimo Andrefana,Toliary-I,0.0131500080460683,2023-02-07,02-07
1135,2023-02-07 06:00:00,Atsimo Andrefana,Toliary-I,0.802548287261743,2023-02-07,02-07
1245,2023-02-07 09:00:00,Atsimo Andrefana,Toliary-I,2.44955891557038,2023-02-07,02-07
1355,2023-02-07 12:00:00,Atsimo Andrefana,Toliary-I,9.4348936426104,2023-02-07,02-07
1465,2023-02-07 15:00:00,Atsimo Andrefana,Toliary-I,2.03575803944841,2023-02-07,02-07
1575,2023-02-07 18:00:00,Atsimo Andrefana,Toliary-I,0.196752033778466,2023-02-07,02-07
1685,2023-02-07 21:00:00,Atsimo Andrefana,Toliary-I,0.340854192269035,2023-02-07,02-07
1795,2023-02-08 00:00:00,Atsimo Andrefana,Toliary-I,0.381533718318678,2023-02-08,02-08
1905,2023-02-08 03:00:00,Atsimo Andrefana,Toliary-I,0.0995145146735013,2023-02-08,02-08
2015,2023-02-08 06:00:00,Atsimo Andrefana,Toliary-I,0.247017611109186,2023-02-08,02-08
2125,2023-02-08 09:00:00,Atsimo Andrefana,Toliary-I,0.522098041896243,2023-02-08,02-08
2235,2023-02-08 12:00:00,Atsimo Andrefana,Toliary-I,0.629389972076751,2023-02-08,02-08
2345,2023-02-08 15:00:00,Atsimo Andrefana,Toliary-I,0.0043159040505997,2023-02-08,02-08
2455,2023-02-08 18:00:00,Atsimo Andrefana,Toliary-I,0.0247275566798635,2023-02-08,02-08
2565,2023-02-08 21:00:00,Atsimo Andrefana,Toliary-I,3.60369449481368e-06,2023-02-08,02-08
2675,2023-02-09 00:00:00,Atsimo Andrefana,Toliary-I,0.0016703837318345,2023-02-09,02-09
2785,2023-02-09 03:00:00,Atsimo Andrefana,Toliary-I,1.27403083135141,2023-02-09,02-09
2895,2023-02-09 06:00:00,Atsimo Andrefana,Toliary-I,0.567206361156423,2023-02-09,02-09
3005,2023-02-09 09:00:00,Atsimo Andrefana,Toliary-I,1.28274541342398,2023-02-09,02-09
3115,2023-02-09 12:00:00,Atsimo Andrefana,Toliary-I,3.5821501929895,2023-02-09,02-09
3225,2023-02-09 15:00:00,Atsimo Andrefana,Toliary-I,2.22966662031831,2023-02-09,02-09
3335,2023-02-09 18:00:00,Atsimo Andrefana,Toliary-I,7.79809287661919,2023-02-09,02-09
3445,2023-02-09 21:00:00,Atsimo Andrefana,Toliary-I,3.69818147324258,2023-02-09,02-09
3555,2023-02-10 00:00:00,Atsimo Andrefana,Toliary-I,0.34890957159223,2023-02-10,02-10
3665,2023-02-10 03:00:00,Atsimo Andrefana,Toliary-I,0.0830809299950488,2023-02-10,02-10
3775,2023-02-10 06:00:00,Atsimo Andrefana,Toliary-I,0.0021154105779714,2023-02-10,02-10
3885,2023-02-10 09:00:00,Atsimo Andrefana,Toliary-I,0.060355118708685,2023-02-10,02-10
3995,2023-02-10 12:00:00,Atsimo Andrefana,Toliary-I,2.34960017068079,2023-02-10,02-10
4105,2023-02-10 15:00:00,Atsimo Andrefana,Toliary-I,0.920482917164918,2023-02-10,02-10
4215,2023-02-10 18:00:00,Atsimo Andrefana,Toliary-I,0.184522441530135,2023-02-10,02-10
4325,2023-02-10 21:00:00,Atsimo Andrefana,Toliary-I,0.001322420372162,2023-02-10,02-10
4435,2023-02-11 00:00:00,Atsimo Andrefana,Toliary-I,3.16515797749162e-06,2023-02-11,02-11
4545,2023-02-11 03:00:00,Atsimo Andrefana,Toliary-I,7.54895154386759e-07,2023-02-11,02-11
4655,2023-02-11 06:00:00,Atsimo Andrefana,Toliary-I,0.0007839748868718,2023-02-11,02-11
4765,2023-02-11 09:00:00,Atsimo Andrefana,Toliary-I,0.331969037652016,2023-02-11,02-11
4875,2023-02-11 12:00:00,Atsimo Andrefana,Toliary-I,0.0574409166583791,2023-02-11,02-11
4985,2023-02-11 15:00:00,Atsimo Andrefana,Toliary-I,0.0045872184564359,2023-02-11,02-11
5095,2023-02-11 18:00:00,Atsimo Andrefana,Toliary-I,0.0917610492906533,2023-02-11,02-11
5205,2023-02-11 21:00:00,Atsimo Andrefana,Toliary-I,6.15499448031187e-06,2023-02-11,02-11
5315,2023-02-12 00:00:00,Atsimo Andrefana,Toliary-I,8.00873385742307e-06,2023-02-12,02-12
5425,2023-02-12 03:00:00,Atsimo Andrefana,Toliary-I,7.53306085243821e-06,2023-02-12,02-12
5535,2023-02-12 06:00:00,Atsimo Andrefana,Toliary-I,0.0002516385284252,2023-02-12,02-12
5645,2023-02-12 09:00:00,Atsimo Andrefana,Toliary-I,0.0178228105651215,2023-02-12,02-12
5755,2023-02-12 12:00:00,Atsimo Andrefana,Toliary-I,0.861470781033859,2023-02-12,02-12
5865,2023-02-12 15:00:00,Atsimo Andrefana,Toliary-I,0.846493332006503,2023-02-12,02-12
5975,2023-02-12 18:00:00,Atsimo Andrefana,Toliary-I,0.360290698998142,2023-02-12,02-12
6085,2023-02-12 21:00:00,Atsimo Andrefana,Toliary-I,0.0757973913569003,2023-02-12,02-12
6195,2023-02-13 00:00:00,Atsimo Andrefana,Toliary-I,0.0610853557591327,2023-02-13,02-13
6305,2023-02-13 03:00:00,Atsimo Andrefana,Toliary-I,0.0214354476192966,2023-02-13,02-13
6415,2023-02-13 06:00:00,Atsimo Andrefana,Toliary-I,0.0396483280928805,2023-02-13,02-13
6525,2023-02-13 09:00:00,Atsimo Andrefana,Toliary-I,0.392065882275347,2023-02-13,02-13
6635,2023-02-13 12:00:00,Atsimo Andrefana,Toliary-I,1.89249078475405,2023-02-13,02-13
6745,2023-02-13 15:00:00,Atsimo Andrefana,Toliary-I,1.33846287365304,2023-02-13,02-13
6855,2023-02-13 18:00:00,Atsimo Andrefana,Toliary-I,0.252319040882867,2023-02-13,02-13
6965,2023-02-13 21:00:00,Atsimo Andrefana,Toliary-I,0.236968838900793,2023-02-13,02-13
7075,2023-02-14 00:00:00,Atsimo Andrefana,Toliary-I,0.0007828547968529,2023-02-14,02-14
7185,2023-02-14 03:00:00,Atsimo Andrefana,Toliary-I,0.0119757161010057,2023-02-14,02-14
7295,2023-02-14 06:00:00,Atsimo Andrefana,Toliary-I,7.42095289751887e-06,2023-02-14,02-14
7405,2023-02-14 09:00:00,Atsimo Andrefana,Toliary-I,0.201724736543838,2023-02-14,02-14
7515,2023-02-14 12:00:00,Atsimo Andrefana,Toliary-I,0.330290405370761,2023-02-14,02-14
7625,2023-02-14 15:00:00,Atsimo Andrefana,Toliary-I,0.939344347629231,2023-02-14,02-14
7735,2023-02-14 18:00:00,Atsimo Andrefana,Toliary-I,0.0351990725030191,2023-02-14,02-14
7845,2023-02-14 21:00:00,Atsimo Andrefana,Toliary-I,9.91660635918379e-06,2023-02-14,02-14
7955,2023-02-15 00:00:00,Atsimo Andrefana,Toliary-I,0.0196224913815968,2023-02-15,02-15
8065,2023-02-15 03:00:00,Atsimo Andrefana,Toliary-I,0.0043251979514025,2023-02-15,02-15
8175,2023-02-15 06:00:00,Atsimo Andrefana,Toliary-I,0.0409325745422393,2023-02-15,02-15
8285,2023-02-15 09:00:00,Atsimo Andrefana,Toliary-I,0.71936532628024,2023-02-15,02-15
8395,2023-02-15 12:00:00,Atsimo Andrefana,Toliary-I,2.42319393804064,2023-02-15,02-15
8505,2023-02-15 15:00:00,Atsimo Andrefana,Toliary-I,0.29821442643879,2023-02-15,02-15
8615,2023-02-15 18:00:00,Atsimo Andrefana,Toliary-I,0.0010653030476532,2023-02-15,02-15
8725,2023-02-15 21:00:00,Atsimo Andrefana,Toliary-I,5.4251286201179e-06,2023-02-15,02-15
8835,2023-02-16 00:00:00,Atsimo Andrefana,Toliary-I,0.286183263699058,2023-02-16,02-16
8945,2023-02-16 03:00:00,Atsimo Andrefana,Toliary-I,0.136802552966401,2023-02-16,02-16
9055,2023-02-16 06:00:00,Atsimo Andrefana,Toliary-I,0.0428521010908298,2023-02-16,02-16
9165,2023-02-16 09:00:00,Atsimo Andrefana,Toliary-I,0.354343212675303,2023-02-16,02-16
9275,2023-02-16 12:00:00,Atsimo Andrefana,Toliary-I,1.62538111308822,2023-02-16,02-16
9385,2023-02-16 15:00:00,Atsimo Andrefana,Toliary-I,3.15173350606346,2023-02-16,02-16
9495,2023-02-16 18:00:00,Atsimo Andrefana,Toliary-I,1.19969747174764,2023-02-16,02-16
9605,2023-02-16 21:00:00,Atsimo Andrefana,Toliary-I,1.00909937400138,2023-02-16,02-16
9715,2023-02-17 00:00:00,Atsimo Andrefana,Toliary-I,0.402001053560525,2023-02-17,02-17
9825,2023-02-17 03:00:00,Atsimo Andrefana,Toliary-I,0.056897442904301,2023-02-17,02-17
9935,2023-02-17 06:00:00,Atsimo Andrefana,Toliary-I,0.0166567448759452,2023-02-17,02-17
10045,2023-02-17 09:00:00,Atsimo Andrefana,Toliary-I,1.2935921853641,2023-02-17,02-17
10155,2023-02-17 12:00:00,Atsimo Andrefana,Toliary-I,0.34769451484317,2023-02-17,02-17
10265,2023-02-17 15:00:00,Atsimo Andrefana,Toliary-I,0.540162916935515,2023-02-17,02-17
10375,2023-02-17 18:00:00,Atsimo Andrefana,Toliary-I,0.120530937274452,2023-02-17,02-17
10485,2023-02-17 21:00:00,Atsimo Andrefana,Toliary-I,0.0406237705028616,2023-02-17,02-17
10595,2023-02-18 00:00:00,Atsimo Andrefana,Toliary-I,7.6639698818326e-06,2023-02-18,02-18
10705,2023-02-18 03:00:00,Atsimo Andrefana,Toliary-I,7.64831202104688e-06,2023-02-18,02-18
10815,2023-02-18 06:00:00,Atsimo Andrefana,Toliary-I,0.0060046555590815,2023-02-18,02-18
10925,2023-02-18 09:00:00,Atsimo Andrefana,Toliary-I,0.540123007143848,2023-02-18,02-18
11035,2023-02-18 12:00:00,Atsimo Andrefana,Toliary-I,0.245876814238727,2023-02-18,02-18
11145,2023-02-18 15:00:00,Atsimo Andrefana,Toliary-I,0.304738599224947,2023-02-18,02-18
11255,2023-02-18 18:00:00,Atsimo Andrefana,Toliary-I,0.698075677151792,2023-02-18,02-18
11365,2023-02-18 21:00:00,Atsimo Andrefana,Toliary-I,0.0177974644466303,2023-02-18,02-18
11475,2023-02-19 00:00:00,Atsimo Andrefana,Toliary-I,5.96634345129132e-06,2023-02-19,02-19
11585,2023-02-19 03:00:00,Atsimo Andrefana,Toliary-I,8.44121677801013e-06,2023-02-19,02-19
11695,2023-02-19 06:00:00,Atsimo Andrefana,Toliary-I,0.0160610256716609,2023-02-19,02-19
11805,2023-02-19 09:00:00,Atsimo Andrefana,Toliary-I,0.04799656936666,2023-02-19,02-19
11915,2023-02-19 12:00:00,Atsimo Andrefana,Toliary-I,0.0142959350487217,2023-02-19,02-19
12025,2023-02-19 15:00:00,Atsimo Andrefana,Toliary-I,0.004324544861447,2023-02-19,02-19
12135,2023-02-19 18:00:00,Atsimo Andrefana,Toliary-I,5.69969415664673e-07,2023-02-19,02-19
12245,2023-02-19 21:00:00,Atsimo Andrefana,Toliary-I,9.91782872006297e-06,2023-02-19,02-19
12355,2023-02-20 00:00:00,Atsimo Andrefana,Toliary-I,9.74384602159262e-06,2023-02-20,02-20
12465,2023-02-20 03:00:00,Atsimo Andrefana,Toliary-I,8.69343057274818e-06,2023-02-20,02-20
12575,2023-02-20 06:00:00,Atsimo Andrefana,Toliary-I,3.91190405935049e-06,2023-02-20,02-20
12685,2023-02-20 09:00:00,Atsimo Andrefana,Toliary-I,0.0321317091584206,2023-02-20,02-20
12795,2023-02-20 12:00:00,Atsimo Andrefana,Toliary-I,2.90938994236058,2023-02-20,02-20
