,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
50,2023-02-06 00:00:00,Betsiboka,Tsaratanana,3.06165832149461,2023-02-06,02-06
160,2023-02-06 03:00:00,Betsiboka,Tsaratanana,1.09341098007452,2023-02-06,02-06
270,2023-02-06 06:00:00,Betsiboka,Tsaratanana,0.455865738172125,2023-02-06,02-06
380,2023-02-06 09:00:00,Betsiboka,Tsaratanana,1.96378008420602,2023-02-06,02-06
490,2023-02-06 12:00:00,Betsiboka,Tsaratanana,6.16907981632382,2023-02-06,02-06
600,2023-02-06 15:00:00,Betsiboka,Tsaratanana,3.14796876780718,2023-02-06,02-06
710,2023-02-06 18:00:00,Betsiboka,Tsaratanana,6.18598406823459,2023-02-06,02-06
820,2023-02-06 21:00:00,Betsiboka,Tsaratanana,6.62146242866441,2023-02-06,02-06
930,2023-02-07 00:00:00,Betsiboka,Tsaratanana,3.48808290472759,2023-02-07,02-07
1040,2023-02-07 03:00:00,Betsiboka,Tsaratanana,1.02385142914935,2023-02-07,02-07
1150,2023-02-07 06:00:00,Betsiboka,Tsaratanana,0.252048622132005,2023-02-07,02-07
1260,2023-02-07 09:00:00,Betsiboka,Tsaratanana,1.13295003519206,2023-02-07,02-07
1370,2023-02-07 12:00:00,Betsiboka,Tsaratanana,4.64911338100529,2023-02-07,02-07
1480,2023-02-07 15:00:00,Betsiboka,Tsaratanana,1.53198620449756,2023-02-07,02-07
1590,2023-02-07 18:00:00,Betsiboka,Tsaratanana,0.122376703171575,2023-02-07,02-07
1700,2023-02-07 21:00:00,Betsiboka,Tsaratanana,0.0788510076886536,2023-02-07,02-07
1810,2023-02-08 00:00:00,Betsiboka,Tsaratanana,0.0075581806178853,2023-02-08,02-08
1920,2023-02-08 03:00:00,Betsiboka,Tsaratanana,0.0187767095294297,2023-02-08,02-08
2030,2023-02-08 06:00:00,Betsiboka,Tsaratanana,0.0641239030884725,2023-02-08,02-08
2140,2023-02-08 09:00:00,Betsiboka,Tsaratanana,0.0933322051532028,2023-02-08,02-08
2250,2023-02-08 12:00:00,Betsiboka,Tsaratanana,0.985007166940669,2023-02-08,02-08
2360,2023-02-08 15:00:00,Betsiboka,Tsaratanana,0.647746898820533,2023-02-08,02-08
2470,2023-02-08 18:00:00,Betsiboka,Tsaratanana,0.207540378126877,2023-02-08,02-08
2580,2023-02-08 21:00:00,Betsiboka,Tsaratanana,0.140270083964638,2023-02-08,02-08
2690,2023-02-09 00:00:00,Betsiboka,Tsaratanana,0.111187225366331,2023-02-09,02-09
2800,2023-02-09 03:00:00,Betsiboka,Tsaratanana,0.0962439058148804,2023-02-09,02-09
2910,2023-02-09 06:00:00,Betsiboka,Tsaratanana,0.109087582809426,2023-02-09,02-09
3020,2023-02-09 09:00:00,Betsiboka,Tsaratanana,0.0109091964304931,2023-02-09,02-09
3130,2023-02-09 12:00:00,Betsiboka,Tsaratanana,0.34427125414596,2023-02-09,02-09
3240,2023-02-09 15:00:00,Betsiboka,Tsaratanana,0.456927189405428,2023-02-09,02-09
3350,2023-02-09 18:00:00,Betsiboka,Tsaratanana,0.284954139235197,2023-02-09,02-09
3460,2023-02-09 21:00:00,Betsiboka,Tsaratanana,0.142796636500862,2023-02-09,02-09
3570,2023-02-10 00:00:00,Betsiboka,Tsaratanana,0.130618266232298,2023-02-10,02-10
3680,2023-02-10 03:00:00,Betsiboka,Tsaratanana,0.112639717159647,2023-02-10,02-10
3790,2023-02-10 06:00:00,Betsiboka,Tsaratanana,0.034950556388175,2023-02-10,02-10
3900,2023-02-10 09:00:00,Betsiboka,Tsaratanana,0.0308881615888893,2023-02-10,02-10
4010,2023-02-10 12:00:00,Betsiboka,Tsaratanana,0.0943733619619617,2023-02-10,02-10
4120,2023-02-10 15:00:00,Betsiboka,Tsaratanana,0.0756251479917909,2023-02-10,02-10
4230,2023-02-10 18:00:00,Betsiboka,Tsaratanana,0.172073646976416,2023-02-10,02-10
4340,2023-02-10 21:00:00,Betsiboka,Tsaratanana,0.132183745385869,2023-02-10,02-10
4450,2023-02-11 00:00:00,Betsiboka,Tsaratanana,0.647478929182113,2023-02-11,02-11
4560,2023-02-11 03:00:00,Betsiboka,Tsaratanana,0.0323790661824009,2023-02-11,02-11
4670,2023-02-11 06:00:00,Betsiboka,Tsaratanana,0.0843703137738082,2023-02-11,02-11
4780,2023-02-11 09:00:00,Betsiboka,Tsaratanana,0.123426866757012,2023-02-11,02-11
4890,2023-02-11 12:00:00,Betsiboka,Tsaratanana,0.982715526410246,2023-02-11,02-11
5000,2023-02-11 15:00:00,Betsiboka,Tsaratanana,0.396745976774529,2023-02-11,02-11
5110,2023-02-11 18:00:00,Betsiboka,Tsaratanana,0.0465562798473162,2023-02-11,02-11
5220,2023-02-11 21:00:00,Betsiboka,Tsaratanana,0.01200820890988,2023-02-11,02-11
5330,2023-02-12 00:00:00,Betsiboka,Tsaratanana,0.0001454115291719,2023-02-12,02-12
5440,2023-02-12 03:00:00,Betsiboka,Tsaratanana,0.0001494267683786,2023-02-12,02-12
5550,2023-02-12 06:00:00,Betsiboka,Tsaratanana,0.0111153919801034,2023-02-12,02-12
5660,2023-02-12 09:00:00,Betsiboka,Tsaratanana,0.0393754798010466,2023-02-12,02-12
5770,2023-02-12 12:00:00,Betsiboka,Tsaratanana,0.0481459021627647,2023-02-12,02-12
5880,2023-02-12 15:00:00,Betsiboka,Tsaratanana,0.222250548641051,2023-02-12,02-12
5990,2023-02-12 18:00:00,Betsiboka,Tsaratanana,0.0736333341594539,2023-02-12,02-12
6100,2023-02-12 21:00:00,Betsiboka,Tsaratanana,0.0013168855620475,2023-02-12,02-12
6210,2023-02-13 00:00:00,Betsiboka,Tsaratanana,0.0032439087095268,2023-02-13,02-13
6320,2023-02-13 03:00:00,Betsiboka,Tsaratanana,0.009829445902427,2023-02-13,02-13
6430,2023-02-13 06:00:00,Betsiboka,Tsaratanana,0.0204440005992165,2023-02-13,02-13
6540,2023-02-13 09:00:00,Betsiboka,Tsaratanana,0.0289240787205213,2023-02-13,02-13
6650,2023-02-13 12:00:00,Betsiboka,Tsaratanana,0.0374003239392586,2023-02-13,02-13
6760,2023-02-13 15:00:00,Betsiboka,Tsaratanana,0.0462186549603026,2023-02-13,02-13
6870,2023-02-13 18:00:00,Betsiboka,Tsaratanana,0.0364471878017545,2023-02-13,02-13
6980,2023-02-13 21:00:00,Betsiboka,Tsaratanana,0.115719386240052,2023-02-13,02-13
7090,2023-02-14 00:00:00,Betsiboka,Tsaratanana,0.171667563789478,2023-02-14,02-14
7200,2023-02-14 03:00:00,Betsiboka,Tsaratanana,0.0187061955711768,2023-02-14,02-14
7310,2023-02-14 06:00:00,Betsiboka,Tsaratanana,0.001174729426994,2023-02-14,02-14
7420,2023-02-14 09:00:00,Betsiboka,Tsaratanana,0.0045132967363814,2023-02-14,02-14
7530,2023-02-14 12:00:00,Betsiboka,Tsaratanana,0.0628379183163976,2023-02-14,02-14
7640,2023-02-14 15:00:00,Betsiboka,Tsaratanana,0.0397674893068981,2023-02-14,02-14
7750,2023-02-14 18:00:00,Betsiboka,Tsaratanana,0.0127294742355041,2023-02-14,02-14
7860,2023-02-14 21:00:00,Betsiboka,Tsaratanana,0.0070694649526986,2023-02-14,02-14
7970,2023-02-15 00:00:00,Betsiboka,Tsaratanana,0.0003681267039877,2023-02-15,02-15
8080,2023-02-15 03:00:00,Betsiboka,Tsaratanana,0.0002837469436082,2023-02-15,02-15
8190,2023-02-15 06:00:00,Betsiboka,Tsaratanana,0.0024387835069586,2023-02-15,02-15
8300,2023-02-15 09:00:00,Betsiboka,Tsaratanana,0.0075786770874972,2023-02-15,02-15
8410,2023-02-15 12:00:00,Betsiboka,Tsaratanana,0.0445178713119936,2023-02-15,02-15
8520,2023-02-15 15:00:00,Betsiboka,Tsaratanana,0.20959499850698,2023-02-15,02-15
8630,2023-02-15 18:00:00,Betsiboka,Tsaratanana,2.81129762180054,2023-02-15,02-15
8740,2023-02-15 21:00:00,Betsiboka,Tsaratanana,7.42632672440274,2023-02-15,02-15
8850,2023-02-16 00:00:00,Betsiboka,Tsaratanana,1.52593694502367,2023-02-16,02-16
8960,2023-02-16 03:00:00,Betsiboka,Tsaratanana,0.0254439043386739,2023-02-16,02-16
9070,2023-02-16 06:00:00,Betsiboka,Tsaratanana,0.0311232482290863,2023-02-16,02-16
9180,2023-02-16 09:00:00,Betsiboka,Tsaratanana,0.571339829775788,2023-02-16,02-16
9290,2023-02-16 12:00:00,Betsiboka,Tsaratanana,1.95252898830964,2023-02-16,02-16
9400,2023-02-16 15:00:00,Betsiboka,Tsaratanana,4.09663821360856,2023-02-16,02-16
9510,2023-02-16 18:00:00,Betsiboka,Tsaratanana,4.32629996587696,2023-02-16,02-16
9620,2023-02-16 21:00:00,Betsiboka,Tsaratanana,1.94452205516327,2023-02-16,02-16
9730,2023-02-17 00:00:00,Betsiboka,Tsaratanana,0.426602341122263,2023-02-17,02-17
9840,2023-02-17 03:00:00,Betsiboka,Tsaratanana,2.32833595995965,2023-02-17,02-17
9950,2023-02-17 06:00:00,Betsiboka,Tsaratanana,2.64197875531938,2023-02-17,02-17
10060,2023-02-17 09:00:00,Betsiboka,Tsaratanana,0.482776405487789,2023-02-17,02-17
10170,2023-02-17 12:00:00,Betsiboka,Tsaratanana,2.14436302732964,2023-02-17,02-17
10280,2023-02-17 15:00:00,Betsiboka,Tsaratanana,3.52766342111692,2023-02-17,02-17
10390,2023-02-17 18:00:00,Betsiboka,Tsaratanana,2.67112405867688,2023-02-17,02-17
10500,2023-02-17 21:00:00,Betsiboka,Tsaratanana,0.824925804066166,2023-02-17,02-17
10610,2023-02-18 00:00:00,Betsiboka,Tsaratanana,1.14802699154939,2023-02-18,02-18
10720,2023-02-18 03:00:00,Betsiboka,Tsaratanana,0.138030795379902,2023-02-18,02-18
10830,2023-02-18 06:00:00,Betsiboka,Tsaratanana,0.147029075301344,2023-02-18,02-18
10940,2023-02-18 09:00:00,Betsiboka,Tsaratanana,0.81880834174751,2023-02-18,02-18
11050,2023-02-18 12:00:00,Betsiboka,Tsaratanana,4.48558408247967,2023-02-18,02-18
11160,2023-02-18 15:00:00,Betsiboka,Tsaratanana,2.46171770211567,2023-02-18,02-18
11270,2023-02-18 18:00:00,Betsiboka,Tsaratanana,1.80689609838494,2023-02-18,02-18
11380,2023-02-18 21:00:00,Betsiboka,Tsaratanana,3.90378505798221,2023-02-18,02-18
11490,2023-02-19 00:00:00,Betsiboka,Tsaratanana,1.00730001570214,2023-02-19,02-19
11600,2023-02-19 03:00:00,Betsiboka,Tsaratanana,0.0667869551078754,2023-02-19,02-19
11710,2023-02-19 06:00:00,Betsiboka,Tsaratanana,0.168752835916273,2023-02-19,02-19
11820,2023-02-19 09:00:00,Betsiboka,Tsaratanana,0.100119785309253,2023-02-19,02-19
11930,2023-02-19 12:00:00,Betsiboka,Tsaratanana,0.114658872254522,2023-02-19,02-19
12040,2023-02-19 15:00:00,Betsiboka,Tsaratanana,0.0521323256555251,2023-02-19,02-19
12150,2023-02-19 18:00:00,Betsiboka,Tsaratanana,0.018753784604818,2023-02-19,02-19
12260,2023-02-19 21:00:00,Betsiboka,Tsaratanana,0.0102897696014421,2023-02-19,02-19
12370,2023-02-20 00:00:00,Betsiboka,Tsaratanana,0.0004391056016388,2023-02-20,02-20
12480,2023-02-20 03:00:00,Betsiboka,Tsaratanana,3.62291089806925e-05,2023-02-20,02-20
12590,2023-02-20 06:00:00,Betsiboka,Tsaratanana,0.001106143170082,2023-02-20,02-20
12700,2023-02-20 09:00:00,Betsiboka,Tsaratanana,0.0082499462849798,2023-02-20,02-20
12810,2023-02-20 12:00:00,Betsiboka,Tsaratanana,0.0117820160715686,2023-02-20,02-20
12920,2023-02-20 15:00:00,Betsiboka,Tsaratanana,0.0091924246009119,2023-02-20,02-20
13030,2023-02-20 18:00:00,Betsiboka,Tsaratanana,0.0032168265606742,2023-02-20,02-20
13140,2023-02-20 21:00:00,Betsiboka,Tsaratanana,0.0051929981872329,2023-02-20,02-20
13250,2023-02-21 00:00:00,Betsiboka,Tsaratanana,0.0025483304492024,2023-02-21,02-21
13360,2023-02-21 03:00:00,Betsiboka,Tsaratanana,0.0004219660100609,2023-02-21,02-21
13470,2023-02-21 06:00:00,Betsiboka,Tsaratanana,0.0083018922784557,2023-02-21,02-21
13580,2023-02-21 09:00:00,Betsiboka,Tsaratanana,0.258228915510128,2023-02-21,02-21
13690,2023-02-21 12:00:00,Betsiboka,Tsaratanana,0.0825884582226019,2023-02-21,02-21
13800,2023-02-21 15:00:00,Betsiboka,Tsaratanana,0.0596194549032268,2023-02-21,02-21
13910,2023-02-21 18:00:00,Betsiboka,Tsaratanana,0.247523099769537,2023-02-21,02-21
14020,2023-02-21 21:00:00,Betsiboka,Tsaratanana,0.199049287362654,2023-02-21,02-21
14130,2023-02-22 00:00:00,Betsiboka,Tsaratanana,0.133152404110125,2023-02-22,02-22
14240,2023-02-22 03:00:00,Betsiboka,Tsaratanana,0.130643590163969,2023-02-22,02-22
14350,2023-02-22 06:00:00,Betsiboka,Tsaratanana,0.104736283587009,2023-02-22,02-22
14460,2023-02-22 09:00:00,Betsiboka,Tsaratanana,0.0960988604986365,2023-02-22,02-22
14570,2023-02-22 12:00:00,Betsiboka,Tsaratanana,0.458671138030089,2023-02-22,02-22
14680,2023-02-22 15:00:00,Betsiboka,Tsaratanana,0.206273866174788,2023-02-22,02-22
14790,2023-02-22 18:00:00,Betsiboka,Tsaratanana,0.0399716218777101,2023-02-22,02-22
14900,2023-02-22 21:00:00,Betsiboka,Tsaratanana,0.0090198960245413,2023-02-22,02-22
15010,2023-02-23 00:00:00,Betsiboka,Tsaratanana,0.0703219670052503,2023-02-23,02-23
15120,2023-02-23 03:00:00,Betsiboka,Tsaratanana,0.259371639725834,2023-02-23,02-23
15230,2023-02-23 06:00:00,Betsiboka,Tsaratanana,1.15083444114334,2023-02-23,02-23
15340,2023-02-23 09:00:00,Betsiboka,Tsaratanana,4.3267682630377,2023-02-23,02-23
15450,2023-02-23 12:00:00,Betsiboka,Tsaratanana,2.41603262539994,2023-02-23,02-23
15560,2023-02-23 15:00:00,Betsiboka,Tsaratanana,1.2240987625772,2023-02-23,02-23
15670,2023-02-23 18:00:00,Betsiboka,Tsaratanana,0.514395167783482,2023-02-23,02-23
15780,2023-02-23 21:00:00,Betsiboka,Tsaratanana,0.0335528903473032,2023-02-23,02-23
15890,2023-02-24 00:00:00,Betsiboka,Tsaratanana,0.0050115188185408,2023-02-24,02-24
16000,2023-02-24 03:00:00,Betsiboka,Tsaratanana,0.001857885061398,2023-02-24,02-24
16110,2023-02-24 06:00:00,Betsiboka,Tsaratanana,0.0017595150777339,2023-02-24,02-24
16220,2023-02-24 09:00:00,Betsiboka,Tsaratanana,0.0007189446027326,2023-02-24,02-24
16330,2023-02-24 12:00:00,Betsiboka,Tsaratanana,0.0036436536899475,2023-02-24,02-24
16440,2023-02-24 15:00:00,Betsiboka,Tsaratanana,0.0086151283233216,2023-02-24,02-24
16550,2023-02-24 18:00:00,Betsiboka,Tsaratanana,0.0157518963821406,2023-02-24,02-24
16660,2023-02-24 21:00:00,Betsiboka,Tsaratanana,0.000622664344287,2023-02-24,02-24
16770,2023-02-25 00:00:00,Betsiboka,Tsaratanana,5.13537556353007e-05,2023-02-25,02-25
16880,2023-02-25 03:00:00,Betsiboka,Tsaratanana,7.17072609547233e-05,2023-02-25,02-25
16990,2023-02-25 06:00:00,Betsiboka,Tsaratanana,0.0261854830691043,2023-02-25,02-25
17100,2023-02-25 09:00:00,Betsiboka,Tsaratanana,0.100112099401361,2023-02-25,02-25
17210,2023-02-25 12:00:00,Betsiboka,Tsaratanana,0.0923889782753381,2023-02-25,02-25
17320,2023-02-25 15:00:00,Betsiboka,Tsaratanana,0.0372883700451804,2023-02-25,02-25
