,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
40,2023-02-06 00:00:00,Atsimo Atsinanana,Vangaindrano,0.9546774197092,2023-02-06,02-06
150,2023-02-06 03:00:00,Atsimo Atsinanana,Vangaindrano,0.851464607307042,2023-02-06,02-06
260,2023-02-06 06:00:00,Atsimo Atsinanana,Vangaindrano,2.8294803649875,2023-02-06,02-06
370,2023-02-06 09:00:00,Atsimo Atsinanana,Vangaindrano,6.1898548963059,2023-02-06,02-06
480,2023-02-06 12:00:00,Atsimo Atsinanana,Vangaindrano,8.19927097104797,2023-02-06,02-06
590,2023-02-06 15:00:00,Atsimo Atsinanana,Vangaindrano,4.54349924341527,2023-02-06,02-06
700,2023-02-06 18:00:00,Atsimo Atsinanana,Vangaindrano,3.54392415775113,2023-02-06,02-06
810,2023-02-06 21:00:00,Atsimo Atsinanana,Vangaindrano,2.18583335790952,2023-02-06,02-06
920,2023-02-07 00:00:00,Atsimo Atsinanana,Vangaindrano,2.52407997210156,2023-02-07,02-07
1030,2023-02-07 03:00:00,Atsimo Atsinanana,Vangaindrano,2.74812318675156,2023-02-07,02-07
1140,2023-02-07 06:00:00,Atsimo Atsinanana,Vangaindrano,2.28987939386438,2023-02-07,02-07
1250,2023-02-07 09:00:00,Atsimo Atsinanana,Vangaindrano,1.34408793278139,2023-02-07,02-07
1360,2023-02-07 12:00:00,Atsimo Atsinanana,Vangaindrano,0.561370779024649,2023-02-07,02-07
1470,2023-02-07 15:00:00,Atsimo Atsinanana,Vangaindrano,0.36909950225196,2023-02-07,02-07
1580,2023-02-07 18:00:00,Atsimo Atsinanana,Vangaindrano,0.966151590747441,2023-02-07,02-07
1690,2023-02-07 21:00:00,Atsimo Atsinanana,Vangaindrano,1.81188139399455,2023-02-07,02-07
1800,2023-02-08 00:00:00,Atsimo Atsinanana,Vangaindrano,0.621772576892082,2023-02-08,02-08
1910,2023-02-08 03:00:00,Atsimo Atsinanana,Vangaindrano,0.320407150061907,2023-02-08,02-08
2020,2023-02-08 06:00:00,Atsimo Atsinanana,Vangaindrano,1.01355952623999,2023-02-08,02-08
2130,2023-02-08 09:00:00,Atsimo Atsinanana,Vangaindrano,3.33328927095863,2023-02-08,02-08
2240,2023-02-08 12:00:00,Atsimo Atsinanana,Vangaindrano,2.74618215545144,2023-02-08,02-08
2350,2023-02-08 15:00:00,Atsimo Atsinanana,Vangaindrano,1.91655323766198,2023-02-08,02-08
2460,2023-02-08 18:00:00,Atsimo Atsinanana,Vangaindrano,3.3042382842369,2023-02-08,02-08
2570,2023-02-08 21:00:00,Atsimo Atsinanana,Vangaindrano,3.12629316971817,2023-02-08,02-08
2680,2023-02-09 00:00:00,Atsimo Atsinanana,Vangaindrano,1.27571624752256,2023-02-09,02-09
2790,2023-02-09 03:00:00,Atsimo Atsinanana,Vangaindrano,0.606450033069863,2023-02-09,02-09
2900,2023-02-09 06:00:00,Atsimo Atsinanana,Vangaindrano,0.601314984609913,2023-02-09,02-09
3010,2023-02-09 09:00:00,Atsimo Atsinanana,Vangaindrano,0.540402319036234,2023-02-09,02-09
3120,2023-02-09 12:00:00,Atsimo Atsinanana,Vangaindrano,0.607782285484559,2023-02-09,02-09
3230,2023-02-09 15:00:00,Atsimo Atsinanana,Vangaindrano,0.206596639801071,2023-02-09,02-09
3340,2023-02-09 18:00:00,Atsimo Atsinanana,Vangaindrano,0.158436398572204,2023-02-09,02-09
3450,2023-02-09 21:00:00,Atsimo Atsinanana,Vangaindrano,0.104418762668502,2023-02-09,02-09
