,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
47,2023-02-06 00:00:00,Atsinanana,Vatomandry,2.20381944674009,2023-02-06,02-06
157,2023-02-06 03:00:00,Atsinanana,Vatomandry,1.11449878620915,2023-02-06,02-06
267,2023-02-06 06:00:00,Atsinanana,Vatomandry,1.65772680880327,2023-02-06,02-06
377,2023-02-06 09:00:00,Atsinanana,Vatomandry,1.5016080743284,2023-02-06,02-06
487,2023-02-06 12:00:00,Atsinanana,Vatomandry,4.03463007575192,2023-02-06,02-06
597,2023-02-06 15:00:00,Atsinanana,Vatomandry,3.40751654829073,2023-02-06,02-06
707,2023-02-06 18:00:00,Atsinanana,Vatomandry,9.41826728117594,2023-02-06,02-06
817,2023-02-06 21:00:00,Atsinanana,Vatomandry,8.12945209694153,2023-02-06,02-06
927,2023-02-07 00:00:00,Atsinanana,Vatomandry,3.65199025901966,2023-02-07,02-07
1037,2023-02-07 03:00:00,Atsinanana,Vatomandry,2.04441119279654,2023-02-07,02-07
1147,2023-02-07 06:00:00,Atsinanana,Vatomandry,1.96739787555998,2023-02-07,02-07
1257,2023-02-07 09:00:00,Atsinanana,Vatomandry,2.82435289733112,2023-02-07,02-07
1367,2023-02-07 12:00:00,Atsinanana,Vatomandry,1.98811250162253,2023-02-07,02-07
1477,2023-02-07 15:00:00,Atsinanana,Vatomandry,1.1778650429158,2023-02-07,02-07
1587,2023-02-07 18:00:00,Atsinanana,Vatomandry,1.79849922837166,2023-02-07,02-07
1697,2023-02-07 21:00:00,Atsinanana,Vatomandry,1.15067220004858,2023-02-07,02-07
1807,2023-02-08 00:00:00,Atsinanana,Vatomandry,1.44517250641075,2023-02-08,02-08
1917,2023-02-08 03:00:00,Atsinanana,Vatomandry,0.603599995287368,2023-02-08,02-08
2027,2023-02-08 06:00:00,Atsinanana,Vatomandry,1.43373278430954,2023-02-08,02-08
2137,2023-02-08 09:00:00,Atsinanana,Vatomandry,2.7945029845665,2023-02-08,02-08
