,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
21,2023-02-06 00:00:00,Analanjirofo,Vavatenina,0.79427010901738,2023-02-06,02-06
131,2023-02-06 03:00:00,Analanjirofo,Vavatenina,0.343163504197728,2023-02-06,02-06
241,2023-02-06 06:00:00,Analanjirofo,Vavatenina,1.52935779366177,2023-02-06,02-06
351,2023-02-06 09:00:00,Analanjirofo,Vavatenina,1.78794986124383,2023-02-06,02-06
461,2023-02-06 12:00:00,Analanjirofo,Vavatenina,2.19405090128537,2023-02-06,02-06
571,2023-02-06 15:00:00,Analanjirofo,Vavatenina,1.60245036198525,2023-02-06,02-06
681,2023-02-06 18:00:00,Analanjirofo,Vavatenina,4.03432284975424,2023-02-06,02-06
791,2023-02-06 21:00:00,Analanjirofo,Vavatenina,2.10873503066134,2023-02-06,02-06
901,2023-02-07 00:00:00,Analanjirofo,Vavatenina,0.3720119882375,2023-02-07,02-07
1011,2023-02-07 03:00:00,Analanjirofo,Vavatenina,0.500518648331054,2023-02-07,02-07
1121,2023-02-07 06:00:00,Analanjirofo,Vavatenina,1.30026171170408,2023-02-07,02-07
1231,2023-02-07 09:00:00,Analanjirofo,Vavatenina,2.53438476228621,2023-02-07,02-07
1341,2023-02-07 12:00:00,Analanjirofo,Vavatenina,1.46704727637349,2023-02-07,02-07
1451,2023-02-07 15:00:00,Analanjirofo,Vavatenina,0.528486234911252,2023-02-07,02-07
1561,2023-02-07 18:00:00,Analanjirofo,Vavatenina,0.688225159153808,2023-02-07,02-07
1671,2023-02-07 21:00:00,Analanjirofo,Vavatenina,1.10033606168581,2023-02-07,02-07
1781,2023-02-08 00:00:00,Analanjirofo,Vavatenina,0.259616415777709,2023-02-08,02-08
1891,2023-02-08 03:00:00,Analanjirofo,Vavatenina,0.317600507440511,2023-02-08,02-08
2001,2023-02-08 06:00:00,Analanjirofo,Vavatenina,0.791737372227944,2023-02-08,02-08
2111,2023-02-08 09:00:00,Analanjirofo,Vavatenina,1.90996146191144,2023-02-08,02-08
2221,2023-02-08 12:00:00,Analanjirofo,Vavatenina,1.37746000001673,2023-02-08,02-08
2331,2023-02-08 15:00:00,Analanjirofo,Vavatenina,0.534734526227694,2023-02-08,02-08
2441,2023-02-08 18:00:00,Analanjirofo,Vavatenina,0.659151914764661,2023-02-08,02-08
2551,2023-02-08 21:00:00,Analanjirofo,Vavatenina,0.71801278762985,2023-02-08,02-08
2661,2023-02-09 00:00:00,Analanjirofo,Vavatenina,0.584822758762166,2023-02-09,02-09
2771,2023-02-09 03:00:00,Analanjirofo,Vavatenina,0.553919782009907,2023-02-09,02-09
2881,2023-02-09 06:00:00,Analanjirofo,Vavatenina,0.803066330370493,2023-02-09,02-09
2991,2023-02-09 09:00:00,Analanjirofo,Vavatenina,1.27535776600009,2023-02-09,02-09
3101,2023-02-09 12:00:00,Analanjirofo,Vavatenina,1.02906057224376,2023-02-09,02-09
3211,2023-02-09 15:00:00,Analanjirofo,Vavatenina,0.58745291933883,2023-02-09,02-09
3321,2023-02-09 18:00:00,Analanjirofo,Vavatenina,0.801683928212151,2023-02-09,02-09
3431,2023-02-09 21:00:00,Analanjirofo,Vavatenina,0.526712377022486,2023-02-09,02-09
3541,2023-02-10 00:00:00,Analanjirofo,Vavatenina,0.263836563809309,2023-02-10,02-10
3651,2023-02-10 03:00:00,Analanjirofo,Vavatenina,0.262516511436552,2023-02-10,02-10
3761,2023-02-10 06:00:00,Analanjirofo,Vavatenina,0.960017955154181,2023-02-10,02-10
3871,2023-02-10 09:00:00,Analanjirofo,Vavatenina,0.860360151501372,2023-02-10,02-10
