,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
89,2023-02-06 00:00:00,Sava,Vohemar,0.318234359593286,2023-02-06,02-06
199,2023-02-06 03:00:00,Sava,Vohemar,0.102385302119232,2023-02-06,02-06
309,2023-02-06 06:00:00,Sava,Vohemar,0.644204607166378,2023-02-06,02-06
419,2023-02-06 09:00:00,Sava,Vohemar,1.74064116997584,2023-02-06,02-06
529,2023-02-06 12:00:00,Sava,Vohemar,2.30877742346351,2023-02-06,02-06
639,2023-02-06 15:00:00,Sava,Vohemar,1.43383404772171,2023-02-06,02-06
749,2023-02-06 18:00:00,Sava,Vohemar,0.841755528398084,2023-02-06,02-06
859,2023-02-06 21:00:00,Sava,Vohemar,0.127900624526912,2023-02-06,02-06
969,2023-02-07 00:00:00,Sava,Vohemar,0.0691831416122361,2023-02-07,02-07
1079,2023-02-07 03:00:00,Sava,Vohemar,0.878449001313349,2023-02-07,02-07
1189,2023-02-07 06:00:00,Sava,Vohemar,4.41780320546858,2023-02-07,02-07
1299,2023-02-07 09:00:00,Sava,Vohemar,2.82127426970119,2023-02-07,02-07
1409,2023-02-07 12:00:00,Sava,Vohemar,2.70968816608586,2023-02-07,02-07
1519,2023-02-07 15:00:00,Sava,Vohemar,0.687455147182019,2023-02-07,02-07
1629,2023-02-07 18:00:00,Sava,Vohemar,0.456994020658771,2023-02-07,02-07
1739,2023-02-07 21:00:00,Sava,Vohemar,0.248244702651088,2023-02-07,02-07
1849,2023-02-08 00:00:00,Sava,Vohemar,0.0163845735713205,2023-02-08,02-08
1959,2023-02-08 03:00:00,Sava,Vohemar,0.0044230067596248,2023-02-08,02-08
2069,2023-02-08 06:00:00,Sava,Vohemar,0.341424288369264,2023-02-08,02-08
2179,2023-02-08 09:00:00,Sava,Vohemar,1.18013638378188,2023-02-08,02-08
2289,2023-02-08 12:00:00,Sava,Vohemar,1.08077261930201,2023-02-08,02-08
2399,2023-02-08 15:00:00,Sava,Vohemar,1.25810210741562,2023-02-08,02-08
2509,2023-02-08 18:00:00,Sava,Vohemar,0.603115305115793,2023-02-08,02-08
2619,2023-02-08 21:00:00,Sava,Vohemar,0.229817396887952,2023-02-08,02-08
2729,2023-02-09 00:00:00,Sava,Vohemar,0.0508763743185255,2023-02-09,02-09
2839,2023-02-09 03:00:00,Sava,Vohemar,0.0269046080101169,2023-02-09,02-09
2949,2023-02-09 06:00:00,Sava,Vohemar,0.236976673761312,2023-02-09,02-09
3059,2023-02-09 09:00:00,Sava,Vohemar,1.01596695119004,2023-02-09,02-09
3169,2023-02-09 12:00:00,Sava,Vohemar,1.29605764951151,2023-02-09,02-09
3279,2023-02-09 15:00:00,Sava,Vohemar,0.5983818874802,2023-02-09,02-09
3389,2023-02-09 18:00:00,Sava,Vohemar,0.0991679258736302,2023-02-09,02-09
3499,2023-02-09 21:00:00,Sava,Vohemar,0.0485905027396229,2023-02-09,02-09
3609,2023-02-10 00:00:00,Sava,Vohemar,0.0814019083750971,2023-02-10,02-10
3719,2023-02-10 03:00:00,Sava,Vohemar,0.13990762534509,2023-02-10,02-10
3829,2023-02-10 06:00:00,Sava,Vohemar,0.352586485278814,2023-02-10,02-10
3939,2023-02-10 09:00:00,Sava,Vohemar,0.653750085920117,2023-02-10,02-10
4049,2023-02-10 12:00:00,Sava,Vohemar,1.41288936797046,2023-02-10,02-10
4159,2023-02-10 15:00:00,Sava,Vohemar,1.25630553613706,2023-02-10,02-10
4269,2023-02-10 18:00:00,Sava,Vohemar,0.970142526807842,2023-02-10,02-10
4379,2023-02-10 21:00:00,Sava,Vohemar,0.379868125373667,2023-02-10,02-10
4489,2023-02-11 00:00:00,Sava,Vohemar,0.156768678594028,2023-02-11,02-11
4599,2023-02-11 03:00:00,Sava,Vohemar,0.167234730281493,2023-02-11,02-11
4709,2023-02-11 06:00:00,Sava,Vohemar,0.133474471420579,2023-02-11,02-11
4819,2023-02-11 09:00:00,Sava,Vohemar,0.594954369253669,2023-02-11,02-11
4929,2023-02-11 12:00:00,Sava,Vohemar,3.40744408438331,2023-02-11,02-11
5039,2023-02-11 15:00:00,Sava,Vohemar,3.77414173120368,2023-02-11,02-11
5149,2023-02-11 18:00:00,Sava,Vohemar,1.60306894991399,2023-02-11,02-11
5259,2023-02-11 21:00:00,Sava,Vohemar,0.165560626472474,2023-02-11,02-11
5369,2023-02-12 00:00:00,Sava,Vohemar,0.0014176129656279,2023-02-12,02-12
5479,2023-02-12 03:00:00,Sava,Vohemar,6.22931384537933e-05,2023-02-12,02-12
5589,2023-02-12 06:00:00,Sava,Vohemar,0.0433695693606172,2023-02-12,02-12
5699,2023-02-12 09:00:00,Sava,Vohemar,0.136850421722611,2023-02-12,02-12
5809,2023-02-12 12:00:00,Sava,Vohemar,1.83720170900095,2023-02-12,02-12
5919,2023-02-12 15:00:00,Sava,Vohemar,1.06700811960124,2023-02-12,02-12
6029,2023-02-12 18:00:00,Sava,Vohemar,0.238437291081275,2023-02-12,02-12
6139,2023-02-12 21:00:00,Sava,Vohemar,0.140277284606727,2023-02-12,02-12
6249,2023-02-13 00:00:00,Sava,Vohemar,0.0268560524343753,2023-02-13,02-13
6359,2023-02-13 03:00:00,Sava,Vohemar,0.0049047375381853,2023-02-13,02-13
6469,2023-02-13 06:00:00,Sava,Vohemar,0.127460980931629,2023-02-13,02-13
6579,2023-02-13 09:00:00,Sava,Vohemar,0.924787390086391,2023-02-13,02-13
6689,2023-02-13 12:00:00,Sava,Vohemar,2.88327844700667,2023-02-13,02-13
6799,2023-02-13 15:00:00,Sava,Vohemar,5.6898534124643,2023-02-13,02-13
6909,2023-02-13 18:00:00,Sava,Vohemar,1.86550770182459,2023-02-13,02-13
7019,2023-02-13 21:00:00,Sava,Vohemar,0.212064832325489,2023-02-13,02-13
7129,2023-02-14 00:00:00,Sava,Vohemar,0.0128290339268984,2023-02-14,02-14
7239,2023-02-14 03:00:00,Sava,Vohemar,0.0054758098479148,2023-02-14,02-14
7349,2023-02-14 06:00:00,Sava,Vohemar,0.0711295025292643,2023-02-14,02-14
7459,2023-02-14 09:00:00,Sava,Vohemar,0.114435346841205,2023-02-14,02-14
7569,2023-02-14 12:00:00,Sava,Vohemar,0.948269204320351,2023-02-14,02-14
7679,2023-02-14 15:00:00,Sava,Vohemar,0.972713906587821,2023-02-14,02-14
7789,2023-02-14 18:00:00,Sava,Vohemar,0.0853232303369706,2023-02-14,02-14
7899,2023-02-14 21:00:00,Sava,Vohemar,0.0059704008586281,2023-02-14,02-14
8009,2023-02-15 00:00:00,Sava,Vohemar,0.0001699963238824,2023-02-15,02-15
8119,2023-02-15 03:00:00,Sava,Vohemar,0.0001314461238287,2023-02-15,02-15
8229,2023-02-15 06:00:00,Sava,Vohemar,0.0036465633090825,2023-02-15,02-15
8339,2023-02-15 09:00:00,Sava,Vohemar,0.120158167184634,2023-02-15,02-15
8449,2023-02-15 12:00:00,Sava,Vohemar,0.644604284751095,2023-02-15,02-15
8559,2023-02-15 15:00:00,Sava,Vohemar,0.692289229735527,2023-02-15,02-15
8669,2023-02-15 18:00:00,Sava,Vohemar,0.423373260755783,2023-02-15,02-15
8779,2023-02-15 21:00:00,Sava,Vohemar,0.258302891518476,2023-02-15,02-15
8889,2023-02-16 00:00:00,Sava,Vohemar,0.0050189400419846,2023-02-16,02-16
8999,2023-02-16 03:00:00,Sava,Vohemar,0.0023119237377999,2023-02-16,02-16
9109,2023-02-16 06:00:00,Sava,Vohemar,0.0374036732695954,2023-02-16,02-16
9219,2023-02-16 09:00:00,Sava,Vohemar,0.215152428852338,2023-02-16,02-16
9329,2023-02-16 12:00:00,Sava,Vohemar,1.72797968980034,2023-02-16,02-16
