,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
69,2023-02-06 00:00:00,Haute Matsiatra,Vohibato,0.316687900851799,2023-02-06,02-06
179,2023-02-06 03:00:00,Haute Matsiatra,Vohibato,0.235463809001407,2023-02-06,02-06
289,2023-02-06 06:00:00,Haute Matsiatra,Vohibato,0.310214520193097,2023-02-06,02-06
399,2023-02-06 09:00:00,Haute Matsiatra,Vohibato,1.18983841437761,2023-02-06,02-06
509,2023-02-06 12:00:00,Haute Matsiatra,Vohibato,2.81730586813922,2023-02-06,02-06
619,2023-02-06 15:00:00,Haute Matsiatra,Vohibato,1.676413921431,2023-02-06,02-06
729,2023-02-06 18:00:00,Haute Matsiatra,Vohibato,1.9044072822925,2023-02-06,02-06
839,2023-02-06 21:00:00,Haute Matsiatra,Vohibato,1.70952061488673,2023-02-06,02-06
949,2023-02-07 00:00:00,Haute Matsiatra,Vohibato,1.5793770749802,2023-02-07,02-07
1059,2023-02-07 03:00:00,Haute Matsiatra,Vohibato,0.765033272876233,2023-02-07,02-07
1169,2023-02-07 06:00:00,Haute Matsiatra,Vohibato,0.648670398133905,2023-02-07,02-07
1279,2023-02-07 09:00:00,Haute Matsiatra,Vohibato,0.706459993732431,2023-02-07,02-07
1389,2023-02-07 12:00:00,Haute Matsiatra,Vohibato,0.655868352715563,2023-02-07,02-07
1499,2023-02-07 15:00:00,Haute Matsiatra,Vohibato,0.489391272314702,2023-02-07,02-07
1609,2023-02-07 18:00:00,Haute Matsiatra,Vohibato,0.236702022994378,2023-02-07,02-07
1719,2023-02-07 21:00:00,Haute Matsiatra,Vohibato,0.0320171467273643,2023-02-07,02-07
1829,2023-02-08 00:00:00,Haute Matsiatra,Vohibato,0.0270299113135001,2023-02-08,02-08
1939,2023-02-08 03:00:00,Haute Matsiatra,Vohibato,0.0514499924396851,2023-02-08,02-08
2049,2023-02-08 06:00:00,Haute Matsiatra,Vohibato,0.0656154600958536,2023-02-08,02-08
2159,2023-02-08 09:00:00,Haute Matsiatra,Vohibato,0.276969922620705,2023-02-08,02-08
2269,2023-02-08 12:00:00,Haute Matsiatra,Vohibato,1.04882042142134,2023-02-08,02-08
2379,2023-02-08 15:00:00,Haute Matsiatra,Vohibato,0.749457678849515,2023-02-08,02-08
2489,2023-02-08 18:00:00,Haute Matsiatra,Vohibato,0.391638991514858,2023-02-08,02-08
2599,2023-02-08 21:00:00,Haute Matsiatra,Vohibato,0.24186801950533,2023-02-08,02-08
2709,2023-02-09 00:00:00,Haute Matsiatra,Vohibato,0.0586892762558388,2023-02-09,02-09
2819,2023-02-09 03:00:00,Haute Matsiatra,Vohibato,0.229610697075259,2023-02-09,02-09
2929,2023-02-09 06:00:00,Haute Matsiatra,Vohibato,0.502310387094775,2023-02-09,02-09
3039,2023-02-09 09:00:00,Haute Matsiatra,Vohibato,0.413719776754366,2023-02-09,02-09
3149,2023-02-09 12:00:00,Haute Matsiatra,Vohibato,0.383290175850944,2023-02-09,02-09
3259,2023-02-09 15:00:00,Haute Matsiatra,Vohibato,0.236563258409181,2023-02-09,02-09
3369,2023-02-09 18:00:00,Haute Matsiatra,Vohibato,0.141845014323113,2023-02-09,02-09
3479,2023-02-09 21:00:00,Haute Matsiatra,Vohibato,0.0856822459057807,2023-02-09,02-09
3589,2023-02-10 00:00:00,Haute Matsiatra,Vohibato,0.473910839284623,2023-02-10,02-10
3699,2023-02-10 03:00:00,Haute Matsiatra,Vohibato,0.0603847984916923,2023-02-10,02-10
3809,2023-02-10 06:00:00,Haute Matsiatra,Vohibato,0.0002207444876579,2023-02-10,02-10
3919,2023-02-10 09:00:00,Haute Matsiatra,Vohibato,0.0002175503606466,2023-02-10,02-10
4029,2023-02-10 12:00:00,Haute Matsiatra,Vohibato,0.0023344066453558,2023-02-10,02-10
4139,2023-02-10 15:00:00,Haute Matsiatra,Vohibato,0.0156555363393732,2023-02-10,02-10
4249,2023-02-10 18:00:00,Haute Matsiatra,Vohibato,0.0055363715111621,2023-02-10,02-10
4359,2023-02-10 21:00:00,Haute Matsiatra,Vohibato,0.0006877341687581,2023-02-10,02-10
4469,2023-02-11 00:00:00,Haute Matsiatra,Vohibato,4.830390312954e-06,2023-02-11,02-11
4579,2023-02-11 03:00:00,Haute Matsiatra,Vohibato,5.7337150026701e-06,2023-02-11,02-11
4689,2023-02-11 06:00:00,Haute Matsiatra,Vohibato,0.01064075484541,2023-02-11,02-11
4799,2023-02-11 09:00:00,Haute Matsiatra,Vohibato,0.0908811717986522,2023-02-11,02-11
4909,2023-02-11 12:00:00,Haute Matsiatra,Vohibato,0.533606630391564,2023-02-11,02-11
5019,2023-02-11 15:00:00,Haute Matsiatra,Vohibato,0.349426410648065,2023-02-11,02-11
5129,2023-02-11 18:00:00,Haute Matsiatra,Vohibato,0.236542472536185,2023-02-11,02-11
5239,2023-02-11 21:00:00,Haute Matsiatra,Vohibato,0.0128592313849367,2023-02-11,02-11
5349,2023-02-12 00:00:00,Haute Matsiatra,Vohibato,3.67324039536087e-06,2023-02-12,02-12
5459,2023-02-12 03:00:00,Haute Matsiatra,Vohibato,0.0001985174082954,2023-02-12,02-12
5569,2023-02-12 06:00:00,Haute Matsiatra,Vohibato,4.86305706497086e-06,2023-02-12,02-12
5679,2023-02-12 09:00:00,Haute Matsiatra,Vohibato,5.63483611729584e-05,2023-02-12,02-12
5789,2023-02-12 12:00:00,Haute Matsiatra,Vohibato,0.0363545707874245,2023-02-12,02-12
5899,2023-02-12 15:00:00,Haute Matsiatra,Vohibato,0.0404373711606145,2023-02-12,02-12
6009,2023-02-12 18:00:00,Haute Matsiatra,Vohibato,0.0433624705704125,2023-02-12,02-12
6119,2023-02-12 21:00:00,Haute Matsiatra,Vohibato,0.0077435509822527,2023-02-12,02-12
6229,2023-02-13 00:00:00,Haute Matsiatra,Vohibato,3.17507319299406e-05,2023-02-13,02-13
6339,2023-02-13 03:00:00,Haute Matsiatra,Vohibato,7.43556516490092e-05,2023-02-13,02-13
6449,2023-02-13 06:00:00,Haute Matsiatra,Vohibato,0.0021029672076876,2023-02-13,02-13
6559,2023-02-13 09:00:00,Haute Matsiatra,Vohibato,0.0095932105445842,2023-02-13,02-13
6669,2023-02-13 12:00:00,Haute Matsiatra,Vohibato,0.0394620767696515,2023-02-13,02-13
6779,2023-02-13 15:00:00,Haute Matsiatra,Vohibato,0.0289198803304891,2023-02-13,02-13
6889,2023-02-13 18:00:00,Haute Matsiatra,Vohibato,0.0460550424575463,2023-02-13,02-13
6999,2023-02-13 21:00:00,Haute Matsiatra,Vohibato,0.0218919692836751,2023-02-13,02-13
7109,2023-02-14 00:00:00,Haute Matsiatra,Vohibato,0.0004331595815816,2023-02-14,02-14
