,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
109,2023-02-06 00:00:00,Vatovavy Fitovinany,Vohipeno,0.467599541948981,2023-02-06,02-06
219,2023-02-06 03:00:00,Vatovavy Fitovinany,Vohipeno,0.300606621297034,2023-02-06,02-06
329,2023-02-06 06:00:00,Vatovavy Fitovinany,Vohipeno,3.28170170224886,2023-02-06,02-06
439,2023-02-06 09:00:00,Vatovavy Fitovinany,Vohipeno,4.82021525437118,2023-02-06,02-06
549,2023-02-06 12:00:00,Vatovavy Fitovinany,Vohipeno,7.04966933823148,2023-02-06,02-06
659,2023-02-06 15:00:00,Vatovavy Fitovinany,Vohipeno,8.76911658614302,2023-02-06,02-06
769,2023-02-06 18:00:00,Vatovavy Fitovinany,Vohipeno,5.70645125031429,2023-02-06,02-06
879,2023-02-06 21:00:00,Vatovavy Fitovinany,Vohipeno,5.43510419763731,2023-02-06,02-06
989,2023-02-07 00:00:00,Vatovavy Fitovinany,Vohipeno,5.41687534095995,2023-02-07,02-07
1099,2023-02-07 03:00:00,Vatovavy Fitovinany,Vohipeno,3.10331930864645,2023-02-07,02-07
1209,2023-02-07 06:00:00,Vatovavy Fitovinany,Vohipeno,2.02630994383733,2023-02-07,02-07
1319,2023-02-07 09:00:00,Vatovavy Fitovinany,Vohipeno,1.18634583176622,2023-02-07,02-07
1429,2023-02-07 12:00:00,Vatovavy Fitovinany,Vohipeno,1.15267874295717,2023-02-07,02-07
1539,2023-02-07 15:00:00,Vatovavy Fitovinany,Vohipeno,0.701108170345172,2023-02-07,02-07
1649,2023-02-07 18:00:00,Vatovavy Fitovinany,Vohipeno,1.59741091626612,2023-02-07,02-07
1759,2023-02-07 21:00:00,Vatovavy Fitovinany,Vohipeno,0.833223331899552,2023-02-07,02-07
1869,2023-02-08 00:00:00,Vatovavy Fitovinany,Vohipeno,0.189941055395386,2023-02-08,02-08
1979,2023-02-08 03:00:00,Vatovavy Fitovinany,Vohipeno,0.882598779846872,2023-02-08,02-08
2089,2023-02-08 06:00:00,Vatovavy Fitovinany,Vohipeno,0.686895520140586,2023-02-08,02-08
2199,2023-02-08 09:00:00,Vatovavy Fitovinany,Vohipeno,1.34295756632822,2023-02-08,02-08
2309,2023-02-08 12:00:00,Vatovavy Fitovinany,Vohipeno,2.8701357739787,2023-02-08,02-08
2419,2023-02-08 15:00:00,Vatovavy Fitovinany,Vohipeno,1.28054879283511,2023-02-08,02-08
2529,2023-02-08 18:00:00,Vatovavy Fitovinany,Vohipeno,1.67568120227555,2023-02-08,02-08
2639,2023-02-08 21:00:00,Vatovavy Fitovinany,Vohipeno,1.38662871167551,2023-02-08,02-08
2749,2023-02-09 00:00:00,Vatovavy Fitovinany,Vohipeno,1.30060248758475,2023-02-09,02-09
2859,2023-02-09 03:00:00,Vatovavy Fitovinany,Vohipeno,1.37098166846607,2023-02-09,02-09
2969,2023-02-09 06:00:00,Vatovavy Fitovinany,Vohipeno,1.4914068068928,2023-02-09,02-09
3079,2023-02-09 09:00:00,Vatovavy Fitovinany,Vohipeno,1.84223925309065,2023-02-09,02-09
3189,2023-02-09 12:00:00,Vatovavy Fitovinany,Vohipeno,1.51614358918001,2023-02-09,02-09
3299,2023-02-09 15:00:00,Vatovavy Fitovinany,Vohipeno,0.11607402384768,2023-02-09,02-09
3409,2023-02-09 18:00:00,Vatovavy Fitovinany,Vohipeno,0.0645376366817138,2023-02-09,02-09
3519,2023-02-09 21:00:00,Vatovavy Fitovinany,Vohipeno,0.0056378382459198,2023-02-09,02-09
3629,2023-02-10 00:00:00,Vatovavy Fitovinany,Vohipeno,0.0010929398492656,2023-02-10,02-10
3739,2023-02-10 03:00:00,Vatovavy Fitovinany,Vohipeno,0.0658884354157966,2023-02-10,02-10
3849,2023-02-10 06:00:00,Vatovavy Fitovinany,Vohipeno,0.155576186492743,2023-02-10,02-10
3959,2023-02-10 09:00:00,Vatovavy Fitovinany,Vohipeno,0.0673668576478535,2023-02-10,02-10
4069,2023-02-10 12:00:00,Vatovavy Fitovinany,Vohipeno,0.493123250500172,2023-02-10,02-10
4179,2023-02-10 15:00:00,Vatovavy Fitovinany,Vohipeno,0.020501223588574,2023-02-10,02-10
4289,2023-02-10 18:00:00,Vatovavy Fitovinany,Vohipeno,0.010584771299777,2023-02-10,02-10
4399,2023-02-10 21:00:00,Vatovavy Fitovinany,Vohipeno,0.0080506378170949,2023-02-10,02-10
4509,2023-02-11 00:00:00,Vatovavy Fitovinany,Vohipeno,0.0112062626073814,2023-02-11,02-11
4619,2023-02-11 03:00:00,Vatovavy Fitovinany,Vohipeno,0.0079140068211762,2023-02-11,02-11
4729,2023-02-11 06:00:00,Vatovavy Fitovinany,Vohipeno,0.00616832917281,2023-02-11,02-11
4839,2023-02-11 09:00:00,Vatovavy Fitovinany,Vohipeno,0.0004662312831814,2023-02-11,02-11
4949,2023-02-11 12:00:00,Vatovavy Fitovinany,Vohipeno,0.064837362527297,2023-02-11,02-11
5059,2023-02-11 15:00:00,Vatovavy Fitovinany,Vohipeno,0.160378730083308,2023-02-11,02-11
5169,2023-02-11 18:00:00,Vatovavy Fitovinany,Vohipeno,0.0048821993034587,2023-02-11,02-11
5279,2023-02-11 21:00:00,Vatovavy Fitovinany,Vohipeno,0.0082608056201768,2023-02-11,02-11
5389,2023-02-12 00:00:00,Vatovavy Fitovinany,Vohipeno,0.0004602441066791,2023-02-12,02-12
5499,2023-02-12 03:00:00,Vatovavy Fitovinany,Vohipeno,0.0001720620255747,2023-02-12,02-12
5609,2023-02-12 06:00:00,Vatovavy Fitovinany,Vohipeno,0.0344188405116173,2023-02-12,02-12
5719,2023-02-12 09:00:00,Vatovavy Fitovinany,Vohipeno,0.0827804857346399,2023-02-12,02-12
5829,2023-02-12 12:00:00,Vatovavy Fitovinany,Vohipeno,0.355282277159858,2023-02-12,02-12
5939,2023-02-12 15:00:00,Vatovavy Fitovinany,Vohipeno,0.0777162824471651,2023-02-12,02-12
6049,2023-02-12 18:00:00,Vatovavy Fitovinany,Vohipeno,0.15330447319006,2023-02-12,02-12
6159,2023-02-12 21:00:00,Vatovavy Fitovinany,Vohipeno,0.149860895551021,2023-02-12,02-12
6269,2023-02-13 00:00:00,Vatovavy Fitovinany,Vohipeno,0.0277837314219637,2023-02-13,02-13
6379,2023-02-13 03:00:00,Vatovavy Fitovinany,Vohipeno,0.0486241032009606,2023-02-13,02-13
6489,2023-02-13 06:00:00,Vatovavy Fitovinany,Vohipeno,0.297174386479045,2023-02-13,02-13
6599,2023-02-13 09:00:00,Vatovavy Fitovinany,Vohipeno,0.3351998294238,2023-02-13,02-13
6709,2023-02-13 12:00:00,Vatovavy Fitovinany,Vohipeno,0.118420396968511,2023-02-13,02-13
6819,2023-02-13 15:00:00,Vatovavy Fitovinany,Vohipeno,0.155203363233754,2023-02-13,02-13
6929,2023-02-13 18:00:00,Vatovavy Fitovinany,Vohipeno,0.0890051813595082,2023-02-13,02-13
7039,2023-02-13 21:00:00,Vatovavy Fitovinany,Vohipeno,0.0398279592521827,2023-02-13,02-13
7149,2023-02-14 00:00:00,Vatovavy Fitovinany,Vohipeno,0.0228636539276605,2023-02-14,02-14
7259,2023-02-14 03:00:00,Vatovavy Fitovinany,Vohipeno,0.074442181265278,2023-02-14,02-14
