,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
41,2023-02-06 00:00:00,Atsimo Atsinanana,Vondrozo,0.316481064332442,2023-02-06,02-06
151,2023-02-06 03:00:00,Atsimo Atsinanana,Vondrozo,0.393839429859158,2023-02-06,02-06
261,2023-02-06 06:00:00,Atsimo Atsinanana,Vondrozo,2.55856641903908,2023-02-06,02-06
371,2023-02-06 09:00:00,Atsimo Atsinanana,Vondrozo,5.12316527449164,2023-02-06,02-06
481,2023-02-06 12:00:00,Atsimo Atsinanana,Vondrozo,6.90030076705928,2023-02-06,02-06
591,2023-02-06 15:00:00,Atsimo Atsinanana,Vondrozo,6.65748424558573,2023-02-06,02-06
701,2023-02-06 18:00:00,Atsimo Atsinanana,Vondrozo,7.1073852159402,2023-02-06,02-06
811,2023-02-06 21:00:00,Atsimo Atsinanana,Vondrozo,3.07179551772532,2023-02-06,02-06
921,2023-02-07 00:00:00,Atsimo Atsinanana,Vondrozo,3.96935736768905,2023-02-07,02-07
1031,2023-02-07 03:00:00,Atsimo Atsinanana,Vondrozo,2.89854628853371,2023-02-07,02-07
1141,2023-02-07 06:00:00,Atsimo Atsinanana,Vondrozo,1.67308118229697,2023-02-07,02-07
1251,2023-02-07 09:00:00,Atsimo Atsinanana,Vondrozo,1.01309641777469,2023-02-07,02-07
1361,2023-02-07 12:00:00,Atsimo Atsinanana,Vondrozo,0.844875682005227,2023-02-07,02-07
1471,2023-02-07 15:00:00,Atsimo Atsinanana,Vondrozo,0.837432539135787,2023-02-07,02-07
1581,2023-02-07 18:00:00,Atsimo Atsinanana,Vondrozo,0.806015036174493,2023-02-07,02-07
1691,2023-02-07 21:00:00,Atsimo Atsinanana,Vondrozo,1.57849987181059,2023-02-07,02-07
1801,2023-02-08 00:00:00,Atsimo Atsinanana,Vondrozo,0.248397609697551,2023-02-08,02-08
1911,2023-02-08 03:00:00,Atsimo Atsinanana,Vondrozo,0.21233166464501,2023-02-08,02-08
