time,ADM1_EN,ADM2_EN,lon,lat,precipitationCal,PROV_CODE,time2,time3
2022-04-24 00:00:00,Alaotra Mangoro,Ambatondrazaka,48.45000208979068,-17.93043385381284,1.03631,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Alaotra Mangoro,Amparafaravola,48.34750175476074,-17.437499046325684,1.1039627,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Alaotra Mangoro,Andilamena,48.33593988418579,-16.718749523162842,0.33044744,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Alaotra Mangoro,Anosibe-An'ala,48.120835622151695,-19.50833257039388,0.6568719,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Alaotra Mangoro,Moramanga,48.253228341379476,-18.817741147933468,0.6482849,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Amoron I Mania,Ambatofinandrahana,46.302176434060804,-20.493477614029594,14.462194,2.0,2022-04-24,04-24
2022-04-24 00:00:00,Amoron I Mania,Ambositra,47.307694948636566,-20.59615267240084,2.1825018,2.0,2022-04-24,04-24
2022-04-24 00:00:00,Amoron I Mania,Fandriana,47.444739291542454,-20.27105170802066,1.521922,2.0,2022-04-24,04-24
2022-04-24 00:00:00,Amoron I Mania,Manandriana,47.02500343322754,-20.774999618530273,2.714518,2.0,2022-04-24,04-24
2022-04-24 00:00:00,Analamanga,Ambohidratrimo,47.433336893717446,-18.683331807454426,0.5136297,1.0,2022-04-24,04-24
2022-04-24 00:00:00,Analamanga,Andramasina,47.742858341761995,-19.299998692103795,2.0953512,1.0,2022-04-24,04-24
2022-04-24 00:00:00,Analamanga,Anjozorobe,47.741894593109954,-18.1986482981089,0.29616418,1.0,2022-04-24,04-24
2022-04-24 00:00:00,Analamanga,Ankazobe,47.039395997018524,-18.16666620427912,1.2714757,1.0,2022-04-24,04-24
2022-04-24 00:00:00,Analamanga,Antananarivo Atsimondrano,47.48333867390951,-19.016666412353516,2.9328506,1.0,2022-04-24,04-24
2022-04-24 00:00:00,Analamanga,Antananarivo Avaradrano,47.607145581926616,-18.878571101597377,2.9802763,1.0,2022-04-24,04-24
2022-04-24 00:00:00,Analamanga,Manjakandriana,47.788461245023285,-18.826922196608322,1.4845687,1.0,2022-04-24,04-24
2022-04-24 00:00:00,Analanjirofo,Fenerive Est,49.19231033325195,-17.1538452735314,4.6466885,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Analanjirofo,Mananara-Avaratra,49.498650525067305,-16.23648584211195,4.9690437,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Analanjirofo,Maroantsetra,49.480359486171174,-15.478569984436035,4.9265633,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Analanjirofo,Sainte Marie,49.90000534057617,-16.950000762939453,2.1152194,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Analanjirofo,Soanierana Ivongo,49.317569938865866,-16.717566928348027,3.5665288,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Analanjirofo,Vavatenina,49.01800277709961,-17.521999053955078,5.04086,3.0,2022-04-24,04-24
2022-04-24 00:00:00,Androy,Ambovombe-Androy,45.79827815088733,-24.858619953023975,2.7135952,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Androy,Bekily,45.40116500854492,-24.24999937900277,7.9180794,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Androy,Beloha,45.03604844559071,-25.073254696158475,2.7775621,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Androy,Tsihombe,45.450002670288086,-25.370833079020183,1.700467,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Anosy,Amboasary-Atsimo,46.364609064680806,-24.4230329106363,6.143366,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Anosy,Betroka,45.88196957697634,-23.36967143074411,7.254666,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Anosy,Taolagnaro,46.965386610764725,-24.6269221672645,3.2704642,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Atsimo Andrefana,Ampanihy Ouest,44.48440231323242,-24.52199917602539,7.3348665,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Atsimo Andrefana,Ankazoabo,44.66818410700018,-22.157575318307586,16.4114,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Atsimo Andrefana,Benenitra,45.0961562914726,-23.4038450779059,13.249704,5.0,2022-04-24,04-24
2022-04-24 00:00:00,Atsimo Andrefana,Beroroha,45.20625185966492,-21.48906171321869,11.095627,5.0,2022-04-24,04-24
