"name","start","end","start2","end2","name_dates"
"ABELA","2016-07-12","2016-07-20",20160712,20160720,"ABELA / 2016-07-12 => 2016-07-20"
"ANA","2022-01-23","2022-01-25",20220123,20220125,"ANA / 2022-01-23 => 2022-01-25"
"AVA","2017-12-30","2018-01-09",20171230,20180109,"AVA / 2017-12-30 => 2018-01-09"
"BATSIRAI","2022-01-27","2022-02-08",20220127,20220208,"BATSIRAI / 2022-01-27 => 2022-02-08"
"BELNA","2019-12-02","2019-12-11",20191202,20191211,"BELNA / 2019-12-02 => 2019-12-11"
"CHALANE","2020-12-20","2021-01-04",20201220,20210104,"CHALANE / 2020-12-20 => 2021-01-04"
"CHEDZA","2015-01-13","2015-01-22",20150113,20150122,"CHEDZA / 2015-01-13 => 2015-01-22"
"DIANE","2020-01-22","2020-01-29",20200122,20200129,"DIANE / 2020-01-22 => 2020-01-29"
"DUMAKO","2022-02-13","2022-02-16",20220213,20220216,"DUMAKO / 2022-02-13 => 2022-02-16"
"EKETSANG","2019-01-23","2019-01-26",20190123,20190126,"EKETSANG / 2019-01-23 => 2019-01-26"
"ELIAKIM","2018-03-13","2018-03-22",20180313,20180322,"ELIAKIM / 2018-03-13 => 2018-03-22"
"ELOISE","2021-01-11","2021-01-27",20210111,20210127,"ELOISE / 2021-01-11 => 2021-01-27"
"EMNATI","2022-02-16","2022-02-24",20220216,20220224,"EMNATI / 2022-02-16 => 2022-02-24"
"ENAWO","2017-03-02","2017-03-11",20170302,20170311,"ENAWO / 2017-03-02 => 2017-03-11"
"FRANCISCO","2020-02-03","2020-02-15",20200203,20200215,"FRANCISCO / 2020-02-03 => 2020-02-15"
"FUNDI","2015-02-05","2015-02-11",20150205,20150211,"FUNDI / 2015-02-05 => 2015-02-11"
"GOMBE","2022-03-08","2022-03-14",20220308,20220314,"GOMBE / 2022-03-08 => 2022-03-14"
"HALIBA","2015-03-04","2015-03-13",20150304,20150313,"HALIBA / 2015-03-04 => 2015-03-13"
"HEROLD","2020-03-12","2020-03-21",20200312,20200321,"HEROLD / 2020-03-12 => 2020-03-21"
"IDAI","2019-03-04","2019-03-16",20190304,20190316,"IDAI / 2019-03-04 => 2019-03-16"
"IMAN","2021-03-02","2021-03-11",20210302,20210311,"IMAN / 2021-03-02 => 2021-03-11"
"JASMINE","2022-04-24","2022-04-28",20220424,20220428,"JASMINE / 2022-04-24 => 2022-04-28"
"NOT_NAMED","2015-03-04","2015-03-09",20150304,20150309,"NOT_NAMED / 2015-03-04 => 2015-03-09"
