ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_EN,ADM2_TYPE,PROV_CODE,OLD_PROVIN,PROV_TYPE,NOTES,SOURCE,_sum,_mean
MG,Madagascar,MG11,Analamanga,Region,MG11101001A,1er Arrondissement,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,Previous district name is Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3) have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same (with an 'A' suffix) as the Commune Codes for Tana 1-6.,115533.981445312,9627.83178710938
MG,Madagascar,MG11,Analamanga,Region,MG11101002A,2e Arrondissement,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,Previous district name is Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3) have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same (with an 'A' suffix) as the Commune Codes for Tana 1-6.,166701.577392578,8773.76723118832
MG,Madagascar,MG11,Analamanga,Region,MG11101003A,3e Arrondissement,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,Previous district name is Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3) have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same (with an 'A' suffix) as the Commune Codes for Tana 1-6.,106769.7890625,10676.97890625
MG,Madagascar,MG11,Analamanga,Region,MG11101004A,4e Arrondissement,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,Previous district name is Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3) have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same (with an 'A' suffix) as the Commune Codes for Tana 1-6.,126057.619384766,7415.1540814568
MG,Madagascar,MG11,Analamanga,Region,MG11101005A,5e Arrondissement,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,Previous district name is Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3) have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same (with an 'A' suffix) as the Commune Codes for Tana 1-6.,486811.733642578,18030.0642089844
MG,Madagascar,MG11,Analamanga,Region,MG11101006A,6e Arrondissement,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,Previous district name is Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3) have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same (with an 'A' suffix) as the Commune Codes for Tana 1-6.,297908.990234375,15679.4205386513
MG,Madagascar,MG11,Analamanga,Region,MG11102,Antananarivo Avaradrano,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,1650017.62324619,2310.94905216554
MG,Madagascar,MG11,Analamanga,Region,MG11103,Ambohidratrimo,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,1200060.53032303,679.920980352991
MG,Madagascar,MG11,Analamanga,Region,MG11104,Ankazobe,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,234396.639724255,25.9202299816714
MG,Madagascar,MG11,Analamanga,Region,MG11106,Manjakandriana,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,168790.885158062,76.066194302867
MG,Madagascar,MG11,Analamanga,Region,MG11107,Anjozorobe,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,204245.839608192,38.7857652123419
MG,Madagascar,MG11,Analamanga,Region,MG11115,Andramasina,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,197115.081272125,113.284529466739
